pokemon,species
p_4261e120,s_7c12043a
p_7cc9e687,s_407710b1
p_6cb4b3ee,s_709be860
p_84c0a555,s_f8b1f6f0
p_d78209af,s_6c8301f3
p_2f5efa16,s_35679292
p_d36c951e,s_9c9496e5
p_a18f5c66,s_9db486bb
p_1110504a,s_392b0710
p_4ad4cd92,s_67f8c9f7
p_32d6fe67,s_67f8c9f7
p_35f4a831,s_6c8301f3
p_1704892d,s_14a3f06b
p_7c03c49b,s_14a3f06b
p_3db511fb,s_32062a76
p_836a291c,s_a3943eca
p_042087fd,s_a3943eca
p_87ada69f,s_6c8301f3
p_c6e7057d,s_6c8301f3
p_fcdc1fe7,s_f5c8120e
p_e7f7f842,s_f5c8120e
p_59a221f5,s_b239b1ee
p_a638a22c,s_0162ce64
p_92abab29,s_0f2625ad
p_06ad6607,s_1abebf33
p_a87adfcf,s_606ea839
p_abc602d1,s_606ea839
p_fee0d597,s_f32bdbad
p_6c26ef32,s_f32bdbad
p_4cc0c12f,s_3d027cec
p_d83fa52e,s_f332cd1a
p_ab3b4800,s_89cf0bd8
p_fe3fb65b,s_1c12a3c3
p_f8346600,s_fe5e1c18
p_a58f52d9,s_9160a61a
p_7488e723,s_c8062085
p_dfeffeb3,s_4ebb5fde
p_e36789c2,s_5ede63b7
p_1d9bb027,s_90465d1c
p_2c07b63c,s_4c7d4db5
p_0a79f8ae,s_75fe6168
p_e034cfd0,s_3e7ee11c
p_69a67bc8,s_1b2044f1
p_58e9a2ae,s_405b1864
p_ec0d740a,s_bf854439
p_b7a53d3c,s_724fac61
p_822ef31f,s_724fac61
p_676d9427,s_a0ccf3f6
p_c2eafac8,s_67febd13
p_b7869d51,s_db204434
p_7072ae9e,s_db204434
p_30bdca02,s_8e0e13c0
p_17cd159d,s_8e0e13c0
p_0ef2a5ae,s_cef13d49
p_d3a501bb,s_7fd6b339
p_6739ee20,s_960a3edc
p_e42902eb,s_f6db9f78
p_72a9ad6d,s_9eb664f8
p_c2e72210,s_b96bae61
p_982be643,s_392b0710
p_e355d359,s_6428e35d
p_2818acda,s_1e4955b4
p_8a08fe1f,s_7d832d4b
p_51a11bab,s_9caeba2c
p_c788530d,s_7d10f9a9
p_75bacc45,s_21eabc83
p_8bbbcbd2,s_b820d23c
p_5ee8115b,s_e3d78c2f
p_6f29895f,s_ad8df55f
p_ce84ba7d,s_348881b2
p_3ad56faa,s_e2974573
p_4016f070,s_6b0189ab
p_00fdc688,s_b6b42b0d
p_97217573,s_e8b6235e
p_9c93f5b8,s_179e7cd4
p_4b352a88,s_d39b77d9
p_2d348fa8,s_c7b0c6e0
p_db73b692,s_c7b0c6e0
p_b2950114,s_68ab8ffd
p_d91f31d3,s_d064b873
p_47f6872f,s_f9319503
p_7cb58f2c,s_b049c369
p_932674c5,s_99c10bf1
p_aa600ae0,s_8b7bec74
p_7401595b,s_7dc1543b
p_b111e07a,s_4efde166
p_2f3dce1b,s_b8761062
p_30dbcc09,s_b8761062
p_d2b1ef1b,s_6c8301f3
p_e80523c9,s_7cd42ad2
p_23155a65,s_b11bc04a
p_df40c1d3,s_b11bc04a
p_acd6f2ea,s_d5087b6e
p_e5737439,s_724fac61
p_4718c422,s_2c10c740
p_51e46b03,s_dc794d8a
p_6e382039,s_d2a1721e
p_a69e40b3,s_bf3075db
p_306db3bf,s_63932626
p_a0a24cf7,s_7490a035
p_385eccba,s_76df0019
p_bb536271,s_5ee5b275
p_b67eeeed,s_351843b3
p_a3c867a8,s_169dc4a1
p_50807741,s_6a188a5a
p_d8082aaf,s_e6c9cc35
p_fcffbcaf,s_adf1a80a
p_bfea4c71,s_76f89d1d
p_1ad8e054,s_f5c8120e
p_151b27ad,s_14a3f06b
p_461cdd49,s_caf13a89
p_b7a3d22d,s_1f1a0933
p_545cc48b,s_5e0dfe73
p_87d6c5b9,s_2b4e6bfc
p_d128f8d3,s_65e014d1
p_94aa3751,s_75013df8
p_210faeab,s_4571669d
p_66eff00d,s_1c407664
p_4729419d,s_be5d3503
p_d0c78d1c,s_5f107b29
p_0df6fa47,s_2d12005b
p_29c74197,s_3c78fb67
p_360bf891,s_52813e27
p_26174be9,s_e7b22f53
p_cfdb94d6,s_d1cfe9e0
p_1d787a45,s_c6898c10
p_daac84e1,s_677f96b6
p_fcc7dfd7,s_e9766258
p_1afff469,s_ee02ecda
p_dbe93636,s_ce766db6
p_ab266131,s_ce766db6
p_1caf0a35,s_ee02ecda
p_1df0dcdc,s_f6994b83
p_a66d86b2,s_38c7f47c
p_ce6b15d7,s_e9766258
p_dbaa7864,s_e9766258
p_dbbfc728,s_343ce3d0
p_310fcb68,s_343ce3d0
p_d497187a,s_e633d4d1
p_93bc2619,s_46563b47
p_499f8787,s_a7925cad
p_54f2578f,s_8d7e8d46
p_e82620cc,s_53591635
p_0ea73a6d,s_53591635
p_c108bae8,s_69cb3022
p_50d5fbe8,s_1b7c5846
p_d1d4fead,s_1b7c5846
p_fd5f2c7c,s_df21f006
p_ad77eb11,s_1d0c25e1
p_0dbd359d,s_64f23671
p_aee2c923,s_e8bc50e1
p_5790eae5,s_ff1c1469
p_74c75553,s_f488e500
p_47e4cafe,s_5bae9175
p_eaa52b33,s_62e72e2e
p_8bb7bdd0,s_62e72e2e
p_7a1ab96d,s_407710b1
p_ce64ffcd,s_690e81d5
p_35699f73,s_690e81d5
p_6c3b80c0,s_dbf86e8e
p_c4b14bb7,s_4f5ec0f6
p_48489334,s_f27aa904
p_67102227,s_0960e941
p_e9c3d893,s_6bb495b6
p_ad9003ca,s_392b7887
p_d7463523,s_415f72be
p_5b982f45,s_4070d571
p_e90a6754,s_54a5fad1
p_86defa97,s_caf13a89
p_77caca15,s_4dab8877
p_be3fc5e5,s_4d822a13
p_6fbdce7c,s_db26719b
p_ae142d13,s_7d423e70
p_fc796a8c,s_b5a5e4b9
p_b1423aa9,s_c0dac781
p_b79f41b1,s_668c37bd
p_4361bcd7,s_96f14b89
p_49979249,s_62e72e2e
p_24441f1a,s_adf76528
p_23c3c22e,s_89cf0bd8
p_abaf6f48,s_08c4b001
p_14950a7e,s_30067ed1
p_bb864036,s_917148b7
p_e52e15a5,s_917148b7
p_dfb59552,s_606ea839
p_38f7e8a8,s_1e4955b4
p_fda977aa,s_085b66f3
p_e5d1e515,s_93b7fa1f
p_10a4b987,s_04b2e2dc
p_b27b461d,s_61bde07f
p_d13d36af,s_9b15fd97
p_98f87550,s_19de751f
p_9123fbbb,s_9c9ac1da
p_3302abc5,s_5e5a9f89
p_cf3c925a,s_bcd6f037
p_aedc64dc,s_5828410c
p_f39da835,s_26fa687e
p_f838f141,s_ee1bc1cd
p_1f98e775,s_a692fe96
p_771027c5,s_db26719b
p_c05131a8,s_618225c1
p_059591c0,s_c0dac781
p_75142d8c,s_bd45b054
p_fe345963,s_89cf0bd8
p_98f45114,s_00c4f2a8
p_6fb62a10,s_17e96f6f
p_640119b2,s_db26719b
p_79352fb5,s_bdf68109
p_cdaac739,s_453fb154
p_deb2713a,s_453fb154
p_67419f50,s_986ca577
p_6b5791ff,s_986ca577
p_c6d2686d,s_e8ebbb6d
p_2eff5b16,s_1b2044f1
p_7fae587d,s_90465d1c
p_c444bf6a,s_90465d1c
p_55021023,s_bf854439
p_1911b151,s_ee900f25
p_e262c488,s_b96ac067
p_5ac75991,s_e8ad2057
p_b8a38b86,s_37cf21a9
p_f5f5b29a,s_5e39d0fc
p_8fec0fe1,s_bb95c797
p_8321c77e,s_e38547b7
p_9d4497e0,s_64a3c17e
p_91d7b50b,s_ba7096a0
p_78dfb4bb,s_677f96b6
p_9735c679,s_99011fcb
p_cb23c445,s_20c3255b
p_01550fd1,s_52a3cc0a
p_4f24813c,s_43effeee
p_63340b47,s_dd11391a
p_8e4b414e,s_dd11391a
p_fed79c83,s_e69e942a
p_c1b58d82,s_f907689e
p_31555270,s_43dcdac6
p_7a2cf64f,s_ae53d299
p_1209a97f,s_75634908
p_519dbe3c,s_e50e9e47
p_5ec2a6cf,s_18e0cc19
p_8b95902f,s_722476f9
p_8c338966,s_15a41430
p_58ff1531,s_deb36e33
p_aacf7a04,s_09bf3003
p_a4008890,s_435a093f
p_88e5df77,s_23db5069
p_e831f4fe,s_3d74254e
p_605ef43c,s_601c6111
p_cfebe95d,s_677f96b6
p_01437f1d,s_8d1fd247
p_ad806332,s_befd9ce9
p_943c6bb6,s_faa078bf
p_2b9356c2,s_faa078bf
p_6eaef924,s_9ceed343
p_ed238d38,s_986ca577
p_7fb751fe,s_1251d03b
p_4ddc720a,s_55261b39
p_ceacafed,s_b40d4e32
p_52de4e99,s_ede6bf4d
p_ce508a3e,s_222cd0af
p_b16139bb,s_6c8301f3
p_7896fa05,s_cf3e765e
p_d09efd48,s_cf3e765e
p_70ae4590,s_c74cffe0
p_a3edadba,s_c74cffe0
p_9439fb29,s_696f4f05
p_20f5d7cb,s_a00aca21
p_dafea60d,s_43949100
p_9a636913,s_b2363edf
p_b33fff91,s_b2363edf
p_f812aee4,s_3b754147
p_ef33364a,s_d91629fa
p_46fdf18c,s_dd11391a
p_c9e34f72,s_202905f3
p_72234e60,s_202905f3
p_f9e6295e,s_e07a7f77
p_3d9a6e9d,s_b33da43a
p_53e62f55,s_3721a473
p_04aefda5,s_760419c4
p_9325707e,s_f30f5aa1
p_3cff6d4d,s_68101ada
p_41ce7fcc,s_10861476
p_3fc31782,s_7812e1d1
p_9820acaf,s_4dab8877
p_7af0dba6,s_707f8e34
p_f6187f1e,s_b03ecb29
p_42e8fbbb,s_3b6c95f9
p_4e7ad9b3,s_6d7a9d9e
p_b8689c72,s_9aa2d378
p_343780d2,s_295e1434
p_e89a7bbd,s_1d4694e5
p_e57f84dd,s_c9357504
p_6bfdf786,s_78c3aec9
p_5455442d,s_088196b5
p_a205dd2f,s_c4e62971
p_500aa25b,s_e4aa0ce7
p_ef6c9e2d,s_165d9848
p_ed532493,s_78c39ef7
p_89fc21d5,s_4b4a2eb7
p_bdcd0b76,s_4b4a2eb7
p_15def612,s_17694e09
p_619d6e5a,s_abb750a5
p_a0f8647e,s_fdb7dd3b
p_8357f02c,s_d91629fa
p_b440568d,s_4035d8e3
p_3aa0638a,s_9160a61a
p_882215ab,s_8c3c4873
p_f8521602,s_6517bcc9
p_2e93683e,s_415f72be
p_1796713e,s_cf9021a0
p_dec7c4bc,s_5cf2c09e
p_98bcf486,s_47842dbd
p_2246cc78,s_6a7d8bdb
p_8f6a213f,s_98d60dc8
p_452982db,s_2f9349cb
p_6f3869b5,s_84803926
p_dc066184,s_8e0e13c0
p_91e46a43,s_3d099aa5
p_546b622b,s_5fc301b6
p_c9728944,s_7297dd64
p_7d6c1222,s_ca0bca8f
p_0bc3e295,s_2f9349cb
p_6a6da6bf,s_cacf2e11
p_edf4421f,s_83be256f
p_73f579f8,s_262004ee
p_79d62248,s_d3bfd5f4
p_5ef9537b,s_e983e129
p_edb0f73f,s_5ee979cc
p_48285516,s_d144f18d
p_05f31fc0,s_4ef79c0a
p_b469b677,s_e5b0f064
p_c642aea1,s_e5b0f064
p_593bc054,s_b6083150
p_2fcb886a,s_afa0ceb0
p_79524aa5,s_52c3788a
p_5c5ad1c8,s_7dce70b7
p_8cb549cc,s_5822744b
p_85758b11,s_28b542a2
p_805fff30,s_0566c39e
p_e36f333a,s_fca5b497
p_1b5bbabc,s_ef9a0c45
p_efc50f8e,s_f14f2f46
p_4119727b,s_b171119d
p_42ced350,s_857e29cc
p_84604db4,s_7cd42ad2
p_59590110,s_7cd42ad2
p_2929c063,s_1327eb47
p_0407d077,s_0f54c70a
p_f2fc8049,s_d1ba20e5
p_57e6e494,s_d1ba20e5
p_3ee2d6f5,s_e34f44ad
p_e733a6e9,s_b96ac067
p_686fc877,s_70f75618
p_bed6cce5,s_5ee979cc
p_5d22a35c,s_470c9333
p_44339eb1,s_dd11391a
p_adc36e6e,s_ee1196b8
p_935a984a,s_f4575347
p_4f88fce0,s_a8d4e286
p_ff87456a,s_e19b5023
p_88a021a8,s_67febd13
p_40663eb0,s_65105109
p_5b035982,s_ec478e6a
p_8d7dfd5a,s_5ee5b275
p_959c185c,s_55261b39
p_62c9391c,s_55261b39
p_a4eb936e,s_d6a6e810
p_26da5dce,s_dd11391a
p_ce6adfe1,s_dd11391a
p_6f0329bf,s_dd11391a
p_6d2ecc60,s_0cd6f6ca
p_3ac396f6,s_d30377a2
p_376219a0,s_d30377a2
p_89721913,s_adaf1d09
p_3249f972,s_aa41f0f5
p_25bf0e69,s_bc9a8289
p_9d4ec58d,s_bc9a8289
p_16477544,s_02e531ae
p_a275f9c8,s_02e531ae
p_7132156a,s_c984ac1f
p_f2e7cb20,s_391b555c
p_f2845911,s_1a116443
p_c3e1fdc3,s_a3263103
p_c7c3abe7,s_f96a37da
p_9f854bb9,s_9a611e8a
p_b44e969c,s_3092193e
p_a4d7527f,s_9b15fd97
p_d959a43f,s_a560618b
p_77acd965,s_98d60dc8
p_17a5935f,s_befd9ce9
p_b3191ba7,s_befd9ce9
p_76ce92d1,s_f4d67c60
p_aa4ec858,s_38e5a008
p_70dfad21,s_32c1e7de
p_f800bef3,s_e10fa4be
p_2ce2f5aa,s_02e531ae
p_7cb536a7,s_9ceed343
p_fcd2d011,s_9fe0110a
p_290cff8f,s_fd6ed0b3
p_a187f4c5,s_b311026a
p_525ad8a3,s_0ee77392
p_33f3ea86,s_3125d692
p_a90698e9,s_1aceeeef
p_1a51f525,s_225ffa61
p_07dbc2ec,s_afc3270c
p_94a67b97,s_55e8430e
p_c011b32b,s_b5fa1fe4
p_14f36992,s_7812e1d1
p_acd755ca,s_8f3eaa59
p_fe73762c,s_8f3eaa59
p_abd8d6dc,s_6c8301f3
p_aa4101ab,s_8f3eaa59
p_b83fec82,s_6c8301f3
p_131c69d9,s_6c8301f3
p_861265e9,s_ceae7aab
p_3d36a67b,s_17474df0
p_3e9c4c96,s_321994c1
p_da4bcd88,s_328fff2a
p_9b8632fa,s_75fdd470
p_2ee25fd2,s_108a851c
p_8d9f7927,s_84803926
p_f0983fce,s_758f89b8
p_0d130cf3,s_d4172ca3
p_d633c50e,s_59a2f021
p_bac4f461,s_4f99ba89
p_30e52e67,s_1f0706b3
p_14c79c26,s_dbbb927f
p_17f40b54,s_689d8ca0
p_91ba363e,s_b88285e5
p_1db40e64,s_1c7e07ab
p_ed494e65,s_f27aa904
p_71ed7ac4,s_8a44bafa
p_42317f4f,s_9b1e5687
p_1430d2dc,s_65b98fb8
p_98b706f2,s_5acbc257
p_32759e0d,s_2deec8af
p_cdf5aa1a,s_92d2ab36
p_8339ffa1,s_a4dcf17b
p_bf84fe5e,s_25454f15
p_dc2abab7,s_e9c54a88
p_53cc6d6e,s_3b77c5ae
p_57e9d3b2,s_3dc06c96
p_76515e91,s_222cd0af
p_43be2b0b,s_bb19ee5c
p_78542d84,s_6f6b245f
p_43144c89,s_1bf6704e
p_1611715f,s_bb1b7d4c
p_490f5ed2,s_b242914d
p_eadda451,s_6e2776a8
p_0f78fb62,s_f846a3d0
p_8457b7b2,s_f4376632
p_d6bc6e09,s_62796e63
p_00332aca,s_ac38b9f5
p_8c64d6a5,s_c26cf86a
p_05fa7ac3,s_faa078bf
p_bcd204b5,s_9560c165
p_4865f04b,s_04c0b34b
p_68a95005,s_c108e4ee
p_1c8f1690,s_8bbe5d4d
p_23326eea,s_362457c0
p_ca412bd1,s_dadae5d4
p_175b3d59,s_4075a878
p_d356555b,s_f402cfa6
p_663116d6,s_f402cfa6
p_f6539118,s_91d668e0
p_7a661ede,s_91d668e0
p_c988bbc3,s_8bbe5d4d
p_b64a49f9,s_ed19bc12
p_aea4c475,s_ed19bc12
p_3a0f6976,s_797927fc
p_91bda3c1,s_a9043236
p_e3cc89d4,s_f56885fa
p_e14630e9,s_375a952d
p_f6ced86c,s_375a952d
p_705841a0,s_2b4e6bfc
p_c2946b78,s_0cf41cf5
p_4f81ccee,s_0f2f9322
p_c060b130,s_0f2f9322
p_4aa66a93,s_b298d84a
p_83ea2d3c,s_12e20797
p_7ebeff64,s_f91f37c8
p_34a4ece6,s_f91f37c8
p_690b11f7,s_41c1efca
p_18c7d7e2,s_cc3c9758
p_589c4f99,s_cc3c9758
p_a1f64968,s_e38547b7
p_dbd7cf07,s_e38547b7
p_3af69738,s_5106db82
p_663ae284,s_b014eb90
p_c50cca1f,s_83a340a4
p_2b4e7412,s_1f1a0933
p_7e7c7fc9,s_f2726bcd
p_47518ea0,s_737195e9
p_20ddb1bb,s_0105855c
p_be1bb38a,s_530c24bb
p_e3b10ae1,s_2d12005b
p_9391cec5,s_2d12005b
p_dc87d119,s_7e6e5fca
p_328ddf0a,s_85eeaaf9
p_0f013717,s_fd6ed0b3
p_17ee6a62,s_04bcaa65
p_51aa8b90,s_04bcaa65
p_74cd351a,s_0c95eefe
p_5d3bbfa3,s_79f41e9f
p_4ab43893,s_f9319503
p_de0612c2,s_5f8045ae
p_2d8284b7,s_28b542a2
p_e975e75e,s_d456221d
p_b32547b3,s_c3cae972
p_071915c1,s_4873694e
p_b87400a4,s_76df0019
p_9b4d9791,s_c384efbf
p_9aa61ec7,s_7614f714
p_e678e55b,s_e4d64e0a
p_097f2d54,s_dba355f3
p_1f507cce,s_eadd541d
p_3753b7cf,s_5f657119
p_d0755c89,s_e8c6aa11
p_6367b73e,s_aa41f0f5
p_0bfa82b5,s_53801eec
p_234ab411,s_f30319c8
p_30ea1cb7,s_529d93a1
p_b7f04058,s_529d93a1
p_b5f2291d,s_e19b5023
p_2934b16a,s_757a4d5f
p_bd3372de,s_497e640b
p_809ab63e,s_cbb96b34
p_89c84b5f,s_559309a1
p_4a6f8770,s_c38b82b8
p_4b99b72d,s_23cefab8
p_a91fef02,s_24462676
p_b864792d,s_271eded2
p_278595f8,s_4f27b543
p_a58e726b,s_07237747
p_79ee0bca,s_7a288199
p_e955ba4e,s_dd6814a1
p_04a5b1de,s_4f45e0d3
p_88c42afd,s_862dfb2b
p_98352e7e,s_24bf8e1c
p_5c11ba36,s_2d6b16d3
p_cb8f4a17,s_be654014
p_3c86d30b,s_5ce1e269
p_9456cc33,s_e21f7721
p_5ff70ec8,s_ac09e1bc
p_feeb7397,s_c33e1b37
p_6e9f397a,s_29239732
p_4e2ca503,s_dde2d74f
p_3c826991,s_abd11ea6
p_cfc84d7f,s_7698dfc4
p_847ca8ef,s_016e52a0
p_f7484f9e,s_1e2ceac8
p_59cad62a,s_a560618b
p_88544005,s_06f562d6
p_26e17e9e,s_31c923a3
p_3782969e,s_38a4f313
p_c9bca29a,s_e7335c87
p_ce6cfc8a,s_317ccade
p_a8c1512b,s_317ccade
p_94de8814,s_e633d4d1
p_b71807f8,s_46563b47
p_9790f745,s_1bcbf8c5
p_61eea931,s_c8b8eafc
p_7cf1dc8a,s_ab5fc35e
p_33795293,s_c1009888
p_fad53717,s_b5a5e4b9
p_6b7218c0,s_57011ada
p_c6fb5a97,s_939f53bd
p_850f6d14,s_939f53bd
p_794653f4,s_939f53bd
p_c76b4167,s_17694e09
p_5d548d82,s_835a78c6
p_ee320ccf,s_db204434
p_4ced388a,s_7f50c4de
p_969c71b4,s_1f4ed5c3
p_0cea8f24,s_91d668e0
p_620911cb,s_a90f76da
p_07a26da8,s_2486a741
p_d08069e0,s_ebb43a4b
p_b91b256d,s_e309fff3
p_003c41d5,s_9ae69dcb
p_34fa6cc5,s_0a6ec0fa
p_4096046a,s_0c05a194
p_71fd0f13,s_990b9a2b
p_1cb775df,s_222c0b4f
p_cbd72e9e,s_222c0b4f
p_642c9e21,s_18d49040
p_2f558d42,s_3ea7cc56
p_d57c71c8,s_c2adcf45
p_37aad0d3,s_e9766258
p_fb41d29f,s_79f41e9f
p_1ac34160,s_97ad962d
p_5c923bca,s_71405b9b
p_33d6d4b1,s_d931c7de
p_978e4acf,s_0b752fcd
p_9b31bd1f,s_d63fba10
p_fa1185cb,s_bb66d690
p_3f5f50f1,s_bb66d690
p_b385bfaa,s_f341273b
p_c4f35c50,s_c8bbf24d
p_3a168976,s_fe35ff2b
p_e7ba808d,s_c9a851c4
p_811b1886,s_b5a4534c
p_dbbac93f,s_e66272e3
p_c203f43d,s_2c50ca17
p_1aafae5a,s_0ba0690b
p_f0426e6b,s_32c1e7de
p_fa8ee843,s_9ceed343
p_b7734e28,s_53801eec
p_1d4c53d3,s_79decb1c
p_e78f02a1,s_41c1efca
p_3d4b2d83,s_41c1efca
p_d9ca6889,s_986ca577
p_0bff6143,s_986ca577
p_2be3d4b1,s_17694e09
p_6ab97a34,s_06b28264
p_ec7cf3ff,s_59b36ffe
p_362c6102,s_59b36ffe
p_7f09f90b,s_3092193e
p_a83bd130,s_d077bca7
p_1b189b60,s_b2363edf
p_f8169f06,s_8f3eaa59
p_840c2dae,s_0902f413
p_0d51e629,s_70226d9f
p_5afc5587,s_b87ea008
p_7efb5031,s_79f41e9f
p_a31a7c8e,s_ac585c95
p_662dfea4,s_cb343082
p_3141a2bf,s_a31e0ed8
p_f4b05bf7,s_43810fe1
p_a4ff2a11,s_3a575d86
p_428c92e5,s_b599f20d
p_287785eb,s_f97c737b
p_9ae1627f,s_5eaea86e
p_2b9ba017,s_1f2cf55a
p_7b5d896f,s_5ffaf7f6
p_ececb24d,s_cd19d048
p_681bdcaf,s_43042a37
p_7c32422d,s_1d184354
p_7de09c8a,s_f0cea787
p_9697e07a,s_8e0edc93
p_a1371d89,s_d968564b
p_d80900af,s_986da94b
p_64ddc5cf,s_ef59e706
p_6ee65f80,s_70e280e6
p_3e912778,s_01eef293
p_6de7b05a,s_6d05c53d
p_80935eee,s_1fae860f
p_22ea1b7f,s_9fa78ecd
p_a2a9d01a,s_fdf24df2
p_3c34c15d,s_27a2f5db
p_e4c212fd,s_159ece57
p_7cba44c0,s_b194930d
p_ecba48dd,s_438434f1
p_afc8aeac,s_6050eac2
p_4bb19edd,s_8fe19106
p_555af3aa,s_8fe19106
p_4bfa46fd,s_939f53bd
p_9478d6ce,s_939f53bd
p_add433ad,s_d687eb70
p_7f738698,s_0bd0672a
p_091ce616,s_8087cf97
p_acafbf2f,s_abdb4d6d
p_bcc71689,s_9cdd23fd
p_97585788,s_0022d6bd
p_849b2991,s_3be9bae8
p_0182b726,s_38c7f47c
p_71478efe,s_62e72e2e
p_2d987943,s_b3629d9a
p_f72682eb,s_1919736b
p_6bacd4c8,s_af5f9619
p_121d0304,s_f907689e
p_01d0ee1d,s_30067ed1
p_26a0ccd4,s_c108e4ee
p_5c025fbc,s_0c05a194
p_f2da4b86,s_fa1098e4
p_6edba5b2,s_977c3937
p_4eed6011,s_c8bbf24d
p_06480ee0,s_3ce98706
p_f0fe5ea9,s_8e0edc93
p_973d85a8,s_f0cea787
p_85eb5c4e,s_e9766258
p_1db522c6,s_05beeb2c
p_0d08a997,s_d74ba348
p_f2462e65,s_d968564b
p_8840a4df,s_acea4ba4
p_54cc7584,s_acea4ba4
p_302df944,s_3dc06c96
p_2604d858,s_3dc06c96
p_a5a50bda,s_cb343082
p_cb847e73,s_a306d5b6
p_6ea5d789,s_55ec86e0
p_dfb5ad05,s_d6aed6c8
p_82c7b207,s_115daa98
p_83505ce3,s_6ea1c293
p_9e22f958,s_b2cf3235
p_7cdd7095,s_b2cf3235
p_06c2ca60,s_eef1ede2
p_abc5b04a,s_f0cd462b
p_6502af64,s_7dfaf23a
p_79bd922d,s_dd4296fe
p_24f77b9d,s_19d05d15
p_0ee0c7ef,s_85d4ad6d
p_d0864640,s_85d4ad6d
p_2e7897ff,s_70719e38
p_5487ad06,s_986ca577
p_4eab2c04,s_986ca577
p_6b6bb0aa,s_085b66f3
p_94ef28c9,s_b5a5e4b9
p_5b41a4ca,s_085b66f3
p_4c4fa499,s_60f47080
p_c9f84eee,s_0e557ad1
p_041b1951,s_c4e62971
p_ec8ef794,s_c4e62971
p_db38ed2b,s_5e2bc5b7
p_a27eca99,s_d91629fa
p_5346c365,s_72e0ca3d
p_6317a992,s_0162ce64
p_61812295,s_52cb080f
p_040498a4,s_52cb080f
p_ca0bbeae,s_8a44bafa
p_a85558da,s_8a44bafa
p_fa26a0a7,s_2ac13a3f
p_3a9ca283,s_f7ad2185
p_792f3d33,s_d475cff9
p_507c2ae9,s_04e2bba7
p_bdc8a3d7,s_f6994b83
p_1223c81f,s_ddade14b
p_ea130658,s_5106db82
p_3285d669,s_282cea04
p_f87fd20a,s_ed05ea91
p_90f0fa20,s_e84d2c76
p_1484a81b,s_b97010c0
p_159bc631,s_dc351dc8
p_5751e647,s_1b7c5846
p_24b03bcb,s_0f2f9322
p_f480c792,s_9738f68f
p_ed24c802,s_d638dcbe
p_1d727182,s_b356df6d
p_b1c18330,s_c5fdffbe
p_601045a2,s_f32a9325
p_b13834d1,s_d9f901e7
p_ea25f732,s_0eb46360
p_be6815fe,s_5df8a47c
p_e9af0dc2,s_3f713328
p_696408ff,s_ed735a50
p_521a3310,s_43effeee
p_8e60127b,s_71a85dae
p_be001927,s_f332cd1a
p_906a2e32,s_56724cee
p_77f0fcf3,s_bdf68109
p_180abdd1,s_23263453
p_6ad8b37f,s_2b4e6bfc
p_717a40d2,s_a7925cad
p_7c237b0a,s_1e2ceac8
p_469038b4,s_06f562d6
p_cd4d35df,s_fdff347c
p_2399e75e,s_b3494dcf
p_d51aa578,s_4cf9af4a
p_de171419,s_b298d84a
p_4d877bdc,s_9e7931fa
p_f3f4a833,s_85d4ad6d
p_e01233fd,s_b18546dc
p_6f7ba8f9,s_c819aba1
p_6b28d38a,s_76f3caeb
p_f171dc84,s_d304cd39
p_f2cb1fb1,s_b242914d
p_cc476b7a,s_b014eb90
p_9fa10a80,s_28c729e8
p_b3fd3da9,s_87d33d87
p_b1f6f274,s_17694e09
p_196009f5,s_213831b5
p_1c2b0efe,s_cf1c0ca8
p_bd40f304,s_d79f58fb
p_95caf904,s_65b98fb8
p_7d10eaf1,s_1226c26c
p_ef76ca2f,s_bf3075db
p_cc66895d,s_daf29445
p_3bf01c93,s_53801eec
p_f1328d30,s_adabe60f
p_bdafded7,s_15482d5e
p_155e5fdc,s_4f15b8c9
p_29cd2c8f,s_ef59e706
p_8881251b,s_12be045b
p_280e640d,s_339967f6
p_a3ac8d64,s_0960e941
p_c75480a7,s_3cf5a1de
p_1e45fe12,s_986da94b
p_65365a2f,s_0a099583
p_0408be73,s_d7b8c3f9
p_95f110c6,s_1a18f47e
p_79cde0d9,s_aa2d880f
p_33c16246,s_6b4390a6
p_ff8b86e9,s_6b4390a6
p_9c4bec01,s_eee20e9b
p_e1e72d49,s_eee20e9b
p_979fa2e9,s_fcea60cb
p_d08cce0d,s_40a7ec4b
p_e2a6cec8,s_3ce98706
p_11106bb6,s_7380f085
p_926e7fc0,s_7380f085
p_b49399da,s_ff91bd8e
p_01908ab0,s_8a61de86
p_64091f25,s_8a61de86
p_8dcef4a2,s_6daa0e38
p_93afe082,s_6a151158
p_7f79b433,s_9ccd2c5c
p_be462dee,s_9ccd2c5c
p_38f74fe5,s_ed244e6c
p_cd953b99,s_f5c2ba1b
p_2fccc3ea,s_43949100
p_b8d1b58f,s_f022b9dc
