ability,generation,is_main_series,flavor_text,name
a_3ec50b4c,6.0,1.0,Parent and child each attacks.,Parental Bond
a_5e039a96,6.0,1.0,Normal-type moves become Flying-type moves.The power of those moves is boosted a little.,Aerilate
a_19fe5194,6.0,1.0,Contact with the Pokémon lowers the attacker’sSpeed stat.,Gooey
a_57bf3120,6.0,1.0,Normal-type moves become Fairy-type moves.The power of those moves is boosted a little.,Pixilate
a_defe9b51,6.0,1.0,Powers up moves that make direct contact.,Tough Claws
a_06091c6b,6.0,1.0,The Pokémon passes its item to an ally that hasused up an item.,Symbiosis
a_1fdb5f3f,6.0,1.0,The Pokémon changes the weather to nullifyFire-type attacks.,Primordial Sea
a_9765fc9c,6.0,1.0,The effects of “Aura” Abilities are reversedto lower the power of affected moves.,Aura Break
a_d24a9895,8.0,1.0,Ignores the effects of opposing Pokémons Abilities andmoves that draw in moves.,Propeller Tail
a_24b89273,4.0,1.0,The Pokémon can use “not very effective” movesto deal regular damage.,Tinted Lens
a_13715b39,8.0,1.0,Boosts the Pokémons Attack stat when the Pokémonenters a battle.,Intrepid Sword
a_9e0b713e,3.0,1.0,This Pokémon steps on the opposing Pokémon’sshadow to prevent it from escaping.,Shadow Tag
a_a56d16b3,3.0,1.0,"The Pokémon intimidates opposing Pokémon uponentering battle, lowering their Attack stat.",Intimidate
a_cf82dcae,3.0,1.0,This Pokémon uses suction cups to stay in one spotto negate all moves and items that forceswitching out.,Suction Cups
a_6a9da394,3.0,1.0,"This Pokémon has its own tempo, and that preventsit from becoming confused.",Own Tempo
a_b67d65c2,3.0,1.0,"Contact with the Pokémon may inflict poison, sleep,or paralysis on its attacker.",Effect Spore
a_2c57410b,3.0,1.0,"By floating in the air, the Pokémon receives fullimmunity to all Ground-type moves.",Levitate
a_d60513f8,3.0,1.0,Its mysterious power only lets supereffective moveshit the Pokémon.,Wonder Guard
a_3fe0d2c1,3.0,1.0,This Pokémon inflicts damage with its rough skinto the attacker on contact.,Rough Skin
a_bdb0d5a5,3.0,1.0,Prevents other Pokémon’s moves or Abilities fromlowering the Pokémon’s stats.,Clear Body
a_0887a343,3.0,1.0,"The attacker will receive the same status condition ifit inflicts a burn, poison, or paralysis to the Pokémon.",Synchronize
a_42cc9d36,7.0,1.0,Doubles the damage dealt to the targetsreplacement if the target switches out.,Stakeout
a_7ec37374,3.0,1.0,Doubles the damage dealt to the targetsreplacement if the target switches out.,Stakeout
a_738a7ea7,4.0,1.0,Reduces the power of supereffective attacks taken.,Filter
a_d23eaf84,4.0,1.0,Boosts the Pokémons Attack stat when the Pokémonenters a battle.,Intrepid Sword
a_7f3ae59d,3.0,1.0,Protects the Pokémon from recoil damage.,Rock Head
a_cdd6d28a,5.0,0.0,,Herbivore
a_7747efbb,3.0,0.0,,Herbivore
a_f3f3ef64,6.0,1.0,Gives priority to Flying-type moves whenthe Pokémon’s HP is full.,Gale Wings
a_ef0037e2,5.0,1.0,Draws in all Water-type moves. Instead of being hitby Water-type moves it boosts its Sp. Atk.,Storm Drain
a_c3243fb1,4.0,0.0,Powers up moves of the same type as the Pokémon.,Adaptability
a_17992874,8.0,1.0,Boosts the Pokémons Speed stat drastically if hit by aFire- or Water-type move.,Steam Engine
a_eb23a010,8.0,1.0,Boosts the Pokémons Speed stat drastically if hit by aFire- or Water-type move.,Steam Engine
a_854590ca,5.0,0.0,,Melee
a_62490cbe,8.0,1.0,When hit by a move that makes direct contactthe Pokémon and the attacker will faint after three turnsunless they switch out of battle.,Perish Body
a_3416907c,8.0,1.0,When hit by a move that makes direct contactthe Pokémon and the attacker will faint after three turnsunless they switch out of battle.,Perish Body
a_c68511c9,4.0,1.0,Reduces the power of supereffective attacks taken.,Solid Rock
a_67f8615c,5.0,0.0,,Lunchbox
a_61e17174,5.0,0.0,,Life Force
a_0d29d3b8,5.0,0.0,,Medic
a_012d05f3,5.0,0.0,,Hot Blooded
a_ee3dad3e,5.0,0.0,,Bodyguard
a_93812252,5.0,0.0,,Sponge
a_5a720b5f,5.0,0.0,,Melee
a_f64d294b,5.0,0.0,,Nurse
a_975bbed6,7.0,1.0,Reduces the amount of damage the Pokémon takeswhile its HP is full.,Shadow Shield
a_429364c2,7.0,1.0,Prevents other Pokémon’s moves or Abilities fromlowering the Pokémon’s stats.,Full Metal Body
a_2bbcf08b,5.0,0.0,,Last Bastion
a_094317c6,7.0,1.0,Reduces the power of supereffective attacks taken.,Prism Armor
a_06994277,8.0,1.0,Boosts the Pokémon’s Defense stat when the Pokémonenters a battle.,Dauntless Shield
a_35582f58,8.0,1.0,Boosts the Pokémon’s Attack stat when the Pokémonenters a battle.,Intrepid Sword
a_16915479,8.0,1.0,"If the Pokémon is not holding an item, it will fetchthe Poké Ball from the first failed throwof the battle.",Ball Fetch
a_13ccd39a,8.0,1.0,Changes the Pokémon’s type to the type of themove it’s about to use.,Libero
a_d990cf7e,8.0,1.0,Powers up Electric-type moves.,Transistor
a_a8f733d3,8.0,1.0,Powers up Dragon-type moves.,Dragon’s Maw
a_eeb3e064,8.0,1.0,"If the Pokémon uses moves that make direct contact,it can attack the target even if the target protects itself.",Unseen Fist
a_6aa99bd9,8.0,1.0,"When the Pokémon enters a battle, it scatters medicinefrom its shell, which removes all stat changesfrom allies.",Curious Medicine
a_ddb7d206,5.0,1.0,May poison a target when the Pokémonmakes contact.,Poison Touch
a_cca79a5a,4.0,1.0,The Pokémon can sense an opposing Pokémon’sdangerous moves.,Anticipation
a_faaeb3e3,4.0,1.0,Damages the attacker if it contacts the Pokémonwith a finishing hit.,Aftermath
a_230a65e6,4.0,1.0,The Pokémon is so lucky that the critical-hit ratiosof its moves are boosted.,Super Luck
a_65d9ec6e,5.0,1.0,Removes additional effects to increase the powerof moves when attacking.,Sheer Force
a_065f90d4,5.0,1.0,Steals an item from an attacker that madedirect contact.,Pickpocket
a_4d998458,5.0,1.0,Unnerves opposing Pokémon and makes them unableto eat Berries.,Unnerve
a_80646835,5.0,1.0,Makes stat changes have an opposite effect.,Contrary
a_0fe2cd74,4.0,1.0,Changes the Pokémon’s type to match the Plate orZ-Crystal it holds.,Multitype
a_7c125a84,3.0,1.0,It’s so gutsy that having a status condition booststhe Pokémon’s Attack stat.,Guts
a_97554c05,4.0,1.0,Reduces the HP of sleeping opposing Pokémon.,Bad Dreams
a_ae253dd9,4.0,1.0,Boosts the Attack and Sp. Def stats of itselfand allies in harsh sunlight.,Flower Gift
a_3def56fa,4.0,1.0,The Pokémon can’t use any held items.,Klutz
a_a7ce3926,5.0,1.0,Halves the Pokémon’s Attack and Sp. Atk statswhen its HP becomes half or less.,Defeatist
a_d53f6dec,5.0,1.0,Boosts the Pokémon’s Attack stat sharply when itsstats are lowered.,Defiant
a_63decacf,3.0,1.0,Protects the Pokémon from recoil damage.,Rock Head
a_1ea344d1,3.0,1.0,Powers up Bug-type moves when the Pokémon’s HPis low.,Swarm
a_59f52a18,4.0,1.0,Draws in all Water-type moves. Instead of being hitby Water-type moves it boosts its Sp. Atk.,Storm Drain
a_af9da1de,4.0,1.0,Powers up the Pokémon’s weaker moves.,Technician
a_509e5eec,4.0,1.0,Maximizes the number of times multistrikemoves hit.,Skill Link
a_53b3daa5,4.0,1.0,The Pokémon moves after all other Pokémon do.,Stall
a_556d4dd2,5.0,0.0,,Medic
a_729cd6e1,7.0,1.0,When its HP becomes half or less the Pokémonsshell breaks and it becomes aggressive.,Shields Down
a_73c3c14c,7.0,1.0,When its HP becomes half or less the Pokémonsshell breaks and it becomes aggressive.,Shields Down
a_a78f6a2b,4.0,1.0,The Pokémon summons a hailstorm when it entersa battle.,Snow Warning
a_a8a9209d,4.0,1.0,The Pokémon summons a hailstorm when it entersa battle.,Snow Warning
a_d5273ef5,7.0,0.0,Reduces the amount of damage the Pokémon takeswhile its HP is full.,Shadow Shield
a_3817dec8,7.0,1.0,Reduces the amount of damage the Pokémon takeswhile its HP is full.,Shadow Shield
a_851bd6e7,8.0,1.0,This Pokémon has its own tempo and that preventsit from becoming confused.,Own Tempo
a_b99ab67a,5.0,1.0,"Protects the Pokémon from things like sand, hail,and powder.",Overcoat
a_5e4bec3f,7.0,1.0,Prevents other Pokémons moves or Abilities fromlowering the Pokémons stats.,Full Metal Body
a_0efbf161,4.0,1.0,The Pokémon moves after all other Pokémon do.,Stall
a_d57ee3a5,7.0,0.0,Turns the ground into Psychic Terrain whenthe Pokémon enters a battle.,Psychic Surge
a_ac0e2f65,7.0,0.0,Powers up moves that are super effective.,Neuroforce
a_5ba9dcf0,8.0,1.0,Changes the Pokémons type depending on the terrain.,Mimicry
a_d66fa9aa,6.0,1.0,Changes the Pokémons type depending on the terrain.,Mimicry
a_3c152112,3.0,1.0,The Pokémon is protected by its white smoke whichprevents other Pokémon from lowering its stats.,White Smoke
a_30d2cf4a,5.0,0.0,,Explode
a_2e1eba80,5.0,1.0,The Pokémon is suffering from insomnia and cannotfall asleep.,Insomnia
a_fc59c809,7.0,1.0,Contact with the Pokémon lowers the attackersSpeed stat.,Tangling Hair
a_116865ab,5.0,1.0,,Hot Blooded
a_365aedee,7.0,1.0,It’s always drowsing and will never wake up.It can attack without waking up.,Comatose
a_787b07b3,7.0,1.0,The Pokémon can poison the target even if it’sa Steel or Poison type.,Corrosion
a_5b32e278,7.0,1.0,"Surprises the opposing Pokémon, making it unableto attack using priority moves.",Dazzling
a_6c19cdf1,5.0,1.0,,Sandpit
a_66631df8,6.0,1.0,Halves the damage from physical moves.,Fur Coat
a_49550b34,8.0,1.0,"When the Pokémon uses Surf or Dive, it will come backwith prey. When it takes damage, it will spit out the preyto attack.",Gulp Missile
a_454a06a6,8.0,1.0,Ignores the effects of opposing Pokémon’s Abilities andmoves that draw in moves.,Stalwart
a_273d2636,8.0,1.0,Boosts the Pokémon’s Speed stat drastically if hit by aFire- or Water-type move.,Steam Engine
a_3eef9664,8.0,1.0,Boosts the power of sound-based moves.The Pokémon also takes half the damage fromthese kinds of moves.,Punk Rock
a_7949c046,8.0,1.0,The Pokémon creates a sandstorm when it’s hit byan attack.,Sand Spit
a_9f33f5a8,8.0,1.0,"The Pokémon is protected by ice scales, which halvethe damage taken from special moves.",Ice Scales
a_19229530,8.0,1.0,Ripens Berries and doubles their effect.,Ripen
a_a8faaa13,8.0,1.0,"The Pokémon’s ice head can take a physical attack asa substitute, but the attack also changes the Pokémon’sappearance. The ice will be restored when it hails.",Ice Face
a_1f127da3,8.0,1.0,Just being next to the Pokémon powers up moves.,Power Spot
a_62ae2e8e,5.0,1.0,Moves can be used on the target regardless ofits Abilities.,Turboblaze
a_ba9d71e6,5.0,1.0,Boosts the accuracy of its allies and itself.,Victory Star
a_b710f421,6.0,1.0,Protects itself and its allies from attacks that limittheir move choices.,Aroma Veil
a_ebf44d3f,5.0,1.0,Moves can be used on the target regardless ofits Abilities.,Teravolt
a_cecd362b,6.0,1.0,Restores HP as well when the Pokémon eats a Berry.,Cheek Pouch
a_3bc1b755,6.0,1.0,Ally Grass-type Pokémon are protected fromstatus conditions and the lowering of their stats.,Flower Veil
a_aff5aa3e,8.0,1.0,"When the Pokémon is hit by an attack, it scatterscotton fluff around and lowers the Speed stat ofall Pokémon except itself.",Cotton Down
a_525309cc,5.0,0.0,,Mountaineer
a_046c3d23,7.0,1.0,Boosts the Defense stat when hit by an attack.,Stamina
a_48f76a8e,4.0,1.0,Boosts the Speed stat if the Pokémon has astatus condition.,Quick Feet
a_10f76ae2,7.0,1.0,"Halves the damage taken from moves that makedirect contact, but doubles that of Fire-type moves.",Fluffy
a_a862e4cf,5.0,,,Warm Blanket
a_dcb50e67,5.0,0.0,,Perception
a_a80919df,7.0,1.0,Boosts the Pokémon’s Defense stat sharply when hitby a Water-type move.,Water Compaction
a_20158ca6,5.0,0.0,,Instinct
a_923b361a,,1.0,This Pokémon steps on the opposing Pokémonsshadow to prevent it from escaping.,Shadow Tag
a_ae076a66,5.0,0.0,,Jagged Edge
a_1a4362b0,5.0,0.0,,Parry
a_bd19e6e3,6.0,1.0,Changes the Pokémons shape when HP is halfor less.,Zen Mode
a_56e464cc,5.0,1.0,Changes the Pokémons shape when HP is halfor less.,Zen Mode
a_72c04570,5.0,0.0,,Shield
a_81e950f8,4.0,0.0,When it enters a battle the Pokémon can tell one ofthe moves an opposing Pokémon has.,Forewarn
a_fcbb3b39,4.0,1.0,When it enters a battle the Pokémon can tell one ofthe moves an opposing Pokémon has.,Forewarn
a_e00dbd35,3.0,1.0,Contact with the Pokémon may poison the attacker.,Poison Point
a_07dadac8,3.0,1.0,"The Pokémon’s intensely focused, and that protectsthe Pokémon from flinching.",Inner Focus
a_16bd3ac2,5.0,0.0,,Dodge
a_56747035,3.0,1.0,Boosts the Pokémon’s Speed stat in harsh sunlight.,Chlorophyll
a_8b57d71f,3.0,1.0,Raises the likelihood of meeting wild Pokémon byilluminating the surroundings.,Illuminate
a_5f2264a8,3.0,1.0,"When it enters a battle, the Pokémon copies anopposing Pokémon’s Ability.",Trace
a_491c37d2,3.0,1.0,Doubles the Pokémon’s Attack stat.,Huge Power
a_57fd0ee4,3.0,1.0,All status conditions heal when the Pokémonswitches out.,Natural Cure
a_d25ef48e,3.0,1.0,"The Pokémon draws in all Electric-type moves.Instead of being hit by Electric-type moves,it boosts its Sp. Atk.",Lightning Rod
a_fba851dd,3.0,1.0,Boosts the likelihood of additional effects occurringwhen attacking.,Serene Grace
a_229f5c57,3.0,1.0,Boosts the Pokémon’s Speed stat in rain.,Swift Swim
a_05276d90,7.0,1.0,Contact with the Pokémon lowers the attackersSpeed stat.,Tangling Hair
a_6cb22f43,7.0,1.0,The Pokémon boosts its most proficient stat eachtime it knocks out a Pokémon.,Beast Boost
a_17f67c52,3.0,1.0,The Pokémon boosts its most proficient stat eachtime it knocks out a Pokémon.,Beast Boost
a_3be79eec,8.0,1.0,Gives priority to Flying-type moves whenthe Pokémons HP is full.,Gale Wings
a_8a186233,7.0,1.0,Its majesty pressures the opposing Pokémonmaking it unable to attack using priority moves.,Queenly Majesty
a_eba00ce9,7.0,0.0,Its majesty pressures the opposing Pokémonmaking it unable to attack using priority moves.,Queenly Majesty
a_c1be4efc,6.0,1.0,When the Pokémon enters a battle it scatters medicinefrom its shell which removes all stat changesfrom allies.,Curious Medicine
a_a44fab04,7.0,0.0,Turns the ground into Grassy Terrain whenthe Pokémon enters a battle.,Grassy Surge
a_08e016a1,7.0,1.0,Turns the ground into Grassy Terrain whenthe Pokémon enters a battle.,Grassy Surge
a_d7a0b94c,,1.0,The Pokémon transforms with the weather to changeits type to Water Fire or Ice.,Forecast
a_27b2d3fc,4.0,1.0,The Pokémon transforms with the weather to changeits type to Water Fire or Ice.,Forecast
a_4c9b0317,5.0,0.0,,Omnipotent
a_020e2c9d,4.0,1.0,The Pokémon changes the weather to nullifyFire-type attacks.,Primordial Sea
a_dc3ecb3e,,0.0,,Sprint
a_3cbc03e6,3.0,1.0,Boosts the Pokémons evasiveness in a sandstorm.,Sand Veil
a_90ef20e3,3.0,1.0,Boosts the Pokémons evasiveness in a sandstorm.,Sand Veil
a_c6e75b45,3.0,1.0,The Pokémon summons a sandstorm when it entersa battle.,Sand Stream
a_774e8b58,3.0,0.0,The Pokémon summons a sandstorm when it entersa battle.,Sand Stream
a_448f8e14,,1.0,Boosts evasiveness in a hailstorm.,Snow Cloak
a_b24f84ad,4.0,1.0,Boosts evasiveness in a hailstorm.,Snow Cloak
a_5b557625,8.0,0.0,Ignores the effects of opposing Pokémons Abilities andmoves that draw in moves.,Stalwart
a_418c6e5f,5.0,0.0,,Warm Blanket
a_d4ff2001,5.0,0.0,,Gulp
a_57dcc594,5.0,0.0,,Power Nap
a_029b08df,5.0,0.0,,Spirit
a_29a459fc,5.0,0.0,,Pride
a_ab1edd1c,5.0,0.0,,Deep Sleep
a_5f5b9365,5.0,0.0,,Frostbite
a_52a7f633,5.0,0.0,,Tenacity
a_0bfbda0f,4.0,1.0,Powers up moves that have recoil damage.,Reckless
a_56eb2a2d,5.0,0.0,,Herbivore
a_deb1a3da,5.0,0.0,,Sandpit
a_3f5e64e5,6.0,1.0,The Pokémons intensely focused and that protectsthe Pokémon from flinching.,Inner Focus
a_4e48e3b2,4.0,1.0,Raises evasiveness if the Pokémon is confused.,Tangled Feet
a_3950986c,4.0,1.0,Raises evasiveness if the Pokémon is confused.,Tangled Feet
a_d36f5979,5.0,1.0,Boosts the Attack stat if hit by a Grass-type moveinstead of taking damage.,Sap Sipper
a_85d40aea,5.0,0.0,Boosts the Attack stat if hit by a Grass-type moveinstead of taking damage.,Sap Sipper
