move,generation,type,power,pp,accuracy,priority,target,damage_class,effect,effect_chance,contest_type,contest_effect,super_contest_effect,flavor_text,name
m_1741246e,3.0,id-12,,20.0,,0.0,7,1,182,,4.0,15.0,21.0,The user lays roots that restore its HP on every turn.Because its rooted it cant switch out.,Ingrain
m_aa1316dc,8.0,id-10,120.0,,90.0,0.0,10,2,5,10.0,,,,The user attacks by igniting a small stone and launchingit as a fiery ball at the target. This may also leave thetarget with a burn.,Pyro Ball
m_cc3d6418,4.0,id-1,,30.0,,0.0,4,1,241,,3.0,,13.0,This move cant be used.Its recommended that this move is forgotten.Once forgotten this move cant be remembered.,Lucky Chant
m_36f30b70,4.0,id-17,,5.0,100.0,0.0,10,2,246,,4.0,,23.0,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Punishment
m_426973b0,1.0,id-1,40.0,20.0,100.0,0.0,10,2,35,,4.0,11.0,23.0,Numerous coins are hurled at the target to inflictdamage. Money is earned after the battle.,Pay Day
m_e70a54b9,7.0,id-5,,,,0.0,10,2,1,,,,,This move cant be used.Its recommended that this move is forgotten.Once forgotten this move cant be remembered.,Tectonic Rage
m_df68c170,8.0,id-17,75.0,5.0,100.0,0.0,10,2,1,,,,,"The user lashes out to vent its frustration towardthe target. If the user’s stats were lowered during thisturn, the power of this move is doubled.",Lash Out
m_9f0b6665,2.0,id-1,,10.0,,4.0,7,1,117,,5.0,16.0,13.0,The user endures any attack with at least 1 HP.Its chance of failing rises if it is used in succession.,Endure
m_b670c6f3,8.0,id-1,,10.0,,4.0,7,1,112,,,,,This move enables the user to protect itself fromall attacks. Its chance of failing rises if it is usedin succession.,Max Guard
m_996fc962,5.0,id-14,,15.0,,,7,1,308,,,,,The user teleports using a strange power andswitches places with one of its allies.,Ally Switch
m_78847e52,7.0,id-3,,,,0.0,10,2,1,,,,,This move cant be used.Its recommended that this move is forgotten.Once forgotten this move cant be remembered.,Supersonic Skystrike
m_163e119c,3.0,id-1,,40.0,,0.0,10,1,114,,4.0,33.0,20.0,This move cant be used.Its recommended that this move is forgotten.Once forgotten this move cant be remembered.,Odor Sleuth
m_42631a51,7.0,id-11,195.0,1.0,,0.0,10,3,1,,,,,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Oceanic Operetta
m_52a0c391,7.0,id-17,180.0,1.0,,0.0,10,2,1,,,,,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Malicious Moonsault
m_accf7e5a,7.0,id-8,180.0,1.0,,0.0,10,2,1,,,,,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Sinister Arrow Raid
m_d683ed39,7.0,id-15,,20.0,,0.0,4,1,407,,,,,This move reduces damage from physical andspecial moves for five turns. This can be used onlyin a hailstorm.,Aurora Veil
m_a9de4ceb,7.0,id-17,60.0,20.0,100.0,0.0,9,2,406,,,,,The user swings its body around violently to inflictdamage on everything in its vicinity.,Brutal Swing
m_a294f13a,7.0,id-16,90.0,15.0,100.0,0.0,10,2,1,,,,,The user uses its body like a hammer to attack thetarget and inflict damage.,Dragon Hammer
m_5173b3f8,7.0,id-16,110.0,5.0,100.0,0.0,11,3,405,100.0,,,,The user rubs the scales on its entire body and makesa huge noise to attack opposing Pokémon.The user’s Defense stat goes down after the attack.,Clanging Scales
m_a511462e,7.0,id-3,100.0,15.0,100.0,-3.0,10,2,404,,,,,"The user first heats up its beak, and then it attacksthe target. Making direct contact with the Pokémonwhile it’s heating up its beak results in a burn.",Beak Blast
m_4f05327b,8.0,id-13,,10.0,,0.0,2,2,1,,,,,This is an Electric-type attack Dynamax Pokémon use.The user turns the ground into Electric Terrain forfive turns.,Max Lightning
m_3250315a,8.0,id-13,10.0,10.0,,0.0,2,2,1,,,,,This is an Electric-type attack Dynamax Pokémon use.The user turns the ground into Electric Terrain forfive turns.,Max Lightning
m_97e7b3ec,,id-12,20.0,25.0,100.0,0.0,10,3,4,,4.0,9.0,20.0,A nutrient-draining attack. The users HP is restoredby half the damage taken by the target.,Absorb
m_d1ec32f3,1.0,id-12,20.0,25.0,,0.0,10,3,4,,4.0,9.0,20.0,A nutrient-draining attack. The users HP is restoredby half the damage taken by the target.,Absorb
m_5057b547,7.0,id-8,195.0,1.0,,0.0,10,2,1,,,,,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Soul-Stealing 7-Star Strike
m_44b33281,7.0,id-18,,1.0,,0.0,10,3,413,,,,,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Guardian of Alola
m_d5a785a0,3.0,id-2,85.0,15.0,90.0,0.0,10,2,208,,1.0,23.0,17.0,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Sky Uppercut
m_d6d7d491,3.0,id-14,80.0,20.0,100.0,0.0,10,3,32,10.0,1.0,4.0,17.0,"The user attacks with an odd, unseeable power.This may also make the target flinch.",Extrasensory
m_90a8beaf,3.0,id-8,60.0,20.0,,0.0,10,2,18,,4.0,27.0,17.0,The user throws a punch from the shadows. Thisattack never misses.,Shadow Punch
m_e54a5c4d,3.0,id-7,75.0,15.0,100.0,0.0,10,3,77,10.0,2.0,21.0,4.0,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Signal Beam
m_ba2580d3,3.0,id-8,,5.0,,0.0,7,1,195,,5.0,26.0,10.0,"If the user faints, the user’s grudge fully depletesthe PP of the opponent’s move that knocked it out.",Grudge
m_d31cad0b,3.0,id-17,,10.0,,4.0,7,1,196,,4.0,14.0,12.0,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Snatch
m_04777036,3.0,id-1,,20.0,100.0,0.0,10,1,206,,3.0,33.0,19.0,"The user tickles the target into laughing, reducing itsAttack and Defense stats.",Tickle
m_7793dd35,3.0,id-12,,15.0,55.0,0.0,10,1,2,,4.0,5.0,19.0,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Grass Whistle
m_0b25133a,3.0,id-10,150.0,5.0,100.0,0.0,11,3,191,,2.0,26.0,18.0,"The user attacks opposing Pokémon with explosivefury. The lower the user’s HP, the lower themove’s power.",Eruption
m_70a45fee,3.0,id-14,,10.0,,0.0,10,1,192,,4.0,20.0,12.0,The user employs its psychic power to exchangeAbilities with the target.,Skill Swap
m_8c932b12,3.0,id-14,,10.0,,0.0,7,1,193,,4.0,33.0,20.0,"If opposing Pokémon know any move also known bythe user, they are prevented from using it.",Imprison
m_ed35a4d1,3.0,id-1,,20.0,,0.0,7,1,194,,3.0,32.0,8.0,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Refresh
m_330f1775,3.0,id-2,75.0,15.0,100.0,0.0,10,2,187,,1.0,4.0,5.0,"The user attacks with a swift chop. It can also breakbarriers, such as Light Screen and Reflect.",Brick Break
m_05d22932,3.0,id-1,,10.0,,0.0,10,1,188,,3.0,18.0,19.0,The user lets loose a huge yawn that lulls the targetinto falling asleep on the next turn.,Yawn
m_7eb204b8,3.0,id-15,,5.0,30.0,0.0,10,3,39,,2.0,14.0,9.0,The target faints instantly. It’s less likely to hit thetarget if it’s used by Pokémon other than Ice types.,Sheer Cold
m_03c084dd,3.0,id-1,,5.0,100.0,0.0,10,2,190,,5.0,28.0,15.0,This attack move cuts down the target’s HP to equalthe user’s HP.,Endeavor
m_5f0cf551,3.0,id-5,,,,0.0,12,1,202,,3.0,1.0,13.0,This move cant be used.Its recommended that this move is forgotten.Once forgotten this move cant be remembered.,Mud Sport
m_70cc7221,7.0,id-1,210.0,1.0,,0.0,10,2,1,,,,,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Pulverizing Pancake
m_8f6c764f,4.0,id-3,65.0,20.0,100.0,0.0,10,3,268,100.0,4.0,,23.0,The user attacks the target with sound waves ofdeafening chatter. This confuses the target.,Chatter
m_ab175ec7,4.0,id-1,100.0,10.0,100.0,0.0,10,3,269,,4.0,,14.0,The user releases countless shots of light at thetarget. This move’s type varies depending on thekind of Plate the user is holding.,Judgment
m_97d34ec3,4.0,id-6,,20.0,,0.0,6,1,267,,1.0,,13.0,The user lays a trap of levitating stones around theopposing team. The trap hurts opposing Pokémonthat switch into battle.,Stealth Rock
m_4c85eb9b,4.0,id-12,,20.0,100.0,0.0,10,3,197,,4.0,,4.0,"The user snares the target with grass and trips it.The heavier the target, the greater themove’s power.",Grass Knot
m_6cc98207,4.0,id-6,100.0,5.0,80.0,0.0,10,2,44,,5.0,,4.0,The user stabs the target from below withsharpened stones. Critical hits land more easily.,Stone Edge
m_4c39a1d5,4.0,id-1,,20.0,100.0,0.0,11,1,266,,2.0,,19.0,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Captivate
m_3a92d272,4.0,id-9,80.0,15.0,100.0,0.0,10,2,32,30.0,5.0,,18.0,The user slams the target with its steel-hard head.This may also make the target flinch.,Iron Head
m_0fb60892,4.0,id-9,60.0,20.0,,0.0,10,2,18,,1.0,,5.0,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Magnet Bomb
m_df9f121e,4.0,id-4,70.0,20.0,100.0,0.0,10,2,210,10.0,1.0,,5.0,A slashing attack with a poisonous blade that mayalso poison the target. Critical hits land more easily.,Cross Poison
m_d0ee0d23,4.0,id-4,120.0,5.0,80.0,0.0,10,2,3,30.0,1.0,,5.0,The user shoots filthy garbage at the target toattack. This may also poison the target.,Gunk Shot
m_dda88db0,3.0,id-1,,20.0,,2.0,7,1,173,,3.0,24.0,14.0,"The user draws attention to itself, making all targetstake aim only at the user.",Follow Me
m_15c096e6,3.0,id-1,,20.0,,0.0,10,1,174,,2.0,11.0,14.0,This attack makes use of nature’s power. Itseffects vary depending on the user’s environment.,Nature Power
m_2e0b1cde,3.0,id-2,150.0,20.0,100.0,-3.0,10,2,171,,5.0,31.0,6.0,The user focuses its mind before launching a punch.This move fails if the user is hit before it is used.,Focus Punch
m_404b8091,3.0,id-1,70.0,10.0,100.0,0.0,10,2,172,,4.0,9.0,16.0,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Smelling Salts
m_36234980,1.0,id-5,100.0,10.0,100.0,0.0,9,2,148,,5.0,5.0,18.0,The user sets off an earthquake that strikes everyPokémon around it.,Earthquake
m_4a0b7b9f,1.0,id-6,50.0,15.0,90.0,0.0,10,2,1,,5.0,12.0,5.0,The user picks up and throws a small rock at thetarget to attack.,Rock Throw
m_c765c162,1.0,id-8,,10.0,100.0,0.0,10,1,50,,4.0,21.0,10.0,The target is exposed to a sinister ray thattriggers confusion.,Confuse Ray
m_152ee6b9,1.0,id-1,,20.0,100.0,0.0,10,1,24,,4.0,22.0,10.0,The user releases an obscuring cloud of smoke orink. This lowers the target’s accuracy.,Smokescreen
m_3bea4f24,1.0,id-13,90.0,15.0,100.0,0.0,10,3,7,10.0,1.0,1.0,17.0,A strong electric blast crashes down on the target.This may also leave the target with paralysis.,Thunderbolt
m_114d2f74,1.0,id-13,40.0,30.0,100.0,0.0,10,3,7,10.0,1.0,1.0,5.0,A jolt of electricity crashes down on the target toinflict damage. This may also leave the targetwith paralysis.,Thunder Shock
m_853f3840,1.0,id-13,110.0,10.0,70.0,0.0,10,3,153,30.0,1.0,8.0,17.0,A wicked thunderbolt is dropped on the target toinflict damage. This may also leave the targetwith paralysis.,Thunder
m_786c67b2,1.0,id-13,,20.0,90.0,0.0,10,1,68,,1.0,14.0,19.0,The user launches a weak jolt of electricity thatparalyzes the target.,Thunder Wave
m_dacfeeed,1.0,id-7,,40.0,95.0,0.0,11,1,61,,4.0,9.0,19.0,Opposing Pokémon are bound with silk blown fromthe user’s mouth that harshly lowers the Speed stat.,String Shot
m_9952e9a0,1.0,id-12,120.0,10.0,100.0,0.0,8,3,28,,2.0,6.0,21.0,The user attacks the target by scattering petals fortwo to three turns. The user then becomes confused.,Petal Dance
m_f81cb2e9,1.0,id-10,35.0,15.0,85.0,0.0,10,3,43,100.0,2.0,24.0,21.0,The target becomes trapped within a fierce vortexof fire that rages for four to five turns.,Fire Spin
m_b296577b,1.0,id-16,,10.0,100.0,0.0,10,3,42,,1.0,26.0,5.0,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Dragon Rage
m_76f692d2,4.0,id-12,,10.0,,0.0,7,1,329,,,,,The user protects itself by wrapping its body in softcotton which drastically raises the usersDefense stat.,Cotton Guard
m_9b357f8a,3.0,id-13,60.0,20.0,,0.0,10,3,18,,1.0,27.0,17.0,The user strikes the target with a quick jolt ofelectricity. This attack never misses.,Shock Wave
m_ef364104,6.0,id-18,,10.0,,0.0,7,1,366,,,,,The user absorbs energy and sharply raises itsSp. Atk Sp. Def and Speed stats on the next turn.,Geomancy
m_c9940947,7.0,id-12,125.0,10.0,100.0,0.0,10,2,152,,,,,"In this two-turn attack, the user gathers light and fills ablade with the light’s energy, attacking the target on thenext turn.",Solar Blade
m_50735d8a,6.0,id-17,,20.0,,,10,1,348,,,,,All stat changes affecting the target turntopsy-turvy and become the opposite of whatthey were.,Topsy-Turvy
m_273b8553,3.0,id-3,,15.0,,0.0,10,1,59,,2.0,28.0,19.0,The user covers the targets body with a mass ofdown that harshly lowers its Attack stat.,Feather Dance
m_7078a8d5,4.0,id-8,,5.0,100.0,0.0,10,3,141,10.0,4.0,,11.0,This move cant be used.Its recommended that this move is forgotten.Once forgotten this move cant be remembered.,Ominous Wind
m_4d599d3a,4.0,id-3,,15.0,,0.0,4,1,226,,4.0,,1.0,The user whips up a turbulent whirlwind that upsthe Speed stats of the user and its allies forfour turns.,Tailwind
m_453fed97,1.0,id-1,,20.0,100.0,0.0,10,2,44,,1.0,2.0,5.0,The target is attacked with a slash of claws orblades. Critical hits land more easily.,Slash
m_67deef61,3.0,id-6,25.0,10.0,90.0,0.0,10,2,30,,5.0,12.0,7.0,The user hurls hard rocks at the target. Two to fiverocks are launched in a row.,Rock Blast
m_ff9393aa,4.0,id-18,40.0,15.0,,0.0,11,3,381,,,,,Letting out a charming cry the user does emotionaldamage to opposing Pokémon. This attacknever misses.,Disarming Voice
m_df89b523,6.0,id-18,40.0,15.0,,0.0,11,3,381,,,,,Letting out a charming cry the user does emotionaldamage to opposing Pokémon. This attacknever misses.,Disarming Voice
m_2130acae,3.0,id-10002,40.0,,100.0,0.0,10,2,1,,,,,,Shadow Blitz
m_4bd6c98c,2.0,id-5,25.0,10.0,90.0,0.0,10,2,30,,5.0,1.0,7.0,The user strikes the target with a hard bone two tofive times in a row.,Bone Rush
m_af8c129b,2.0,id-1,,5.0,,0.0,10,1,95,,4.0,24.0,20.0,The user takes sure aim at the target. This ensuresthe next attack does not miss the target.,Lock-On
m_acbf24a5,2.0,id-9,70.0,25.0,90.0,0.0,10,2,139,10.0,1.0,12.0,5.0,The target is hit with wings of steel. This may alsoraise the user’s Defense stat.,Steel Wing
m_47688a3b,2.0,id-7,40.0,20.0,95.0,0.0,10,2,120,,1.0,17.0,7.0,The target is slashed with scythes or claws. Thisattack becomes more powerful if it hitsin succession.,Fury Cutter
m_cf974c24,2.0,id-1,,15.0,90.0,0.0,10,2,123,,3.0,17.0,16.0,"The user attacks by giving the target a gift with ahidden trap. It restores HP sometimes, however.",Present
m_375e6960,2.0,id-1,,20.0,100.0,0.0,10,2,122,,3.0,13.0,17.0,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Return
m_6fa1510a,2.0,id-1,,5.0,,0.0,13,1,103,,2.0,28.0,8.0,The user makes a soothing bell chime to heal thestatus conditions of all the party Pokémon.,Heal Bell
m_0dfdbc62,2.0,id-1,,10.0,,0.0,7,1,98,,3.0,17.0,5.0,"While it is asleep, the user randomly uses one of themoves it knows.",Sleep Talk
m_80455db0,2.0,id-11,65.0,10.0,85.0,0.0,10,3,74,50.0,5.0,10.0,4.0,The user attacks by spraying ink in the target’s faceor eyes. This may also lower the target’s accuracy.,Octazooka
m_8829f605,2.0,id-5,,20.0,,0.0,6,1,113,,4.0,18.0,13.0,The user lays a trap of spikes at the opposingteam’s feet. The trap hurts Pokémon that switchinto battle.,Spikes
m_5f37dd04,2.0,id-13,120.0,5.0,50.0,0.0,10,3,7,100.0,1.0,1.0,4.0,The user fires an electric blast like a cannon to inflictdamage and cause paralysis.,Zap Cannon
m_b71fcb3d,2.0,id-1,,40.0,,0.0,10,1,114,,4.0,33.0,20.0,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Foresight
m_05c382e2,2.0,id-8,,5.0,,0.0,7,1,99,,4.0,7.0,9.0,"After using this move, if the user faints, thePokémon that landed the knockout hit also faints.Its chance of failing rises if it is used in succession.",Destiny Bond
m_d95de44e,2.0,id-1,,5.0,,0.0,14,1,115,,2.0,14.0,10.0,"Any Pokémon that hears this song faints in threeturns, unless it switches out of battle.",Perish Song
m_a929b487,2.0,id-15,55.0,15.0,95.0,0.0,11,3,71,100.0,2.0,5.0,2.0,The user attacks with a gust of chilled air. This alsolowers opposing Pokémon’s Speed stats.,Icy Wind
m_00783719,2.0,id-2,,5.0,,4.0,7,1,112,,1.0,16.0,16.0,This move enables the user to protect itself fromall attacks. Its chance of failing rises if it is usedin succession.,Detect
m_f3c67efa,1.0,id-2,,20.0,100.0,0.0,10,2,197,,5.0,4.0,5.0,"A powerful low kick that makes the target fall over.The heavier the target, the greater the move’s power.",Low Kick
m_956533e3,4.0,id-2,100.0,10.0,90.0,0.0,10,2,219,100.0,1.0,,2.0,"The user swings and hits with its strong, heavy fist.It lowers the user’s Speed, however.",Hammer Arm
m_f987804c,8.0,id-11,85.0,10.0,100.0,0.0,10,2,431,,,,,"The user rends the target with its hard gills.If the user attacks before the target, the power of thismove is doubled.",Fishious Rend
m_4ddccf03,1.0,id-2,80.0,20.0,80.0,0.0,10,2,49,,1.0,3.0,5.0,The user grabs the target and recklessly dives forthe ground. This also damages the user a little.,Submission
m_6da7d9da,8.0,id-16,160.0,5.0,90.0,0.0,10,3,81,,,,,This is Eternatus’s most powerful attack in its originalform. The user can’t move on the next turn.,Eternabeam
m_e68e3a14,4.0,id-12,,20.0,100.0,0.0,10,3,197,,4.0,,4.0,The user snares the target with grass and trips it.The heavier the target the greater themoves power.,Grass Knot
m_a3fe0649,1.0,id-3,80.0,20.0,100.0,0.0,10,2,1,,1.0,1.0,5.0,A corkscrewing attack that strikes the target with asharp beak acting as a drill.,Drill Peck
m_19eebd81,5.0,id-1,70.0,5.0,100.0,0.0,10,2,320,,,,,The user gets revenge for a fainted ally. If an allyfainted in the previous turn this moves poweris increased.,Retaliate
m_7202d6fe,1.0,id-3,40.0,35.0,100.0,0.0,10,3,150,,4.0,21.0,5.0,A gust of wind is whipped up by wings and launchedat the target to inflict damage.,Gust
m_cae42c9a,1.0,id-3,60.0,35.0,100.0,0.0,10,2,1,,1.0,12.0,5.0,"The target is struck with large, imposing wingsspread wide to inflict damage.",Wing Attack
m_c9cbf900,1.0,id-1,,20.0,,0.0,7,1,51,,2.0,32.0,11.0,A frenetic dance to uplift the fighting spirit.This sharply raises the user’s Attack stat.,Swords Dance
m_b0479d73,1.0,id-1,50.0,30.0,95.0,0.0,10,2,1,,1.0,14.0,5.0,The target is cut with a scythe or claw.,Cut
m_7704d7f7,1.0,id-1,,5.0,30.0,0.0,10,2,39,,1.0,14.0,9.0,"A vicious, tearing attack with big pincers. The targetfaints instantly if this attack hits.",Guillotine
m_66ee091a,1.0,id-1,80.0,10.0,100.0,0.0,11,3,40,,1.0,2.0,6.0,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Razor Wind
m_de4c2391,1.0,id-1,40.0,35.0,100.0,0.0,10,2,1,,5.0,1.0,5.0,"Hard, pointed, sharp claws rake the target toinflict damage.",Scratch
m_5162add5,1.0,id-1,55.0,30.0,100.0,0.0,10,2,1,,5.0,1.0,5.0,The target is gripped and squeezed from both sidesto inflict damage.,Vise Grip
m_a75dac1d,1.0,id-1,150.0,5.0,90.0,0.0,10,3,81,,1.0,6.0,22.0,The target is attacked with a powerful beam.The user can’t move on the next turn.,Hyper Beam
m_74c15099,6.0,id-18,90.0,10.0,90.0,0.0,10,2,69,10.0,,,,The user plays rough with the target and attacks it.This may also lower the target’s Attack stat.,Play Rough
m_7fbe182a,4.0,id-9,,30.0,100.0,1.0,10,2,104,,4.0,,1.0,The user strikes the target with tough punches asfast as bullets. This move always goes first.,Bullet Punch
m_1f03599c,8.0,id-9,130.0,5.0,100.0,0.0,10,2,1,,,,,The user attacks while destroying the terrain. This movefails when the ground hasn’t turned into a terrain.,Steel Roller
m_d1c2771f,1.0,id-1,,20.0,,-6.0,10,1,29,,4.0,21.0,9.0,"The target is blown away, and a different Pokémon isdragged out. In the wild, this ends a battle against asingle Pokémon.",Whirlwind
m_e0350935,1.0,id-3,90.0,15.0,95.0,0.0,10,2,156,,4.0,15.0,6.0,The user flies up into the sky and then strikes its targeton the next turn.,Fly
m_0dc62e62,7.0,id-17,180.0,1.0,,0.0,10,2,1,,,,,This move cant be used.Its recommended that this move is forgotten.Once forgotten this move cant be remembered.,Malicious Moonsault
m_0b328e61,7.0,id-17,180.0,1.0,,0.0,10,2,1,,,,,This move cant be used.Its recommended that this move is forgotten.Once forgotten this move cant be remembered.,Malicious Moonsault
m_55b52751,1.0,id-3,35.0,35.0,100.0,0.0,10,2,1,,1.0,1.0,5.0,The target is jabbed with a sharply pointed beakor horn.,Peck
m_09f715b1,5.0,id-1,,15.0,100.0,0.0,10,1,300,,,,,"The user dances with an odd rhythm that compelsthe target to mimic it, making the target’s Abilitythe same as the user’s.",Entrainment
m_86ea2d9a,1.0,id-11,65.0,20.0,100.0,0.0,10,3,71,10.0,2.0,5.0,2.0,A spray of bubbles is forcefully ejected at thetarget. This may also lower the target’s Speed stat.,Bubble Beam
m_f3bd77df,7.0,id-10,130.0,5.0,,0.0,10,3,398,,,,,To inflict massive damage the user burns itself out.After using this move the user will no longer beFire type.,Burn Up
m_3bdb17ac,7.0,id-18,,1.0,,0.0,10,2,1,,,,,This move cant be used.Its recommended that this move is forgotten.Once forgotten this move cant be remembered.,Twinkle Tackle
m_01a39620,1.0,id-14,65.0,20.0,100.0,0.0,10,3,77,10.0,2.0,21.0,17.0,The target is attacked with a peculiar ray. This mayalso leave the target confused.,Psybeam
m_58f02696,8.0,id-12,,10.0,,,13,1,1,,,,,The user becomes one with the jungle restoring HPand healing any status conditions of itself and its allyPokémon in battle.,Jungle Healing
m_3e109639,3.0,id-1,90.0,10.0,,0.0,11,3,1,,1.0,5.0,5.0,The user lets loose a horribly echoing shout withthe power to inflict damage.,Hyper Voice
m_35b0aa45,1.0,id-5,100.0,10.0,100.0,0.0,9,2,148,,5.0,5.0,18.0,The user sets off an earthquake that strikes everyPokémon around it.,Earthquake
m_d079291e,1.0,id-5,100.0,10.0,100.0,0.0,9,2,148,,5.0,5.0,18.0,The user sets off an earthquake that strikes everyPokémon around it.,Earthquake
m_b9d7af79,4.0,id-6,150.0,5.0,80.0,0.0,10,2,270,,5.0,,22.0,The user attacks the target with a hazardousfull-power headbutt. This also damages theuser terribly.,Head Smash
m_baba2db1,4.0,id-6,150.0,5.0,80.0,0.0,10,2,270,,5.0,,22.0,The user attacks the target with a hazardousfull-power headbutt. This also damages theuser terribly.,Head Smash
m_4b8ac5f1,8.0,id-18,100.0,5.0,100.0,0.0,9,3,1,,,,,The user attacks everything around it and faints uponusing this move. This move’s power is increased onMisty Terrain.,Misty Explosion
m_e2644b0f,4.0,id-11,90.0,10.0,90.0,0.0,10,2,1,,3.0,,5.0,The user attacks by swinging its tail as if it were avicious wave in a raging storm.,Aqua Tail
m_11677fce,6.0,id-13,,20.0,,0.0,10,1,354,,,,,"If the target is electrified before it uses a moveduring that turn, the target’s move becomesElectric type.",Electrify
m_6eb9506d,7.0,id-13,,20.0,,0.0,10,3,1,,,,,This move cant be used.Its recommended that this move is forgotten.Once forgotten this move cant be remembered.,Pika Papow
m_e2ec753f,6.0,id-6,100.0,5.0,95.0,0.0,11,2,359,50.0,,,,The user whips up a storm of diamonds to damageopposing Pokémon. This may also sharply raise theuser’s Defense stat.,Diamond Storm
m_a96dd228,7.0,id-1,,20.0,,0.0,10,2,1,,,,,"This move can’t be used.It’s recommended that this move is forgotten.Once forgotten, this move can’t be remembered.",Veevee Volley
m_a4fa1ffe,1.0,id-14,,40.0,,0.0,7,1,11,,2.0,32.0,11.0,This move cant be used.Its recommended that this move is forgotten.Once forgotten this move cant be remembered.,Meditate
m_2a80e1f3,1.0,id-3,35.0,35.0,100.0,,10,2,1,,1.0,1.0,5.0,The target is jabbed with a sharply pointed beakor horn.,Peck
m_cccd194c,3.0,id-8,30.0,15.0,100.0,0.0,10,2,32,30.0,4.0,9.0,5.0,The user attacks the target while shouting in astartling fashion. This may also make thetarget flinch.,Astonish
m_1da1a56b,3.0,id-3,85.0,5.0,85.0,0.0,10,2,264,30.0,3.0,15.0,6.0,The user bounces up high then drops on the targeton the second turn. This may also leave the targetwith paralysis.,Bounce
m_d4696cd5,4.0,id-17,70.0,15.0,100.0,0.0,10,2,44,,2.0,,5.0,The user slashes the target the instant anopportunity arises. Critical hits land more easily.,Night Slash
m_50fd4694,5.0,id-11,80.0,,100.0,0.0,10,3,5,30.0,,,,The user shoots boiling hot water at its target.This may also leave the target with a burn.,Scald
m_3c34c61d,4.0,id-11,90.0,10.0,90.0,0.0,10,2,1,,3.0,,5.0,The user attacks by swinging its tail as if it were avicious wave in a raging storm.,Aqua Tail
m_81823e2b,5.0,id-11,80.0,15.0,100.0,0.0,10,3,5,30.0,,,,The user shoots boiling hot water at its target.This may also leave the target with a burn.,Scald
m_9922aca4,3.0,id-17,,10.0,,4.0,7,1,196,,4.0,14.0,12.0,This move cant be used.Its recommended that this move is forgotten.Once forgotten this move cant be remembered.,Snatch
m_140abf0f,8.0,id-13,80.0,15.0,90.0,0.0,10,3,1,100.0,,,,The user traps the target in a cage of sparkingelectricity for four to five turns.,Thunder Cage
m_1cf29339,2.0,id-1,,,100.0,0.0,10,2,122,,3.0,13.0,17.0,This move cant be used.Its recommended that this move is forgotten.Once forgotten this move cant be remembered.,Return
m_9661af95,2.0,id-2,,15.0,100.0,0.0,10,2,100,,1.0,28.0,15.0,An all-out attack that becomes more powerful theless HP the user has.,Reversal
m_585eb34d,4.0,id-16,100.0,10.0,75.0,0.0,10,2,32,20.0,1.0,,18.0,The user tackles the target while exhibitingoverwhelming menace. This may also make thetarget flinch.,Dragon Rush
m_66537449,5.0,id-14,80.0,10.0,,0.0,10,3,283,,,,,The user materializes an odd psychic wave to attackthe target. This attack does physical damage.,Psyshock
m_ba700897,3.0,id-5,35.0,15.0,85.0,0.0,10,2,43,100.0,4.0,24.0,21.0,The user traps the target inside a harshly ragingsandstorm for four to five turns.,Sand Tomb
m_1d1f95c2,3.0,id-5,,15.0,85.0,0.0,10,2,43,100.0,4.0,24.0,21.0,The user traps the target inside a harshly ragingsandstorm for four to five turns.,Sand Tomb
m_5aca096c,8.0,id-3,10.0,10.0,,0.0,2,2,1,,,,,This is a Flying-type attack Dynamax Pokémon use.This raises ally Pokémons Speed stats.,Max Airstream
m_5f88aa48,6.0,id-13,,15.0,100.0,0.0,10,1,62,,,,,The user’s body generates an eerie impulse.Exposing the target to it harshly lowers the target’sSp. Atk stat.,Eerie Impulse
m_b722f8de,7.0,id-13,110.0,10.0,100.0,0.0,10,2,437,100.0,,,,Morpeko attacks and raises its Speed with the energystored in its cheeks. This moves type changesdepending on the users form.,Aura Wheel
