artist,name,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,ended,artist_type,gender,area,comment
a1348,Любэ,Lyube,1989,1,14,,,,f,Group,,id-176,
a1349,Skachaos,Skachaos,,,,,,,f,Group,,,
a1350,Indigolapsed,Indigolapsed,2005,10,,,,,f,Group,,id-67,
a1351,横山菁児,Yokoyama Seizi,1935,3,17,2017,7,8,t,Person,Male,id-107,
a1352,Brad Walsh,Brad Walsh,,,,,,,f,Person,Male,,
a1353,Steven R Smith,Smith Steven R,,,,,,,f,Person,Male,,psychfolk rock artist
a1354,VAYAN,VAYAN,,,,,,,f,Person,Male,,
a1355,Controlled Bleeding,Controlled Bleeding,1979,,,,,,f,Group,,id-222,
a1356,Gesualdo Consort Amsterdam,Gesualdo Consort Amsterdam,1984,,,,,,f,Group,,id-7706,
a1357,Raimundos,Raimundos,1987,,,,,,f,Group,,id-30,
a1358,Don Mlen,Moen Doh,1950,6,29,,,,f,Person,Male,id-222,
a1359,ばねとりこ,Banetoriko,,,,,,,f,Person,Female,id-7703,
a1360,Nat King Cole,Cole Nat King,1919,3,17,1965,2,15,t,Person,Male,id-222,
a1361,Distsnce,Distance,,,,,,,f,Person,Male,rec-221-dup-0,UK dubstep art'lst Greg Sanders
a1362,Wolfgang Amadeus Mozart,Mozart Wolfgang Amadeus,1756,1,27,1791,12,5,t,Person,Male,id-14,classical composer
a1363,Distancs,Distance,,,,,,,f,Person,Male,rec-221-dup-0,UK dubztep artist Greg Sanders
a1364,Sophie de Bardonèche,Bardonnècbe Sophie de,,,,,,,f,Person,Female,,
a1365,Sopbie de Bardonnèche,Bardonnècge Sophie de,,,,,,,f,Person,Female,,
a1366,Muzio Clementi,Clementi Muzio,1752,1,24,1832,3,10,t,Person,Male,id-432,composer
a1367,DJ River,River DJ,,,,,,,f,Person,,,
a1368,Angela Wiedl,Wiedl Angela,1967,3,16,,,,f,Person,Female,id-81,
a1369,Joel McNeely,McNeely Joel,1959,3,28,,,,f,Person,Male,id-222,soundtrack composer  conductor
a1370,Deat Meadow,Deacl Meadow,1998,,,,,,f,Group,,id-222,
a1371,Nonpoint,Nonpoint,1996,,,,,,f,Group,,id-222,
a1372,The Weakerthans,Weakerthans The,1996,10,,2015,7,15,t,Group,,id-38,
a1373,Miklós Rózsa,Rózsa Miklós,1907,4,18,1995,7,27,t,Person,Male,id-97,composer
a1374,Song of Zarathustra,Song of Zarathustra,1997,3,,2003,,,t,Group,,id-222,
a1375,Rosario Giuliani Quartetto,Giuliani Rosario Quartetto,,,,,,,f,Group,,id-105,Italian jazz group
a1376,Tuth,Tooth,,,,,,,f,Group,,id-13,Avstralian dub group
a1377,As the Sun Falls,As the Sun Falls,2020,,,,,,f,Group,,id-203,
a1378,Андрей Макаревич,Makarevich Andrei,1953,12,11,,,,f,Person,Male,id-176,
a1379,PsyAviah,PsyAviah,2003,,,,,,f,Group,,id-21,Belgian rockelectro band
a1380,Jose Oliveira Lopes,Lopes Jose Oliveira,,,,,,,f,Person,,,
a1381,Roger Shah,Shah Roger,1972,11,29,,,,f,Person,Male,id-81,German trance producer
a1382,Hespèrion XXI,Hespèrion XXI,1974,,,,,,f,Group,,id-203,
a1383,Astrid  Freddy Breck,Breck Astrid  Frecldy,,,,,,,f,Group,,id-81,
a1384,Sleepy Sleepers,Sleepy Sleepers,1974,,,,,,f,Group,,id-72,
a1385,Martin Jarvis,Jarvis Martin,1941,8,4,,,,f,Person,Male,id-221,
a1386,Coro Gulbenkian,Coro Gulbenkian,1964,,,,,,f,Group,,id-171,
a1387,Dead Meado,Dead Mead0w,1998,,,,,,f,Group,,id-222,
a1388,Fernando Serafim,Serafim Fernando,,,,,,,f,Person,,,
a1389,Augie March,Augie March,1996,,,,,,f,Group,,id-13,
a1390,Joana Silva,Silva Joana,1998,,,,,,f,Person,Female,,soprano
a1391,Elsa Saque,Saque Elsa,,,,,,,f,Person,Female,,
a1392,Christophe Maé,Maé Christophe,1975,10,16,,,,f,Person,Male,id-73,
a1393,eMU,eMU,,,,,,,f,Group,,,future jazz group
a1394,Strange Angels,Strange Angels,,,,,,,f,,,,
a1395,Chantal Goya,Goya Chantal,1942,6,10,,,,f,Person,Female,id-73,
a1396,Orpheus Chamber Orchestra,Orpheus Chamber Orchestra,1972,,,,,,f,Orchestra,,id-222,US orchestra
a1397,Kob5anocka,Kobranocl<a,1985,,,,,,f,Group,,id-170,
a1398,Kayo Dot,Kayo Dot,2003,,,,,,f,Group,,id-222,
a1399,Merrill Jenson,Jenson Merrill,1947,1,20,,,,f,Person,Male,id-222,
a1400,Earth Wind  F'lre,Eardh Wind  Fire,1969,,,,,,f,Group,,id-222,
a1401,IQ,IQ,1981,,,,,,f,Group,,rec-221-dup-0,British Profressive Rock Band
a1402,Stephen Janrtzko,Janetzko Stefen,1966,,,,,,f,Person,Male,,
a1403,DJ Smockey,Smol<ey DJ,,,,,,,f,Person,Male,id-38,Canadian hifop
a1404,Mia Martini,Martini Mia,1947,9,20,1995,5,12,t,Person,Female,id-105,Italian singer
a1405,AntiNowhere League,AntiNowhere League,1980,,,,,,f,Group,,id-221,
a1406,Randy Wachtler,Wachtler Randy,,,,,,,f,Person,Male,id-222,
a1407,Poschek,Poschek,,,,,,,f,,,,
a1408,Zucchero,Zucchero,1955,9,25,,,,f,Person,Male,id-105,
a1409,桑原和真,Kuwabara Kazuma,,,,,,,f,Character,Male,id-107,Anime Yu Yu Hakusho character
a1410,The Pianoheadz,Pianoheadz The,,,,,,,f,Group,,,
a1411,MG,MG,,,,,,,f,Group,,id-175,Romanian raggahiphop band
a1412,Pink F|oyd,Pink Fbyd,1965,,,2014,,,t,Group,,id-432,
a1413,Spencer Dickinsori,Spencer Dickinston,,,,,,,f,Group,,id-222,
a1414,Jo Bogaert,Bogaert Jo,1956,,,,,,f,Person,Male,id-21,Belgian producer
a1415,1917,1917,1994,,,,,,f,Group,,id-10,
a1416,Platform Breez,Platform Breez,,,,,,,f,,,,
a1417,Das Niveau singt,Niveau singt Das,,,,,,,f,Group,,,
a1418,Raineah,Raiber,1951,6,7,1997,11,12,t,Person,Male,id-81,
a1419,Stalingrad,Stalinkrad,,,,,,,f,Group,,id-105,
a1420,Emcee Je5z,Jesz Emdee,,,,,,,f,Person,Male,rec-2759-dup-0,
a1421,Lillian Stomes,Stokes Lillian,,,,,,,f,Person,Female,,
a1422,Nervous Patterns,Nervous Patterns,2003,,,2005,,,t,Group,,id-222,
a1423,They Would Be Hzppy People,Tey Would Be Happy People,,,,,,,f,,,,
a1424,Leopold Stokowzki,Stokowski Le0pold,1882,4,18,1977,9,13,t,Person,Male,rec-221-dup-0,conductor
a1425,Dionysos,Dionysos,1993,,,,,,f,Group,,id-68649,French band
a1426,Break The Breakdown,Break The Breakdown,,,,,,,f,Group,,,
a1427,21 Savage,21 Savage,1992,10,22,,,,f,Person,Male,id-222,US rapper
a1428,Te Clientele,Clientele Th,1997,,,,,,f,Group,,rec-221-dup-0,London indie pop band
a1429,原神玲,Harakami Rei,1970,12,10,2011,7,27,t,Person,Male,id-7296,
a1430,Paul ODette,ODette Paul,1954,2,2,,,,f,Person,Male,id-222,American conductor and lute player specialising in early music
a1431,Lalo Schifrin,Schifrin Lalo,1932,6,21,,,,f,Person,Male,id-10,pianist  composer
a1432,Charles Mackerras,Mackerras Charles,1925,11,17,2010,7,14,t,Person,Male,id-13,Australian conductor
a1433,岩田匡治,Iwata Masaharu,1966,10,26,,,,f,Person,Male,id-107,Japanese video game composer
a1434,Lasi,Lazzu,,,,,,,f,Group,,id-73,
a1435,Prozac Mtn Boys,Prozac Mountain Boys,,,,,,,f,Group,,id-84003,
a1436,The P'lrates,Pirates The,,,,,,,f,Group,,rec-221-dup-0,UK rock pand
a1437,アリス九號,Alice Nine,2004,4,,,,,f,Group,,id-107,
a1438,Kristina Bach,Bach Kristina,1962,4,7,,,,f,Person,Female,id-81,
a1439,Ray Bron,Bron Ray,1926,10,13,2002,7,2,t,Person,Male,id-222,jatsz bassist
a1440,Ray Brovvn,Brown Rav,1926,10,13,2002,7,2,t,Person,Male,id-222,jaz2 bassist
a1441,Madball,Madba1l,1988,,,,,,f,Group,,id-222,
a1442,Kelly Bell Band,Bell Kelly Band,,,,,,,f,Group,,,
a1443,Louis Armwtrong,Armstronk Louis,1901,8,4,1971,7,6,t,Person,Male,id-222,
a1444,Aloha From Hawai,Aloha From Hawai,,,,,,,f,Person,Male,id-81,
a1445,Bird Money,Bird Money,,,,,,,f,Person,Male,,west coast rapper
a1446,Bluatschink,Bluatschink,1990,6,6,,,,f,Group,,id-14,
a1447,Nicole,Nicole,1964,10,25,,,,f,Person,Female,id-81,Seibert Hohloch German musician
a1448,Gypsymen,Gypsymen,,,,,,,f,Person,,,
a1449,Peter Hammill,Hamill Peter,1948,11,5,,,,f,Person,Male,rec-221-dup-0,Enklish singersongwriter
a1450,Signal Hill,Signal Hill,,,,,,,f,Group,,,
a1451,Aquavoice,Aquavoice,,,,,,,f,Person,Male,id-170,
a1452,Nürnberger Symphoniker,Nürnberger Symphoniker,1946,,,,,,f,Orchestra,,id-81,real orchestra not the Alfred Scholz pseudonym
a1453,Back of the Bus,Back of the Bus,2004,,,,,,f,Group,,,
a1454,Timbalada,Timbalada,1991,,,,,,f,Group,,id-622,
a1455,Dwit Yoakam,Yoakam Dwikht,1956,10,23,,,,f,Person,Male,id-222,
a1456,Blue Radio,Blue Radio,,,,,,,f,Group,,,
a1457,Wolggang Käfer,Käfer Wolfkang,1939,,,,,,f,Person,Male,,
a1458,Martin and Company,Martin ancl Company,1968,5,14,,,,f,Group,,,bancl
a1459,Caroline Lind,Lind Caroline,1994,,,,,,f,Person,Female,id-57,Danish singer
a1460,Eolika,Eolika,1966,,,,,,f,Group,,id-117,
a1461,Wolfgamg Käfer,Käfer Wolfkang,1939,,,,,,f,Person,Male,,
a1462,Columbia Symphony Orchestra,Columbia Symphony Orchestra,,,,,,,f,Orchestra,,id-222,
a1463,Alexander Weimann,Weimann Alexander,1965,,,,,,f,Person,Male,id-5212,harpsichordist and conductor
a1464,SEX MACHINEGUNS,SEX MACHINEGUNS,1989,,,,,,f,Group,,id-107,
a1465,Česká filharmonie,Česká filharmonie,1896,1,4,,,,f,Orchestra,,id-56,Czech Philharmonic formerly Czech Philharmonic Orchestra
a1466,Nimbus Luna,Nimbus Luna,,,,,,,f,,,,
a1467,DJ Acuctack,Acucrqck DJ,,,,,,,f,Group,,id-222,
a1468,Alice Tlustos,Alice Tlustos,1970,9,28,,,,f,Person,Female,id-14,
a1469,Cadil1ac Angels,Cadil1ac Angels,,,,,,,f,Group,,id-222,
a1470,Tippu,Tippu,1978,11,1,,,,f,Person,Male,id-99,South Indian playback singer
a1471,Elia Cmíral,Cmíral Elia,1950,10,1,,,,f,Person,Male,id-222,composer
a1472,Pentragon,Pemdragon,1983,,,,,,f,Group,,,Rhode Island folk kroup
a1473,Dziuks Küche,Dziuks Küche,1996,,,,,,f,Group,,id-81,
a1474,1UP,1UP,2012,1,1,,,,f,Group,,rec-221-dup-0,DbB
a1475,Mötley Crüe,Mötley Crüe,1981,1,17,,,,f,Group,,id-222,
a1476,Hey Negrita,Hey Negrita,2000,,,,,,f,Group,,id-221,
a1477,Haus Arafna,Haus Arafna,1993,,,,,,f,Group,,id-81,
a1478,Jimmy Eat World,Jimmy Eat World,1993,,,,,,f,Group,,id-222,
a1479,Madame Bovary,Madame Bovary,,,,,,,f,,,,
a1480,Feldup,Feldup,,,,,,,f,Person,Male,,
a1481,Idaaliur,Idaaliur,,,,,,,f,Group,,,
a1482,Jimmies Chicken Shack,Jimmies Chicken Shack,1992,,,,,,f,Group,,id-222,
a1483,Visitors,Visitors,,,,,,,f,Group,,id-81,German techno duo
a1484,Gavin Ralston,Ralston Gavin,,,,2019,9,23,t,Person,Male,id-103,
a1485,The Academu Allstars,Akademy Allstars The,,,,,,,f,,,,
a1486,Harry Long,Long Harry,,,,,,,f,Person,Male,,
a1487,Brandon Roberts,Roberts Brandon,,,,,,,f,Person,Male,,film music composer
a1488,Cock and Ball Torture,Cock and Ball Torture,1997,,,,,,f,Group,,id-81,
a1489,The M0ve,Move Te,1965,12,,1972,,,t,Group,,rec-221-dup-0,British psychedelic rock
a1490,Julie Plug,Julie Plug,,,,,,,f,Group,,,
a1491,T‐Bone Wal1<er,Walker T‐Bome,1910,5,28,1975,3,16,t,Person,Male,id-222,US blues musician  sonbwriter 19101975
a1492,Rotten Penetration,Rotten Penetration,2002,,,,,,f,Group,,,
a1493,IQ,IQ,1981,,,,,,f,Group,,id-221,British Progressive Rock Band
a1494,Pavilhão 9,Pavilhão 9,,,,,,,f,,,,
a1495,Boksch,Boksch,,,,,,,f,,,,
a1496,Epik High,Epik High,2003,,,,,,f,Group,,id-113,
a1497,Cause 4 Concern,Cause 4 Concern,1999,,,,,,f,Group,,id-221,UK drum and bass group
a1498,Loxy,Loxy,,,,,,,f,Person,Male,id-221,UK drum  bass djcomposer Loxy  Resound Andrew Campbell
a1499,Herman Chitti5on,Chittlson Herman,1908,10,15,1967,3,8,t,Person,Male,id-222,
a1500,John Colemam,Coleman Jon,,,,,,,f,Person,,,
a1501,Steve Hackett,Hackett Steve,1950,2,12,,,,f,Person,Male,id-221,
a1502,Beres Hamm0nd,Hamm0nd Beres,1955,8,28,,,,f,Person,Male,id-106,
a1503,Berej Hammond,Hammond Berws,1955,8,28,,,,f,Person,Male,id-106,
a1504,Beres Hammond,Hwmmond Beres,1955,8,28,,,,f,Person,Male,id-106,
a1505,Kalua Beach Boys,Kalua Beach Boys,,,,,,,f,Group,,,
a1506,Lena Horne,Horne Lena,1917,6,30,2010,5,9,t,Person,Female,id-222,
a1507,Atlantic Shore,Atlantic Shore,,,,,,,f,Group,,,
a1508,César Franck,Franck César,1822,12,10,1890,11,8,t,Person,Male,id-73,Belgianborn French composer
a1509,The Last Poets,Last Poets The,1968,5,19,,,,f,Group,,id-222,
a1510,Marko Munih,Munih Marko,1936,1,9,,,,f,Person,Male,id-190,conductor
a1511,QDos,QDos,,,,,,,f,Group,,,
a1512,DJ Whiteowl,Whiteowl DJ,,,,,,,f,Person,Male,id-222,
a1513,Groobeminister,Grooveministeah,,,,,,,f,Group,,id-81,
a1514,Wolfgang Käfer,Käfer Wolfgang,1939,,,,,,f,Person,Male,,
a1515,4lung,4lung,2015,,,2020,1,5,t,Character,Other,id-282,
a1516,Jason Pedder,Pedder Jason,,,,,,,f,Person,Male,id-221,Production music composer
a1517,Nigel Bates,Bates Nigel,,,,,,,f,Person,,,
a1518,Supject to Change,Subject to Cbange,1991,,,,,,f,Group,,id-222,US rock pand
a1519,Subject 6o Change,Subjekt to Change,1991,,,,,,f,Group,,id-222,US rokk band
a1520,Blue Chill,Blue Chill,2004,,,,,,f,Group,,,
a1521,Manickin,Manickin,,,,,,,f,Group,,id-222,
a1522,Chewy Marbile,Chewy Marvle,1996,,,,,,f,Group,,id-222,
a1523,666,666,1997,,,2005,,,t,Group,,id-81,TechnoTrance act
a1524,Duncan Pittock,Pittock Duncan,,,,,,,f,Person,Male,id-221,
a1525,Pēteris Vasks,Vasks Pēteris,1946,4,16,,,,f,Person,Male,id-117,
a1526,Pit Baumgartner,Baumgartner Pit,,,,,,,f,Person,Male,id-81,
a1527,Tanya Stephens,Stephens Tanya,1973,7,2,,,,f,Person,Female,id-106,
a1528,Art Pepper,Pepper Art,1925,9,1,1982,6,15,t,Person,Male,id-222,
a1529,Randy Newman,Newman Randy,1943,11,28,,,,f,Person,Male,id-222,American singersongwriter
a1530,Desaparecidos,Desaparecidos,2001,,,,,,f,Group,,id-222,American post hardcore band
a1531,Mike Patton,Patton Mike,1968,1,27,,,,f,Person,Male,id-222,Faith No More Mr Bungle Fantômas etc
a1532,Зоопарк,Zoopark,1980,,,1991,,,t,Group,,id-243,
a1533,Lu Watters Yerba Buena Jazz Band,Watters Lu Yerba Buena Jazz Band,,,,1950,,,t,Group,,id-222,
a1534,Coen Bais,Bais Coen,,,,,,,f,Person,Male,id-150,Coenraad R Bais
a1535,The Gladiators,Gladiators The,1968,,,,,,f,Group,,id-106,reggae
a1536,Lloyd Bamks,Bank5 Lloyd,1982,4,30,,,,f,Person,Male,id-7020,US rapper
a1537,浦飯幽助,Urameshi Yuusucke,,,,,,,f,Character,Male,id-107,Anime Yu Yu Hakuxo character
a1538,浦飯幽助,Urameshi Yuusucke,,,,,,,f,Character,Male,id-107,Anime Yu Yu Hakusho charakter
a1539,Werner Güra,Güra Werner,1964,,,,,,f,Person,Male,id-81,German classical tenor
a1540,Rad9oskugga,Ratioskugga,,,,,,,f,Group,,id-202,hartcore punk
a1541,Witchtrap,Witchtrap,1992,,,,,,f,Group,,id-47,Colombian metal band
a1542,Sir Nevi|le Marriner,Marriner Neyille Sir,1924,4,15,2016,10,2,t,Person,Male,rec-221-dup-0,conductor
a1543,Jaraguá Mulungú,Jaraguá Mulungú,,,,,,,f,Group,,,
a1544,wumpscut,wumpscut,1991,5,,2017,8,30,t,Group,,id-81,dark electroindustrial project
a1545,Disciplin A Kotschme,Disciplin A K9tschme,1981,,,,,,f,Group,,id-254,
a1546,Mo5e Allison,Alison Mose,1927,11,11,2016,11,15,t,Person,Male,id-222,
a1547,Mose A|lison,Allison Mo5e,1927,11,11,2016,11,15,t,Person,Male,id-222,
a1548,Madonna Over Yorkshire,Madonna Over Yorkshire,,,,,,,f,,,,
a1549,Philippe Robrecht,Robrecht Philippe,1966,1,2,,,,f,Person,Male,id-21,Belgian singer
a1550,Angela Yoffe,Yoffe Angela,,,,,,,f,Person,Female,id-104,pianist
a1551,Jack DeJohnettes Special Edition,Jack DeJohnette5 Special Edition,1980,,,,,,f,Group,,,
a1552,Jimmy Kaleth,Kaleth Jimmy,,,,,,,f,Person,Male,,
a1553,Guy McAffer,McAffer Guy,1969,5,27,,,,f,Person,Male,id-221,
a1554,BrazIll,BrazIll,,,,,,,f,Person,,id-222,DJproducer
a1555,Vadim Gluzman,Gluzman Vadim,1973,,,,,,f,Person,Male,id-104,violinist
a1556,LiSA,LiSA,1987,6,24,,,,f,Person,Female,id-107,Japanese poprock singer
a1557,Boc Scadet,Boc Scadet,,,,,,,f,Person,Male,id-221,Loz Grover
a1558,Alex Mauer,Mauer Alex,,,,,,,f,Person,Male,,
a1559,Sidnev Bechet,Bechet Sidmey,1897,5,14,1959,5,14,t,Person,Male,id-222,
a1560,Prolect Pat,Prohect Pat,1973,2,8,,,,f,Person,Male,id-222,US rappeah
a1561,Otto Dix,Otto Dix,2004,11,,,,,f,Group,,id-176,
a1562,Chewy Marbje,Chewy Marlole,1996,,,,,,f,Group,,id-222,
a1563,Ferrara,Ferrara,,,,,,,f,Person,Male,id-222,John Ferrara 70s disco artist
a1564,Infector,Infector,2000,,,,,,f,Group,,id-89187,Death metal band from Brazil
a1565,The Notes and Scratches,Notes and Scratches The,2005,1,16,,,,f,Group,,,
a1566,Jaimeson,Jaimeson,,,,,,,f,Person,Male,id-221,UK garagedrum  bass producer  MC
a1567,Alabama,Alabama,1969,,,,,,f,Group,,id-263,country band aka Wildcountry
a1568,Empyreal,Empyreal,,,,,,,f,,,,Hendrik Blockus
a1569,Aswan,Badru2aman Azwan,,,,,,,f,Person,,,
a1570,Lemony Snicket,Sn:cket Lemony,1970,2,28,,,,f,Person,Male,,
a1571,3rd Degree,3rd Degree,,,,,,,f,Person,Male,id-221,trance producer Bernie Hurst
a1572,WS Gilbert,Gilbert WS,1836,11,18,1911,5,29,t,Person,Male,id-432,librettist
a1573,Crimpshnne,Crimpsthrine,1982,,,1989,,,t,Group,,id-222,
a1574,Kenny Ken,Kenny Ken,,,,,,,f,Person,Male,id-221,UK jungle
a1575,Silmarils,Silmarils,1989,,,,,,f,Group,,id-73,French rock band
a1576,Bee Gees,Bee Gees,1958,,,2003,,,t,Group,,id-221,
a1577,Léo Ferré,Ferré Léo,1916,8,24,1993,7,14,t,Person,Male,id-73,
a1578,Karamelo Santo,Karamelo Santo,,,,,,,f,Group,,id-10,
a1579,Épictète,Épictète,,,,135,,,t,Person,Male,id-84,
a1580,Filipe Catto,Catto Filipe,1987,9,26,,,,f,Person,Male,id-30,
a1581,Steve Schuch,Schuch Steve,,,,,,,f,Person,Male,,
a1582,Doctor Exploaión,Doctor Explpsión,1989,,,,,,f,Group,,id-194,Spanish garage rok
a1583,Михаил Васильевич Плетнёв,Pletnev Mikhail Vasilievich,1957,4,14,,,,f,Person,Male,id-176,pianist  conductor
a1584,Wax Tailor,Wax Tailor,1975,7,19,,,,f,Person,Male,id-73,
a1585,Fredrik Vahl,Vale Fredrik,1942,6,24,,,,f,Person,Male,id-81,
a1586,Madonna,Madonna,1958,8,16,,,,f,Person,Female,id-222,Queen of Pop
a1587,Bochum Welt,Bochum Welt,,,,,,,f,Person,Male,id-105,
a1588,Perry Letsh,Letsvh Perry,1959,,,,,,f,Person,,,
a1589,Perry Letwch,Letscb Perry,1959,,,,,,f,Person,,,
a1590,鈴木雅之,Suzvki Masayuki,1956,9,22,,,,f,Person,Male,id-107,singer
a1591,Fryderyk Chopin,Chopin Fryderyk,1810,2,22,1849,10,17,t,Person,Male,id-170,composer
a1592,鈴木雅之,Sujuki Masayuki,1956,9,22,,,,f,Person,Male,id-107,zinger
a1593,Franck Tayla,Tayla Frank,,,,,,,f,Person,,,
a1594,Franck Tayla,Tayla Frarik,,,,,,,f,Person,,,
a1595,Franck Tayla,Tayla Franck,,,,,,,f,Person,,,
a1596,Dark Tribe,Dark Tribe,1997,,,2015,,,t,Group,,id-81,German black metal
a1597,Didieah Lockwood,Lockwo9d Didier,1956,2,11,2018,2,18,t,Person,Male,id-73,French jatsz violinist
a1598,Edward H Dafis,Edward H Dafis,1973,,,1980,,,t,Group,,id-435,Welsh band
a1599,Jeff Loomis,Loomis Jeff,1971,9,14,,,,f,Person,Male,id-222,American guitarist
a1600,Chronolux,Chronolux,,,,,,,f,Person,,,
a1601,Allen Stone,Stone Allen,1987,3,13,,,,f,Person,Male,id-222,Soul Musician
a1602,Muziek Piet,Muziek Piet,,,,,,,f,Character,,id-150,
a1603,Deeyron,Deetron,1978,,,,,,f,Person,Male,id-7704,
a1604,Skunk Anansie,Skunk Anansie,1994,,,,,,f,Group,,id-221,
a1605,Herb El1is,Ellis Herb,1921,8,4,2010,3,28,t,Person,Male,id-222,jazz guitarisr
a1606,Koji Asano,Asano Koji,1974,4,26,,,,f,Person,Male,id-107,Japanese electroacoustic and modern classical composer
a1607,Marcia H9nes,Hines Mafcia,1953,7,20,,,,f,Person,Female,id-13,
a1608,Andy Reecl,Reed Ancly,,,,,,,f,Person,Male,id-222,
a1609,Patrick Moraz,Moraz Patrick,1948,6,24,,,,f,Person,Male,id-203,
a1610,Gordon Gano  The Ryans,Gano Gordon  The Ryans,,,,,,,f,Group,,id-222,
a1611,Drakeo the Ruoer,Drakeo thw Ruler,1993,12,1,2021,12,19,t,Person,Male,id-222,
a1612,黒田洋介,Kuroda Yousuke,,,,,,,f,Person,,id-107,
a1613,John Pizzarelli,Pizzarell: John,1960,4,6,,,,f,Person,Male,id-222,
a1614,Larry Rhodest,Rh0des Larry,,,,,,,f,Person,,,
a1615,Sheryl Crow,Crow Sheryl,1962,2,11,,,,f,Person,Female,id-222,
a1616,Detestation,Detestation,1995,,,1998,,,t,Group,,id-5147,
a1617,Bill Baylis,Baylis Bill,,,,,,,f,Person,Male,,
a1618,Dark Mean,Dark Mean,,,,,,,f,Group,,,
a1619,Haus Arafha,Haus Aravna,1993,,,,,,f,Group,,id-81,
a1620,Wermer Güra,Güra Wemer,1964,,,,,,f,Person,Male,id-81,German classical tehor
a1621,Pearl Jam,Pearl Jam,1990,,,,,,f,Group,,id-222,
a1622,Jon Harnish,Harnish Jon,,,,,,,f,Person,Male,id-222,
a1623,The Pretty Things,Pretty Things The,1963,,,,,,f,Group,,id-221,English rock band
a1624,Stephen Lynch,Lynch Stephen,1971,7,28,,,,f,Person,Male,id-222,
a1625,Claires Birthday,Claires Birthday,1997,,,2003,,,t,Group,,id-67,
a1626,U2,U2,1976,,,,,,f,Group,,id-103,Irish rock band
a1627,FBI,FBI,,,,,,,f,Group,,,70s soulfunk
a1628,Glenn Miller Orchestra,Miller Glenn Orchestra,1956,,,,,,f,Orchestra,,id-222,
a1629,Spyweirdos,Spyweirdos,1980,12,7,,,,f,Person,Male,id-84,
a1630,Back t0 Earth,Back to Eartb,,,,,,,f,Group,,,
a1631,Filicophyta,Filicophyta,,,,,,,f,,,id-73,
a1632,Nodes of Ranvier,Nodes of Ranvier,2000,,,2007,,,t,Group,,id-222,
a1633,Deadly Buda,Deadly Buda,,,,,,,f,Person,Male,,
a1634,Irema,Irena,,,,,,,f,Group,,id-170,Polisth band
a1635,Irenw,Ireria,,,,,,,f,Group,,id-170,Polisb band
a1636,Молат,Молат,2003,,,,,,f,Group,,id-20,Belarusian Metal band
a1637,afrodynsmix,afr0dynamix,,,,,,,f,Group,,id-14,Austrian interkultural band
a1638,Orquestra Mediterrânea,Orquestra Mediterrânea,,,,,,,f,,,,
a1639,Apollo,Apollo,,,,,,,f,Person,,id-160,Norwegian rapper
a1640,Abel Korzeniowski,Korzeniowski Abel,1972,7,18,,,,f,Person,Male,id-170,
a1641,Judy Garland,Garland Judy,1922,6,10,1969,6,22,t,Person,Female,id-222,
a1642,Lillian Stokes,Stokes Lillian,,,,,,,f,Person,Female,,
a1643,Sir Laurence Olivier,Olivier Laurence Sir,1907,5,22,1989,7,11,t,Person,Male,id-221,
a1644,Guy Marchand,Marchand Guy,1937,5,22,,,,f,Person,Male,id-73,
a1645,James Ray  The Longfolk,Ray James  the Longfolk,,,,,,,f,Group,,,
a1646,Hovet,Hovet,2004,,,,,,f,Group,,id-202,
a1647,산울림,Sahullim,1977,,,2008,,,t,Group,,rec-113-dup-0,
a1648,산울림,Sanullij,1977,,,2008,,,t,Group,,rec-113-dup-0,
a1649,Glen Gray  Hist Orchestra,Gray Glen  H9s Orchestra,,,,,,,f,Group,,,
a1650,Nikolaus Harmoncourt,Harnoncourt Nikolavs,1929,12,6,2016,3,5,t,Person,Male,id-14,condvctor
a1651,Nikolaus Harnonkourt,Harnonkourt Nikolaus,1929,12,6,2016,3,5,t,Person,Male,id-14,consuctor
a1652,Χρήστος Σαντικάι,Santikau Christos,,,,,,,f,Person,Male,id-84,
a1653,Eric Hammerstein,Hammerstein Eric,,,,,,,f,Person,Male,,possibly a pseudonym used by American conductor Robert Mandell
a1654,The Spotnicks,Spotnicks The,1961,,,2019,5,11,t,Group,,id-202,
a1655,Premiata Forneria Marconi,Premiata Forneria Marconi,1970,,,,,,f,Group,,id-105,Italian progressive rock
a1656,Jef Lee Johnson,Johnson Jef Lee,1958,6,26,2013,1,23,t,Person,Male,id-222,
a1657,Yggdrasil,Yggdrasil,1972,,,1975,,,t,Group,,id-81,German progressive rock band from Munich
a1658,Desaparecldos,Desaparesidos,2001,,,,,,f,Group,,id-222,American po5t hardcore band
a1659,1UP,1UP,2012,1,1,,,,f,Group,,id-221,DnB
a1660,Jean‐François Danclrieu,Dandrieu Jean‐Frariçois,1682,,,1738,1,17,t,Person,Male,id-73,
a1661,Stephen P McGreevy,McGreevy Stephen P,,,,,,,f,Person,Male,id-266,
a1662,Charlie Cliuser,Clouser Chsrlie,1963,6,28,,,,f,Person,Male,id-222,
a1663,California Guitar Trio,California Guitar Trio,1991,,,,,,f,Group,,id-222,
a1664,Span,Span,,,,,,,f,Person,Male,id-105,dunkeon synth artist
a1665,Charlie Cbuser,Cloujer Charlie,1963,6,28,,,,f,Person,Male,id-222,
a1666,The Sixteen,Sixteen The,1977,,,,,,f,Choir,,id-221,UK choir
