id,title,venue,year
599,"adaptable query optimization and evaluation in temporal middleware g slivinskas , c jensen , r snodgrass sigmod conference 2001",,
600,"the microsoft database research group d lomet , r barga , s chaudhuri , p larson , v narasayya",sigmod record,1998.0
601,"standards in practice a eisenberg , j melton sigmod record",,1998.0
602,"epsilon grid order : an algorithm for the similarity join on massive high-dimensional data c bіhm , b braunmќller , f krebs , h kriegel 2001",sigmod conference,
603,"dyda : data warehouse maintenance in fully concurrent environments j chen , x zhang , s chen , a koeller , e rundensteiner",sigmod conference,2001.0
604,the trigs active object-oriented database system - an overview sigmod record,,1998.0
605,experiences in mining aviation safety data 2001,sigmod conference,
606,reminiscences on influential papers,,1998.0
607,krdb ' 98 : the 5th international workshop on knowledge representation meets databases 1998,,
608,global optimization of histograms 2001,sigmod conference,
609,unbundling active functionality 1998,sigmod record,
610,"dynamic buffer allocation in video-on-demand systems s lee , k whang , y moon , i song sigmod conference",,2001.0
611,dna-miner : a system prototype for mining dna sequences sigmod conference 2001,,
612,"mining fuzzy association rules in databases c kuok , a fu , m wong sigmod record",,1998.0
613,"dynamic content acceleration : a caching solution to enable scalable dynamic web page generation a datta , k dutta , k ramamritham , h thomas , d vandermeer sigmod conference",,2001.0
614,predator : a resource for database research p seshadri sigmod record,,1998.0
615,materialized views and data warehouses,sigmod record,1998.0
616,clio : a semi-automatic tool for schema mapping 2001,sigmod conference,
617,workshop report on experiences using object data management in the real-world 1998,,
618,"efficient evaluation of xml middle-ware queries m fernandez , a morishima , d suciu 2001",sigmod conference,
619,enabling dynamic content caching for database-driven web sites 2001,sigmod conference,
620,report on the second ieee metadata conference ( metadata ' 97 ),,1998.0
621,"cosima - your smart , speaking e-salesperson w kieпling , s holland , s 0003 , t ehm sigmod conference",,2001.0
622,chair 's message,,1998.0
623,information director 's message,,1998.0
624,"data-driven understanding and refinement of schema mappings l yan , r miller , l haas , r fagin 2001",sigmod conference,
625,towards on-line analytical mining in large databases,sigmod record,1998.0
626,"efficient computation of iceberg cubes with complex measures j han , j pei , g dong , k wang sigmod conference",,2001.0
627,catalog management in websphere commerce suite t maguire 2001,sigmod conference,
628,editor 's notes m franklin,sigmod record,1997.0
629,where will object techonology drive data administration ?,sigmod record,1998.0
630,automatic segmentation of text into structured records 2001,sigmod conference,
631,communication efficient distributed mining of association rules sigmod conference 2001,,
632,repositories and object oriented databases sigmod record 1998,,
633,"workflow history management p koksal , s arpinar , a dogac sigmod record",,1998.0
634,"adaptive precision setting for cached approximate values c olston , b loo , j widom 2001",sigmod conference,
635,towards a richer web object model sigmod record,,1998.0
636,fast-start : quick fault recovery in oracle sigmod conference,,2001.0
637,reminiscences on influential papers 1998,,
638,"exploiting constraint-like data characterizations in query optimization p godfrey , j gryz , c zuzarte sigmod conference 2001",,
639,"filtering algorithms and implementation for very fast publish/subscribe f fabret , h jacobsen , f llirbat , j pereira , k ross , d shasha sigmod conference 2001",,
640,"t2 : a customizable parallel database for multi-dimensional data c chang , a acharya , a sussman , j saltz 1998",sigmod record,
641,"ominisearch : a method for searching dynamic content on the web d buttler , l liu , c pu , h paques 2001",sigmod conference,
642,act-net - the active database management system manifesto : a rulebase of adbms features sigmod record,,1996.0
643,"control strategies for complex relational query processing in shared nothing systems l brunie , h kosch sigmod record 1996",,
644,"generating efficient plans for queries using views f afrati , c li , j ullman",sigmod conference,2001.0
645,mpeg-7 standard for multimedia databases,,2001.0
646,"on the cost of monitoring and reorganization of object bases for clustering c gerlhof , a kemper , g moerkotte sigmod record 1996",,
647,"modeling high-dimensional index structures using sampling c lang , a singh sigmod conference",,2001.0
648,"much ado about shared-nothing m norman , t zurek , p thanisch 1996",sigmod record,
649,report on first international workshop on real-time database systems 1996,,
650,"data management : lasting impact of the wild , wild , web sigmod conference",,2001.0
651,dissemination of dynamic data,sigmod conference,2001.0
652,open issues in parallel query optimization sigmod record 1996,,
653,content integration for e-business,sigmod conference,2001.0
654,middle east technical university software research and development center,sigmod record,1996.0
655,"fault-tolerant , load-balancing queries in telegraph m shah , s chandrasekaran",sigmod conference,2001.0
656,"the bess object storage manager : architecture overview a biliris , e panagos 1996",sigmod record,
657,"unisql 's next-generation object-relational database management system a d'andrea , p janus sigmod record",,1996.0
658,online query processing 2001,,
659,"olap , relational , and multidimensional database systems g colliat sigmod record 1996",,
660,xml data management go native or spruce up relational systems ? ( panel abstract ) sigmod conference 2001,,
661,editor 's notes j widom sigmod record,,1996.0
662,semantic b2b integration 2001,,
663,scientist 's called upon to take actions x qian sigmod record 1996,,
664,"optimizing queries using materialized views : a practical , scalable solution j goldstein , p larson sigmod conference",,2001.0
665,exploiting main memory dbms features to improve real-time concurrency control protocols sigmod record 1996,,
666,review : a real time virtual walkthrough system,sigmod conference,2001.0
667,advances in real-time database systems research sigmod record,,1996.0
668,updating xml sigmod conference,,2001.0
669,"materialized view selection and maintenance using multi-query optimization h mistry , p roy , s sudarshan , k ramamritham sigmod conference",,2001.0
670,deeds towards a distributed and active real-time database system 1996,sigmod record,
671,"enhancing external consistency in real-time transactions k lin , s peng sigmod record 1996",,
672,"efficient and tunable similar set retrieval a gionis , d gunopulos , n koudas sigmod conference 2001",,
673,snowball : a prototype system for extracting relations from large text collections 2001,sigmod conference,
674,"database research : achievements and opportunities into the 21st century a silberschatz , m stonebraker , j ullman 1996",sigmod record,
675,optimizing multidimensional index trees for main memory access 2001,sigmod conference,
676,"database research at the indian institute of technology , bombay sigmod record 1996",,
677,"integrating temporal , real-time , and active databases k ramamritham , r sivasankaran , j stankovic , d towsley , m xiong sigmod record",,1996.0
678,"gangam - a solution to support multiple data models , their mappings and maintenance k claypool , e rundensteiner , x zhang , h su , h kuno , w lee , g mitchell 2001",sigmod conference,
679,"securing xml documents : the author-x project demonstration e bertino , s castano , e ferrari 2001",sigmod conference,
680,"real-time database - similarity semantics and resource scheduling t kuo , a mok sigmod record 1996",,
681,spartan : a model-based semantic compression system for massive data tables sigmod conference 2001,,
682,"improving timeliness in real-time secure database systems s son , r david , b thuraisingham sigmod record",,1996.0
683,"retina : a real-time traffic navigation system k lam , e chan , t kuo , s ng , d hung",sigmod conference,2001.0
684,overview of the stanford real-time information processor ( strip ) sigmod record,,1996.0
685,"space-efficient online computation of quantile summaries m greenwald , s khanna sigmod conference 2001",,
686,the nimble integration engine 2001,sigmod conference,
687,"temporal database bibliography update v tsotras , a kumar sigmod record 1996",,
688,orthogonal optimization of subqueries and aggregation sigmod conference 2001,,
689,workshop report : the first international workshop on active and real-time database systems ( artdb-95 ) 1996,,
690,"independence is good : dependency-based histogram synopses for high-dimensional data a deshpande , m garofalakis , r rastogi",sigmod conference,2001.0
691,integrating contents and structure in text retrieval 1996,sigmod record,
692,lifestreams : a storage model for personal data 1996,sigmod record,
693,"progressive approximate aggregate queries with a multi-resolution tree structure i lazaridis , s mehrotra",sigmod conference,2001.0
694,object query standards sigmod record 1996,,
695,"stholes : a multidimensional workload-aware histogram n bruno , s chaudhuri , l gravano 2001",sigmod conference,
696,"database research at arizona state university s urban , s dietrich , f golshani sigmod record 1996",,
697,application servers : born-again tp monitors for the web ? ( panel abstract ),sigmod conference,2001.0
698,illustra 's web datablade module j gaffney sigmod record,,1996.0
699,proxy-server architectures for olap sigmod conference 2001,,
700,mqseries and cics link for lotus notes 1996,sigmod record,
701,"efficient and effective metasearch for text databases incorporating linkages among documents c yu , w meng , w wu , k liu 2001",sigmod conference,
702,"shutdown , budget , and funding x qian sigmod record 1996",,
703,"query optimization in compressed database systems z chen , j gehrke , f korn",sigmod conference,2001.0
704,www-udk : a web-based environmental meta-information system,sigmod record,1997.0
705,"main-memory index structures with fixed-size partial keys p bohannon , p mcilroy , r rastogi sigmod conference 2001",,
706,improving access to environmental data using context information,sigmod record,1997.0
707,"the network is the database : data management for highly distributed systems j navas , m wynblatt sigmod conference",,2001.0
708,integrating modelling systems for environmental management information systems,sigmod record,1997.0
709,"outlier detection for high dimensional data c aggarwal , p yu 2001",sigmod conference,
710,"storhouse metanoia - new applications for database , storage & data warehousing f cariёo , p kostamaa , a kaufmann , j burgess",sigmod conference,2001.0
711,environment information systems - guest editor 's foreword 1997,,
712,min-max compression methods for medical image databases sigmod record 1997,,
713,"on supporting containment queries in relational database management systems c zhang , j naughton , d dewitt , q luo , g lohman sigmod conference",,2001.0
714,"improving index performance through prefetching s chen , p gibbons , t mowry sigmod conference",,2001.0
715,"mediator languages - a proposal for a standard p buneman , l raschid , j ullman sigmod record",,1997.0
716,materialized view and index selection tool for microsoft sql server 2000 sigmod conference 2001,,
717,open gis and on-line environmental libraries sigmod record,,1997.0
718,"management of data and services in the environmental information system ( uis ) of baden-wќrttemberg w riekert , r mayer-fіll , g wiest",sigmod record,1997.0
719,\ kweelt : more than just \ '' \ `` yet another framework to query xml ! \ '' \ '' \ '' '' a sahuguet sigmod conference 2001,,
720,dynamic information visualization sigmod record,,1996.0
721,"selectivity estimation using probabilistic models l getoor , b taskar , d koller sigmod conference",,2001.0
722,"a response to r. camps ' article `` domains , relations and religious wars '' c date sigmod record",,1996.0
723,"prefer : a system for the efficient execution of multi-parametric ranked queries v hristidis , n koudas , y papakonstantinou 2001",sigmod conference,
724,opportunities in information management and assurance sigmod record,,1997.0
725,mining needle in a haystack : classifying rare classes via two-phase rule induction sigmod conference,,2001.0
726,query previews for networked information systems : a case study with nasa environmental data,sigmod record,1997.0
727,"probe , count , and classify : categorizing hidden web databases sigmod conference",,2001.0
728,iceberg-cube computation with pc clusters sigmod conference,,2001.0
729,an orthogonally persistent java 1996,sigmod record,
730,"reconciling schemas of disparate data sources : a machine-learning approach a doan , p domingos , a halevy 2001",sigmod conference,
731,3d geographic network displays,sigmod record,1996.0
732,locally adaptive dimensionality reduction for indexing large time series databases sigmod conference,,2001.0
733,applying database visualization to the world wide web,sigmod record,1996.0
734,"a framework for information visualisation j kennedy , k mitchell , p barclay 1996",sigmod record,
735,time series similarity measures and time series indexing 2001,,
736,vqbd : exploring semistructured data sigmod conference,,2001.0
737,the aggregate data problem : a system for their definition and management,sigmod record,1996.0
738,models and languages for describing and discovering e-services,,2001.0
739,"information visualization , guest editors ' foreword 1996",,
740,lots o ' ticks : real-time high performance time series queries on billions of trades and quotes 2001,sigmod conference,
741,editor 's notes jennifer widom sigmod record,,1996.0
742,"in reply to domains , relations and religious wars h darwen sigmod record",,1996.0
743,spatial data management for computer aided design sigmod conference 2001,,
744,monitoring business processes through event correlation based on dependency model,sigmod conference,2001.0
745,pixel-oriented database visualizations d keim sigmod record,,1996.0
746,"minimization of tree pattern queries s amer-yahia , s cho , l lakshmanan , d srivastava",sigmod conference,2001.0
747,"to table or not to table : a hypertabular answer g santucci , l tarantino",sigmod record,1996.0
748,"using the golden rule of sampling for query estimation y wu , d agrawal , a abbadi",sigmod conference,2001.0
749,incremental data structures and algorithms for dynamic query interfaces 1996,sigmod record,
750,on computing correlated aggregates over continual data streams 2001,sigmod conference,
751,spotfire : an information exploration environment c ahlberg sigmod record 1996,,
752,new standard for stored procedures in sql a eisenberg,sigmod record,1996.0
753,"finding generalized projected clusters in high dimensional spaces c aggarwal , p yu",sigmod conference,2000.0
754,"tcp-d - the challenges , issues and results r bhashyam sigmod record 1996",,
755,density biased sampling : an improved method for data mining and clustering 2000,sigmod conference,
756,high speed on-line backup when using logical log operations 2000,sigmod conference,
757,report from the nsf workshop on workflow and process automation in information systems 1996,,
758,the mariposa distributed database management system sigmod record,,1996.0
759,efficient resumption of interrupted warehouse loads 2000,sigmod conference,
760,"domains , relations and religious wars r camps",sigmod record,1996.0
761,the prototype of the dare system 2001,sigmod conference,
762,"guidelines for presentation and comparison of indexing techniques j zobel , a moffat , k ramamohanarao 1996",sigmod record,
763,pbir - perception-based image retrieval,sigmod conference,2001.0
764,will database researchers have any role in data security ? ( panel abstract ) 2001,sigmod conference,
765,new programs at darpa and nsf sigmod record,,1996.0
766,monitoring xml data on the web,sigmod conference,2001.0
767,editor 's notes j widom sigmod record 1996,,
768,"finding replicated web collections j cho , n shivakumar , h garcia-molina",sigmod conference,2000.0
769,"a comparison of three user interfaces to relational microcomputer data bases c medsker , m christensen , i song",sigmod record,1995.0
770,efficient and cost-effective techniques for browsing and indexing large video databases,sigmod conference,2000.0
771,editor 's ( farewell ) notes 1995,,
772,efficient algorithms for mining outliers from large data sets 2000,sigmod conference,
773,implementation aspects of an object-oriented dbms sigmod record 1995,,
774,hodfa : an architectural framework for homogenizing heterogeneous legacy database sigmod record,,1995.0
775,"designing and mining multi-terabyte astronomy archives : the sloan digital sky survey a szalay , p kunszt , a thakar , j gray , d slutz",sigmod conference,2000.0
776,"approximating multi-dimensional aggregate range queries over real attributes d gunopulos , g kollios , v tsotras , c domeniconi 2000",sigmod conference,
777,a close look at the ifo data model sigmod record,,1995.0
778,an annotated bibliography of benchmarks for object databases sigmod record,,1995.0
779,congressional samples for approximate answering of group-by queries,sigmod conference,2000.0
780,"counting , enumerating , and sampling of execution plans in a cost-based query optimizer 2000",sigmod conference,
781,an annotated bibliography on active databases sigmod record,,1995.0
782,"benchmarking queries over trees : learning the hard truth the hard way f wattez , s cluet , v benzaken , g ferran , c fiegel sigmod conference",,2000.0
783,"acm multimedia '94 conference workshop on multimedia database management systems p berra , k nwosu , b thuraisingham 1995",sigmod record,
784,answering complex sql queries using automatic summary tables sigmod conference,,2000.0
785,information finding in a digital library : the stanford perspective 1995,sigmod record,
786,"turmoil at nasa , and numerous funding announcements x qian 1995",sigmod record,
787,closest pair queries in spatial databases sigmod conference 2000,,
788,"efficient and extensible algorithms for multi query optimization p roy , s seshadri , s sudarshan , s bhobe",sigmod conference,2000.0
789,"why decision support fails and how to fix it r kimball , k strehlo sigmod record 1995",,
790,application of oodb and sgml techniques in text database : an electronic dictionary system j zhang sigmod record,,1995.0
791,"eddies : continuously adaptive query processing r avnur , j hellerstein sigmod conference 2000",,
792,normalization in oodb design b lee sigmod record 1995,,
793,a chase too far ?,sigmod conference,2000.0
794,"on the issue of valid time ( s ) in temporal databases s kokkotos , e ioannidis , t panayiotopoulos , c spyropoulos 1995",sigmod record,
795,"a framework for expressing and combining preferences r agrawal , e wimmers sigmod conference",,2000.0
796,addressing techniques used in database object managers o2 and orion,sigmod record,1995.0
797,"a data model and data structures for moving objects databases l forlizzi , r gќting , e nardelli , m schneider",sigmod conference,2000.0
798,metu interoperable database system sigmod record 1995,,
799,"adaptive multi-stage distance join processing h shin , b moon , s lee",sigmod conference,2000.0
800,"aqr-toolkit : an adaptive query routing middleware for distributed data intensive systems l liu , c pu , d buttler , w han , h paques , w tang sigmod conference",,2000.0
801,"metadata for digital media : introduction to the special issue w klas , a sheth sigmod record 1994",,
802,\ are the terms \ '' \ `` version \ '' \ '' and \ '' \ `` variant \ '' \ '' orthogonal to one another ? a critical assessment of the step standardization \ '' '' sigmod record 1994,,
803,a goal-driven auto-configuration tool for the distributed workflow management system mentor-lite 2000,sigmod conference,
804,"proceedings of the 2000 acm sigmod international conference on management of data , may 16-18 , 2000 , dallas , texas , usa",,2000.0
805,"metadata in video databases r jain , a hampapur",sigmod record,1994.0
806,metadata for multimedia documents sigmod record 1994,,
807,disima : a distributed and interoperable image database system,sigmod conference,2000.0
808,data mining on an oltp system ( nearly ) for free 2000,sigmod conference,
809,a new join algorithm sigmod record,,1994.0
810,mining frequent patterns without candidate generation 2000,sigmod conference,
811,data modelling in the large m bertram sigmod record,,1994.0
812,editor 's notes and erratum,,1994.0
813,"on-line reorganization in object databases m lakhamraju , r rastogi , s seshadri , s sudarshan",sigmod conference,2000.0
814,turbo-charging vertical mining of large databases,sigmod conference,2000.0
815,"a metadatabase system for semantic image search by a mathematical model of meaning y kiyoki , t kitagawa , t hayama sigmod record 1994",,
816,trade press news,,1995.0
817,"dlfm : a transactional resource manager h hsiao , i narang",sigmod conference,2000.0
818,the database group at university of hagen ( fernuniversitaet ),sigmod record,1995.0
819,expressing business rules sigmod conference 2000,,
820,anatomy of a real e-commerce system a jhingran sigmod conference 2000,,
821,calls for papers and announcements sigmod record,,1995.0
822,handling very large databases with informix extended parallel server a weininger 2000,sigmod conference,
823,political winds change direction again sigmod record 1995,,
824,fact : a learning based web query processing system,sigmod conference,2000.0
825,implementing deletion in b + - trees,sigmod record,1995.0
826,"multigranularity locking in multiple job classes transaction processing system s ng , s hung sigmod record 1995",,
827,"an approximate search engine for structural databases j wang , x wang , d shasha , b shapiro , k zhang , x zheng , q ma , z weinberg 2000",sigmod conference,
828,"concept based design of data warehouses : the dwq demonstrators m jarke , c quix , d calvanese , m lenzerini , e franconi , s ligoudistianos , p vassiliadis , y vassiliou sigmod conference 2000",,
829,information systems research at rwth aachen 1995,sigmod record,
830,ajax : an extensible data cleaning tool sigmod conference,,2000.0
831,"the third manifesto h darwen , c date 1995",sigmod record,
832,lh * rs : a high-availability scalable distributed data structure using reed solomon codes sigmod conference,,2000.0
833,"the database group at national technical university of athens ( ntua ) t sellis , y vassiliou 1995",sigmod record,
834,"opportunities at arpa , nsf , and elsewhere",sigmod record,1995.0
835,wsq/dsq : a practical approach for combined querying of databases and the web sigmod conference 2000,,
836,parallelism and its price : a case study of nonstop sql/mp sigmod record 1995,,
837,mocha : a self-extensible database middleware system for distributed data sources 2000,sigmod conference,
838,"sql/cli - a new binding style for sql m venkatrao , m pizzo 1995",sigmod record,
839,"towards self-tuning data placement in parallel database systems m lee , m kitsuregawa , b ooi , k tan , a mondal sigmod conference",,2000.0
840,report on the 1995 international workshop on temporal databases 1995,,
841,"webview materialization a labrinidis , n roussopoulos sigmod conference",,2000.0
842,temporal database system implementations m bіhlen sigmod record,,1995.0
843,"niagaracq : a scalable continuous query system for internet databases j chen , d dewitt , f tian , y wang sigmod conference 2000",,
844,view maintenance in mobile computing sigmod record,,1995.0
845,terraserver : a spatial data warehouse 2000,sigmod conference,
846,"indexing the positions of continuously moving objects s saltenis , c jensen , s leutenegger , m lopez sigmod conference",,2000.0
847,managing video data in a mobile environment sigmod record,,1995.0
848,how to roll a join : asynchronous incremental view maintenance,sigmod conference,2000.0
849,mobile computing and databases : anything new ?,sigmod record,1995.0
850,wireless client/server computing for personal information services and applications sigmod record 1995,,
851,"on wrapping query languages and efficient xml integration v christophides , s cluet , j simщon sigmod conference 2000",,
852,"data and knowledge base research at hong kong university of science and technology p drew , b hamidzadeh , k karlapalem , a kean , d lee , q li , f lochovsky , c shum , b wќthrich sigmod record 1995",,
853,lof : identifying density-based local outliers sigmod conference,,2000.0
854,synchronizing a database to improve freshness 2000,sigmod conference,
855,from the guest editors - special section on data management issues in mobile computing,,1995.0
856,digital library services in mobile computing 1995,sigmod record,
857,"spatial join selectivity using power laws c faloutsos , b seeger , a traina , c jr. sigmod conference",,2000.0
858,"influence sets based on reverse nearest neighbor queries f korn , s muthukrishnan sigmod conference",,2000.0
859,an annotated bibliography on real-time database systems,sigmod record,1995.0
860,"xmill : an efficient compressor for xml data h liefke , d suciu sigmod conference 2000",,
861,editor 's notes j widom sigmod record,,1995.0
862,a research status report on adaptation for mobile data access,sigmod record,1995.0
863,xtract : a system for extracting document type descriptors from xml documents sigmod conference,,2000.0
864,mapping extended entity relationship model to object modeling technique j fong,sigmod record,1995.0
865,application architecture : 2tier or 3tier ? what is dbms 's role ? ( panel abstract ) 2000,sigmod conference,
866,index research : forest or trees ? ( panel abstract ),sigmod conference,2000.0
867,"multi-table joins through bitmapped join indices p o'neil , g graefe sigmod record 1995",,
868,"optimizing jan jannink 's implementation of b + - tree deletion r maelbrancke , h olivie 1995",sigmod record,
869,from browsing to interacting : dbms support for responive websites ( abstract ) r ramakrishnan 2000,sigmod conference,
870,"\ response to \ '' \ `` a close look at the ifo data model \ '' \ '' \ '' '' s abiteboul , r hull 1995",sigmod record,
871,sqlem : fast clustering in sql using the em algorithm,sigmod conference,2000.0
872,tutorial : data access,,2000.0
873,condition handling in sql persistent stored modules j richey 1995,sigmod record,
874,"data management research at the mitre corporation a rosenthal , l seligman , c mccollum , b blaustein , b thuraisingham , e lafferty",sigmod record,1995.0
875,"data management in ecommerce : the good , the bad , and the ugly",,2000.0
876,tutorial : designing an ultra highly available dbms,,2000.0
877,"florida international university high performance database research center n rishe , w sun , d barton , y deng , c orji , m alexopoulos , l loureiro , c 0002 , m sanchez , a shaposhnikov",sigmod record,1995.0
878,a framework for providing consistent and recoverable agent-based access to heterogeneous in mobile databases,sigmod record,1995.0
879,on xml and databases : where 's the beef ? ( panel abstract ) 2000,sigmod conference,
880,making b + - trees cache conscious in main memory sigmod conference,,2000.0
881,an introduction to remy 's fast polymorphic record projection sigmod record 1995,,
882,"an aspect of query optimization in multidatabase systems ( extended abstract ) c lee , c chen , h lu sigmod record",,1995.0
883,"privacy-preserving data mining r agrawal , r srikant sigmod conference 2000",,
884,design and user testing of a multi-paradigm query interface to an object-oriented database,sigmod record,1995.0
885,"on effective multi-dimensional indexing for strings h jagadish , n koudas , d srivastava sigmod conference 2000",,
886,editor 's notes 1995,sigmod record,
887,the onion technique : indexing for linear optimization queries 2000,sigmod conference,
888,internet traffic warehouse 2000,sigmod conference,
889,calls for papers and announcements sigmod record,,1995.0
890,"indexing images in oracle8i m annamalai , r chopra , s defazio sigmod conference",,2000.0
891,the new middleware sigmod record,,1995.0
892,"replication : db2 , oracle , or sybase ? d stacey sigmod record 1995",,
893,online index rebuild 2000,sigmod conference,
894,trade press news,,1995.0
895,maintenance of automatic summary tables sigmod conference,,2000.0
896,trade press news 1994,,
897,integrating replacement policies in storm : an extensible approach,sigmod conference,2000.0
898,progress on hpcc and nii sigmod record,,1994.0
899,the mlpq/gis constraint database system sigmod conference,,2000.0
900,efficient concurrency control in multidimensional access methods 1999,sigmod conference,
901,"analysis of predictive spatio-temporal queries y tao , j sun , d papadias 2003",acm trans . database syst .,
902,"efficient dynamic mining of constrained frequent sets l lakshmanan , c leung , r ng 2003",acm trans . database syst .,
903,"fast algorithms for projected clustering c aggarwal , c procopiuc , j wolf , p yu , j park 1999",sigmod conference,
904,"image mining in iris : integrated retinal information system w hsu , m lee , k goh",sigmod conference,2000.0
905,"effective page refresh policies for web crawlers j cho , h garcia-molina acm trans . database syst . 2003",,
906,preference formulas in relational queries,acm trans . database syst .,2003.0
907,"mocha : a database middleware system featuring automatic deployment of application-specific functionality m rodriguez-martinez , n roussopoulos , j mcgann , s kelley , v katz , z song , j jсjс sigmod conference",,2000.0
908,"tip : a temporal extension to informix j yang , h ying , j widom",sigmod conference,2000.0
909,path sharing and predicate evaluation for high-performance xml filtering acm trans . database syst . 2003,,
910,"spire : a progressive content-based spatial image retrieval engine c li , l bergman , v castelli , j smith 2000",sigmod conference,
911,index-driven similarity search in metric spaces acm trans . database syst . 2003,,
912,homer : a model-based case tool for data-intensive web sites sigmod conference,,2000.0
913,"research perspectives for time series management systems w dreyer , a dittrich , d schmidt",sigmod record,1994.0
914,"supporting dynamic displays using active rules o dэaz , a jaime , n paton , g al-qaimari sigmod record",,1994.0
915,javax.xxl : a prototype for a library of query processing algorithms,sigmod conference,2000.0
916,overview of the special section on temporal database infrastructure 1994,sigmod record,
917,"i3 : intelligent , interactive investigaton of olap data cubes 2000",sigmod conference,
918,"towards data mining benchmarking : a testbed for performance study of frequent pattern mining j pei , r mao , k hu , h zhu sigmod conference",,2000.0
919,towards an infrastructure for temporal databases : report of an invitational arpa/nsf workshop 1994,,
920,tutorial : ldap directory services - just another database application ?,,2000.0
921,"tsql2 language specification r snodgrass , i ahn , g ariav , d batory , j clifford , c dyreson , r elmasri , f grandi , c jensen , w kфfer , n kline , k kulkarni , t leung , n lorentzos , j roddick , a segev , m soo , s sripada sigmod record",,1994.0
922,text databases : a survey of text models and systems a loeffen sigmod record,,1994.0
923,self-organizing data sharing communities with sagres,sigmod conference,2000.0
924,the database research group at eth zurich,sigmod record,1994.0
925,"lambda-db : an odmg-based object-oriented dbms l fegaras , c srinivasan , a rajendran , d maier",sigmod conference,2000.0
926,influencing database language standards sigmod record,,1994.0
927,"serfing the web : web site management made easy e rundensteiner , k claypool , l chen , h su , k oenoki 2000",sigmod conference,
928,computing capabilities of mediators sigmod conference,,1999.0
929,understanding the global semantics of referential actions using logic rules,acm trans . database syst .,2002.0
930,efficient geometry-based similarity search of 3d spatial databases sigmod conference,,1999.0
931,adaptive algorithms for set containment joins,acm trans . database syst .,2003.0
932,"a layered architecture for querying dynamic web content h davulcu , j freire , m kifer , i ramakrishnan 1999",sigmod conference,
933,information management for genome level bioinformatics,,2001.0
934,"silkroute : a framework for publishing relational data in xml m fernandez , y kadiyska , d suciu , a morishima , w tan 2002",acm trans . database syst .,
935,"searching in metric spaces with user-defined and approximate distances p ciaccia , m patella acm trans . database syst .",,2002.0
936,automatic discovery of language models for text databases,sigmod conference,1999.0
937,bottom-up computation of sparse and iceberg cubes sigmod conference 1999,,
938,fast incremental maintenance of approximate histograms acm trans . database syst . 2002,,
939,"client-site query extensions t mayr , p seshadri",sigmod conference,1999.0
940,searching for dependencies at multiple abstraction levels 2002,acm trans . database syst .,
941,"a new method for similarity indexing of market basket data c aggarwal , j wolf , p yu",sigmod conference,1999.0
942,locally adaptive dimensionality reduction for indexing large time series databases 2002,acm trans . database syst .,
943,"cost models for overlapping and multiversion structures y tao , d papadias , j zhang",acm trans . database syst .,2002.0
944,"dynamat : a dynamic view management system for data warehouses y kotidis , n roussopoulos sigmod conference 1999",,
945,"an efficient bitmap encoding scheme for selection queries c chan , y ioannidis sigmod conference",,1999.0
946,"iterative spatial join e jacox , h samet 2003",acm trans . database syst .,
947,"approximate computation of multidimensional aggregates of sparse data using wavelets j vitter , m wang sigmod conference 1999",,
948,removing permissions in the flexible authorization framework,acm trans . database syst .,2003.0
949,an adaptive query execution system for data integration 1999,sigmod conference,
950,"spatial queries in dynamic environments y tao , d papadias acm trans . database syst . 2003",,
951,"a comparison of selectivity estimators for range queries on metric attributes b blohsfeld , d korus , b seeger sigmod conference",,1999.0
952,are quorums an alternative for data replication ? acm trans . database syst . 2003,,
953,belief reasoning in mls deductive databases sigmod conference,,1999.0
954,"on the computation of relational view complements j lechtenbіrger , g vossen acm trans . database syst . 2003",,
955,discovering all most specific sentences acm trans . database syst . 2003,,
956,"efficient concurrency control for broadcast environments j shanmugasundaram , a nithrakashyap , r sivasankaran , k ramamritham",sigmod conference,1999.0
957,a simple algorithm for finding frequent elements in streams and bags 2003,acm trans . database syst .,
958,"boat-optimistic decision tree construction j gehrke , v ganti , r ramakrishnan , w loh 1999",sigmod conference,
959,a multimedia presentation algebra sigmod conference,,1999.0
960,description logics for semantic query optimization in object-oriented database systems acm trans . database syst . 2003,,
961,editor 's notes a segev 1994,sigmod record,
962,a user-centered interface for querying distributed multimedia databases sigmod conference 1999,,
963,a tsql2 tutorial sigmod record 1994,,
964,"integration of spatial join algorithms for processing multiple inputs n mamoulis , d papadias",sigmod conference,1999.0
965,"evolvable view environment ( eve ) : non-equivalent view maintenance under schema changes e rundensteiner , a koeller , x zhang , a wyk , y li , a lee , a nica",sigmod conference,1999.0
966,"announcements from nsf , nasa , and elsewhere 1994",sigmod record,
967,calls for papers / announcements sigmod record 1994,,
968,"exploratory mining via constrained frequent set queries r ng , l lakshmanan , j han , t mah sigmod conference 1999",,
969,research issues in databases for arcs : active rapidly changing data systems a datta sigmod record,,1994.0
970,domino : databases for moving objects tracking sigmod conference 1999,,
971,"database patchwork on the internet r braumandl , a kemper , d kossmann sigmod conference 1999",,
972,how to modify sql queries in order to guarantee sure answers h klein sigmod record 1994,,
973,database research at nthu and itri a chen 1994,sigmod record,
974,an xml-based wrapper generator for web information extraction 1999,sigmod conference,
975,"response to the march 1994 odmg-93 commentary written by dr. won kim of unisql , inc sigmod record 1994",,
