item,category,cost,fling_power,fling_effect
i1417,49,20,,
i1418,49,20,,
i1419,8,20,10,
i1420,23,,,
i1421,23,0,,
i1422,12,4000,30,
i1423,12,,30,
i1424,22,0,,
i1425,22,0,,
i1426,37,1000,,
i1427,,1000,30,
i1428,49,20,,
i1429,49,20,,
i1430,27,1200,30,
i1431,49,20,,
i1432,49,20,,
i1433,24,0,30,
i1434,24,0,30,
i1435,12,4000,10,
i1436,,0,,
i1437,49,20,,
i1438,49,20,,
i1439,49,20,,
i1440,23,,,
i1441,23,0,,
i1442,37,6000,80,
i1443,43,0,,
i1444,,0,80,
i1445,26,20,,
i1446,26,,,
i1447,21,0,,
i1448,24,60,30,
i1449,21,0,,
i1450,46,0,,
i1451,23,0,,
i1452,23,0,,
i1453,10,3000,30,
i1454,49,20,,
i1455,49,20,,
i1456,49,20,,
i1457,22,0,,
i1458,37,1000,,
i1459,37,1000,,
i1460,37,1000,,
i1461,37,50000,,
i1462,24,25000,30,
i1463,24,,30,
i1464,37,30000,,
i1465,44,0,80,
i1466,23,0,,
i1467,23,0,,
i1468,44,0,80,
i1469,44,0,80,
i1470,44,0,80,
i1471,44,0,80,
i1472,44,0,80,
i1473,44,0,80,
i1474,37,0,,
i1475,37,0,,
i1476,37,0,,
i1477,37,0,,
i1478,23,0,,
i1479,23,0,,
i1480,37,0,,
i1481,21,0,,
i1482,23,0,,
i1483,23,0,,
i1484,21,0,,
i1485,23,0,,
i1486,23,0,,
i1487,23,0,,
i1488,23,0,,
i1489,23,0,,
i1490,49,20,,
i1491,12,1000,80,
i1492,44,0,80,
i1493,44,0,80,
i1494,26,20,,
i1495,,50000,,
i1496,,80,10,
i1497,19,1000,10,
i1498,10,2000,30,
i1499,19,1000,70,6
i1500,19,1000,30,
i1501,19,1000,30,
i1502,19,1000,50,
i1503,19,1000,30,
i1504,19,1000,70,
i1505,19,1000,30,
i1506,19,1000,30,
i1507,22,0,,
i1508,21,0,,
i1509,12,,30,
i1510,37,1000,,
i1511,37,1000,,
i1512,37,50000,,
i1513,37,10000,,
i1514,37,1000,,
i1515,37,1000,,
i1516,47,20,,
i1517,47,20,,
i1518,47,20,,
i1519,37,1000,,
i1520,6,80,10,3
i1521,6,80,10,3
i1522,3,80,10,3
i1523,3,80,10,3
i1524,3,80,10,3
i1525,3,80,10,3
i1526,3,80,10,3
i1527,3,80,10,3
i1528,6,80,10,3
i1529,6,80,10,3
i1530,,0,,
i1531,49,20,,
i1532,49,20,,
i1533,47,20,,
i1534,37,10000,95,
i1535,37,4000,10,
i1536,37,4000,10,
i1537,37,16000,120,
i1538,37,6000,80,
i1539,37,6000,80,
i1540,37,6000,120,
i1541,37,6000,90,
i1542,37,2000,10,
i1543,37,6000,85,
i1544,,20,,
i1545,47,20,,
i1546,37,2000,10,
i1547,,2000,10,
i1548,25,50,,
i1549,37,10000,95,
i1550,49,20,,
i1551,21,,,
i1552,21,0,,
i1553,49,20,,
i1554,,20,,
i1555,49,20,,
i1556,49,20,,
i1557,17,1000,90,
i1558,11,700,30,
i1559,49,20,,
i1560,49,20,,
i1561,49,20,,
i1562,49,20,,
i1563,49,20,,
i1564,49,20,,
i1565,49,20,,
i1566,49,20,,
i1567,49,20,,
i1568,49,20,,
i1569,,20,,
i1570,20,0,,
i1571,49,20,,
i1572,49,20,,
i1573,49,20,,
i1574,18,0,,
i1575,49,20,,
i1576,8,200,10,
i1577,40,,10,
i1578,47,20,,
i1579,22,0,,
i1580,47,20,,
i1581,47,20,,
i1582,37,50000,,
i1583,37,50000,,
i1584,22,0,,
i1585,37,1000,,
i1586,51,2200,20,
i1587,47,20,,
i1588,,20,,
i1589,21,0,,
i1590,49,20,,
i1591,12,4000,10,
i1592,11,400,30,
i1593,49,20,,
i1594,43,0,,
i1595,37,4000,10,
i1596,,4000,10,
i1597,21,0,,
i1598,22,0,,
i1599,22,0,,
i1600,21,0,,
i1601,22,0,,
i1602,23,0,,
i1603,23,0,,
i1604,23,0,,
i1605,23,0,,
i1606,49,20,,
i1607,22,0,,
i1608,30,250,30,
i1609,11,900,30,
i1610,23,0,,
i1611,21,0,,
i1612,22,0,,
i1613,21,0,,
i1614,22,0,,
i1615,22,0,,
i1616,24,1200,30,
i1617,24,1000,30,
i1618,24,0,30,
i1619,24,2000,30,
i1620,24,0,30,
i1621,24,0,30,
i1622,11,700,30,
i1623,11,400,30,
i1624,37,1000,,
i1625,37,1000,,
i1626,36,100,10,
i1627,36,100,10,
i1628,19,2000,10,
i1629,12,4000,30,
i1630,18,1000,40,
i1631,10,500,10,
i1632,18,1000,90,
i1633,18,1000,10,
i1634,36,100,10,
i1635,18,1000,60,
i1636,23,0,,
i1637,21,0,,
i1638,47,20,,
i1639,47,20,,
i1640,47,20,,
i1641,47,20,,
i1642,47,20,,
i1643,47,20,,
i1644,47,20,,
i1645,47,20,,
i1646,,0,,
i1647,47,20,,
i1648,47,20,,
i1649,37,50000,,
i1650,37,50000,,
i1651,37,40000,,
i1652,12,5000,30,7
i1653,37,50000,,
i1654,37,1000,,
i1655,10,2000,50,
i1656,10,2000,80,
i1657,12,5000,80,
i1658,10,2000,10,
i1659,25,50,,
i1660,25,50,,
i1661,3,80,10,3
i1662,3,80,10,3
i1663,25,50,,
i1664,25,50,,
i1665,25,50,,
i1666,25,50,,
i1667,3,80,10,3
i1668,3,80,10,3
i1669,28,3000,30,
i1670,28,3000,30,
i1671,49,20,,
i1672,40,200,10,
i1673,37,4000,10,
i1674,37,10000,90,
i1675,37,6000,80,
i1676,37,16000,120,
i1677,37,4000,10,
i1678,37,2000,10,
i1679,37,4000,10,
i1680,37,16000,120,
i1681,37,10000,100,
i1682,37,4000,10,
i1683,22,,,
i1684,37,2000,10,
i1685,45,1000,50,
i1686,22,0,,
i1687,22,0,,
i1688,7,80,10,
i1689,,0,,
i1690,23,0,,
i1691,7,80,10,
i1692,43,0,,
i1693,43,0,,
i1694,43,0,,
i1695,6,80,10,3
i1696,45,1000,50,
i1697,12,4000,100,
i1698,24,0,30,
i1699,45,1000,50,
i1700,24,0,30,
i1701,43,0,,
i1702,30,350,30,
i1703,42,200,,
i1704,6,,10,3
i1705,49,20,,
i1706,49,20,,
i1707,49,20,,
i1708,43,0,,
i1709,49,20,,
i1710,50,20,10,
i1711,22,0,,
i1712,49,20,,
i1713,49,20,,
i1714,46,0,,
i1715,22,0,,
i1716,21,0,,
i1717,21,0,,
i1718,47,20,,
i1719,21,0,,
i1720,,0,,
i1721,49,20,,
i1722,49,20,,
i1723,25,50,,
i1724,25,50,,
i1725,49,20,,
i1726,49,20,,
i1727,49,20,,
i1728,49,20,,
i1729,49,20,,
i1730,49,20,,
i1731,49,20,,
i1732,49,20,,
i1733,20,0,,
i1734,23,0,,
i1735,18,1000,30,5
i1736,11,300,30,
i1737,11,,30,
i1738,22,0,,
i1739,43,0,,
i1740,10,2000,30,
i1741,49,20,,
i1742,49,20,,
i1743,49,20,,
i1744,49,20,,
i1745,49,20,,
i1746,49,20,,
i1747,49,20,,
i1748,49,20,,
i1749,49,20,,
i1750,49,20,,
i1751,22,0,,
i1752,12,4000,10,
i1753,5,80,10,3
i1754,49,20,,
i1755,26,20,,
i1756,12,,80,
i1757,44,0,80,
i1758,,0,80,
i1759,7,80,10,
i1760,7,80,10,
i1761,,80,10,3
i1762,42,4000,,
i1763,23,0,,
i1764,47,20,,
i1765,24,300,30,
i1766,24,600,30,
i1767,24,20,30,
i1768,24,60,30,
i1769,22,0,,
i1770,22,0,,
i1771,22,0,,
i1772,22,0,,
i1773,24,800,30,
i1774,24,1000,30,
i1775,20,0,,
i1776,20,0,,
i1777,23,0,,
i1778,23,0,,
i1779,23,0,,
i1780,23,0,,
i1781,23,0,,
i1782,23,0,,
i1783,23,0,,
i1784,23,0,,
i1785,23,0,,
i1786,23,0,,
i1787,37,1000,,
i1788,23,0,,
i1789,21,0,,
i1790,47,20,,
i1791,47,20,,
i1792,47,20,,
i1793,47,20,,
i1794,47,20,,
i1795,47,20,,
i1796,47,20,,
i1797,47,20,,
i1798,21,0,,
i1799,47,20,,
i1800,47,20,,
i1801,17,1000,90,
i1802,26,10000,,
i1803,10,2000,80,
i1804,10,2000,80,
i1805,37,10000,,
i1806,37,10000,,
i1807,37,1000,,
i1808,37,1000,,
i1809,37,100000,,
i1810,37,1000,,
i1811,37,1000,,
i1812,37,1000,,
i1813,37,10000,,
i1814,37,10000,,
i1815,10,2000,80,
i1816,35,2100,80,
i1817,18,0,60,
i1818,18,0,60,
i1819,25,50,,
i1820,25,50,,
i1821,25,50,,
i1822,25,50,,
i1823,25,50,,
i1824,25,50,,
i1825,,30000,,
i1826,34,0,,
i1827,34,0,,
i1828,17,1000,90,
i1829,14,3000,60,
i1830,49,20,,
i1831,19,1000,30,
i1832,37,6000,10,
i1833,37,6000,10,
i1834,18,2000,30,
i1835,12,4000,30,
i1836,16,3000,30,
i1837,12,4000,10,
i1838,16,10000,30,
i1839,16,5000,30,
i1840,18,0,30,
i1841,18,2000,90,
i1842,37,6000,80,
i1843,37,4000,80,
i1844,37,6000,80,
i1845,37,4000,10,
i1846,16,10000,30,
i1847,12,4000,30,
i1848,37,4000,10,
i1849,37,2000,10,
i1850,12,4000,10,
i1851,19,1000,30,
i1852,51,,10,
i1853,25,50,,
i1854,24,0,30,
i1855,47,20,,
i1856,25,50,,
i1857,25,50,,
i1858,,0,,
i1859,23,0,,
i1860,,20,,
i1861,24,0,30,
i1862,24,0,30,
i1863,35,7000,100,
i1864,,7000,100,
i1865,10,,30,
i1866,26,20,,
i1867,23,0,,
i1868,23,0,,
i1869,22,0,,
i1870,35,5000,100,
i1871,49,20,,
i1872,43,0,,
i1873,12,4000,10,
i1874,7,80,10,
i1875,8,,10,
i1876,8,20,10,
i1877,24,5000,100,
i1878,24,5000,100,
i1879,43,0,,
i1880,43,0,,
i1881,49,20,,
i1882,49,,,
i1883,30,350,30,
i1884,9,3000,30,
i1885,43,0,,
i1886,21,0,,
i1887,49,20,,
i1888,49,20,,
i1889,49,20,,
i1890,49,20,,
i1891,49,20,,
i1892,49,20,,
i1893,49,20,,
i1894,49,20,,
i1895,19,1000,70,
i1896,19,1000,70,
i1897,49,20,,
i1898,49,20,,
i1899,22,0,,
i1900,37,4000,10,
i1901,49,20,,
i1902,49,,,
i1903,49,20,,
i1904,37,,,
i1905,37,1000,,
i1906,49,20,,
i1907,43,0,,
i1908,49,20,,
i1909,49,20,,
i1910,49,20,,
i1911,49,20,,
i1912,49,20,,
i1913,49,20,,
i1914,49,20,,
i1915,49,20,,
i1916,49,20,,
i1917,49,20,,
i1918,22,0,,
i1919,37,6000,10,
i1920,43,0,,
i1921,43,0,,
i1922,49,20,,
i1923,,2200,20,
i1924,47,20,,
i1925,,0,,
i1926,26,10000,30,
i1927,26,10000,30,
i1928,21,0,,
i1929,45,1000,50,
i1930,51,150,10,
i1931,51,2200,20,
i1932,26,20,,
i1933,26,20,,
i1934,26,20,,
i1935,26,20,,
i1936,26,20,,
i1937,26,20,,
i1938,26,20,,
i1939,26,20,,
i1940,47,20,,
i1941,47,20,,
i1942,47,20,,
i1943,22,0,,
i1944,22,0,,
i1945,23,0,,
i1946,23,0,,
i1947,22,0,,
i1948,20,0,,
i1949,23,0,,
i1950,23,0,,
i1951,22,0,,
i1952,23,0,,
i1953,22,0,,
i1954,21,0,,
i1955,51,400,10,
i1956,20,,,
i1957,18,300,10,
i1958,24,1000,30,
i1959,37,10000,,
i1960,44,0,80,
i1961,44,0,80,
i1962,44,0,80,
i1963,32,200,30,
i1964,32,200,30,
i1965,32,200,30,
i1966,32,200,30,
i1967,12,4000,80,
i1968,26,300,20,
i1969,26,300,20,
i1970,44,0,80,
i1971,44,0,80,
i1972,37,10000,,
i1973,37,1000,,
i1974,37,1000,,
i1975,37,100000,,
i1976,37,10000,,
i1977,37,10000,,
i1978,37,10000,,
i1979,37,1000,,
i1980,50,20,10,
i1981,50,,10,
i1982,37,10000,,
i1983,37,1000,,
i1984,10,3000,80,
i1985,10,3000,80,
i1986,10,3000,80,
i1987,24,5000,100,
i1988,35,7000,100,
i1989,35,7000,100,
i1990,35,10000,100,
i1991,35,7000,100,
i1992,35,7000,100,
i1993,35,7000,100,
i1994,,20,,
i1995,47,,,
i1996,35,,80,
i1997,37,1000,,
i1998,21,0,,
i1999,37,4000,10,
i2000,37,10000,90,
i2001,19,1000,30,
i2002,19,1000,30,
i2003,19,1000,100,
i2004,19,1000,10,
i2005,37,2000,10,
i2006,37,6000,80,
i2007,37,4000,10,
i2008,37,4000,20,
i2009,37,16000,110,
i2010,37,1000,,
i2011,37,6000,80,
i2012,37,10000,90,
i2013,22,0,,
i2014,24,5000,30,
i2015,24,5000,30,
i2016,49,20,,
i2017,33,0,,
i2018,27,200,30,
i2019,33,300,,
i2020,33,1000,,
i2021,33,20,,
i2022,33,1000,,
i2023,33,1000,,
i2024,33,3000,,
i2025,47,20,,
i2026,47,20,,
i2027,30,200,30,
i2028,30,200,30,
i2029,49,20,,
i2030,37,30000,,
i2031,37,30000,,
i2032,30,200,30,
i2033,30,200,30,
i2034,50,20,10,
i2035,50,20,10,
i2036,50,20,10,
i2037,50,20,10,
i2038,50,20,10,
i2039,50,20,10,
i2040,50,20,10,
i2041,50,20,10,
i2042,44,0,80,
i2043,50,20,10,
i2044,50,20,10,
i2045,32,200,30,
i2046,32,200,30,
i2047,37,1000,,
i2048,22,0,,
i2049,44,0,80,
i2050,,20,,
i2051,37,16000,100,
i2052,37,10000,90,
i2053,10,2000,30,
i2054,17,1000,90,
i2055,30,200,30,
i2056,49,20,,
i2057,21,,,
i2058,,0,60,
i2059,49,20,,
i2060,1,1000,30,
i2061,1,1000,30,
i2062,49,20,,
i2063,22,0,,
i2064,37,16000,130,
i2065,22,0,,
i2066,12,5000,80,
i2067,22,,,
i2068,,0,,
i2069,49,20,,
i2070,22,0,,
i2071,49,20,,
i2072,,50000,30,
i2073,21,0,,
i2074,21,0,,
i2075,49,20,,
i2076,49,20,,
i2077,12,4000,10,
i2078,,4000,10,
i2079,49,20,,
i2080,21,0,,
i2081,23,0,,
i2082,23,0,,
i2083,49,20,,
i2084,20,0,,
i2085,46,0,,
i2086,46,0,,
i2087,20,0,,
i2088,23,0,,
i2089,22,0,,
i2090,23,0,,
i2091,23,0,,
i2092,,3000,30,
i2093,49,20,,
i2094,49,20,,
i2095,49,20,,
i2096,49,20,,
i2097,49,20,,
i2098,49,20,,
i2099,49,20,,
i2100,49,20,,
i2101,49,20,,
i2102,49,20,,
i2103,10,2200,30,
i2104,39,0,,
i2105,30,350,30,
i2106,30,350,30,
i2107,33,1000,,
i2108,20,0,,
i2109,49,20,,
i2110,27,200,30,
i2111,26,20,,
i2112,26,20,,
i2113,26,20,,
i2114,26,20,,
i2115,26,20,,
i2116,26,20,,
i2117,26,20,,
i2118,26,20,,
i2119,26,20,,
i2120,26,20,,
i2121,45,1000,50,
i2122,23,0,,
i2123,45,1000,50,
i2124,45,1000,50,
i2125,45,1000,50,
i2126,45,1000,50,
i2127,45,1000,50,
i2128,45,1000,50,
i2129,45,1000,50,
i2130,45,1000,50,
i2131,32,200,30,
i2132,32,200,30,
i2133,37,6000,80,
i2134,37,10000,,
i2135,37,10000,,
i2136,22,0,,
i2137,3,80,10,3
i2138,37,1000,,
i2139,37,1000,,
i2140,37,30000,,
i2141,37,1000,,
i2142,37,100000,,
i2143,37,1000,,
i2144,37,10000,,
i2145,37,1000,,
i2146,37,1000,,
i2147,37,10000,,
i2148,49,20,,
i2149,42,200,,
i2150,42,200,,
i2151,42,200,,
i2152,42,200,,
i2153,12,4000,30,
i2154,42,200,,
i2155,42,200,,
i2156,42,200,,
i2157,42,200,,
i2158,42,200,,
i2159,5,80,10,3
i2160,5,80,10,3
i2161,7,80,10,
i2162,7,80,10,
i2163,7,80,10,
i2164,7,80,10,
i2165,7,80,10,
i2166,7,80,10,
i2167,7,80,10,
i2168,7,80,10,
i2169,19,1000,30,
i2170,49,20,,
i2171,7,80,10,
i2172,26,20,,
i2173,22,0,,
i2174,37,6000,95,
i2175,21,0,,
i2176,22,0,,
i2177,22,0,,
i2178,22,0,,
i2179,22,0,,
i2180,37,16000,120,
i2181,37,16000,120,
i2182,37,10000,80,
i2183,37,16000,100,
i2184,37,6000,10,
i2185,37,6000,10,
i2186,37,10000,95,
i2187,37,6000,10,
i2188,37,10000,,
i2189,,10000,,
i2190,27,3000,30,
i2191,30,200,30,
i2192,30,200,30,
i2193,30,200,30,
i2194,30,400,30,
i2195,27,700,30,
i2196,27,1500,30,
i2197,27,2500,30,
i2198,37,16000,120,
i2199,29,4000,30,
i2200,29,2000,30,
i2201,37,16000,120,
i2202,26,20,,
i2203,37,50000,,
i2204,51,2200,10,
i2205,51,2200,20,
i2206,51,400,50,
i2207,51,950,10,
i2208,9,20,50,
i2209,10,1600,80,
i2210,10,38000,80,
i2211,21,0,,
i2212,51,950,10,
i2213,51,950,10,
i2214,49,20,,
i2215,46,0,,
i2216,49,20,,
i2217,12,4000,50,
i2218,12,4000,50,
i2219,49,20,,
i2220,49,20,,
i2221,23,0,,
i2222,23,0,,
i2223,49,20,,
i2224,23,0,,
i2225,23,0,,
i2226,50,20,10,
i2227,,20,,
i2228,47,20,,
i2229,49,,,
i2230,23,0,,
i2231,44,0,80,
i2232,44,0,80,
i2233,51,950,10,
i2234,,0,,
i2235,47,20,,
i2236,18,1000,60,
i2237,49,20,,
i2238,23,0,,
i2239,7,80,10,
i2240,12,4000,60,
i2241,41,0,,
i2242,7,80,10,
i2243,12,4000,90,
i2244,18,1000,10,
i2245,25,50,,
i2246,49,20,,
i2247,49,20,,
i2248,14,3000,70,
i2249,47,20,,
i2250,14,3000,70,
i2251,49,20,,
i2252,49,20,,
i2253,49,20,,
i2254,49,20,,
i2255,49,20,,
i2256,49,20,,
i2257,49,20,,
i2258,49,20,,
i2259,49,20,,
i2260,49,20,,
i2261,23,,,
i2262,10,3000,80,
i2263,49,20,,
i2264,37,6000,95,
i2265,,0,,
i2266,47,20,,
i2267,23,,,
i2268,23,0,,
i2269,45,1000,50,
i2270,45,1000,50,
i2271,45,1000,50,
i2272,45,1000,50,
i2273,45,1000,50,
i2274,47,20,,
i2275,12,4000,10,
i2276,12,4000,10,
i2277,47,20,,
i2278,47,20,,
i2279,47,20,,
i2280,47,20,,
i2281,47,20,,
i2282,47,20,,
i2283,47,20,,
i2284,47,20,,
i2285,26,3000,30,
i2286,26,3000,30,
i2287,48,5000,10,
i2288,48,,10,
i2289,37,6000,80,
i2290,23,0,,
i2291,9,3000,30,
i2292,23,0,,
i2293,21,0,,
i2294,21,0,,
i2295,49,20,,
i2296,22,0,,
i2297,,0,,
i2298,37,1000,,
i2299,10,2200,30,
i2300,37,1000,,
i2301,37,1000,,
i2302,37,10000,,
i2303,37,1000,,
i2304,37,1000,,
i2305,19,1000,10,
i2306,37,1000,,
i2307,37,100000,,
i2308,37,1000,,
i2309,12,4000,60,
i2310,12,4000,30,
i2311,12,4000,40,
i2312,19,2000,30,
i2313,12,4000,30,
i2314,12,4000,10,
i2315,12,4000,10,
i2316,12,4000,10,
i2317,22,0,,
i2318,12,4000,30,
i2319,12,4000,30,
i2320,22,0,,
i2321,7,80,10,
i2322,7,80,10,
i2323,21,0,,
i2324,7,80,10,
i2325,8,20,10,
i2326,7,80,10,
i2327,21,0,,
i2328,7,80,10,
i2329,7,80,10,
i2330,7,80,10,
i2331,7,80,10,
i2332,21,0,,
i2333,23,0,,
i2334,37,10000,,
i2335,37,10000,90,
i2336,37,16000,120,
i2337,37,6000,80,
i2338,37,4000,10,
i2339,37,6000,80,
i2340,37,6000,85,
i2341,37,10000,90,
i2342,37,16000,120,
i2343,1,2000,30,
i2344,12,4000,80,
i2345,37,16000,130,
i2346,37,10000,80,
i2347,12,4000,80,
i2348,47,20,,
i2349,47,20,,
i2350,47,20,,
i2351,47,20,,
i2352,47,20,,
i2353,47,20,,
i2354,47,20,,
i2355,47,20,,
i2356,30,350,30,
i2357,22,0,,
i2358,21,0,,
i2359,23,0,,
i2360,44,0,80,
i2361,47,20,,
i2362,28,1200,30,
i2363,28,2000,30,
i2364,27,500,30,
i2365,27,1200,30,
i2366,30,300,30,
i2367,29,2800,30,
i2368,27,200,30,
i2369,27,300,30,
i2370,27,400,30,
i2371,27,600,30,
i2372,49,20,,
i2373,49,20,,
i2374,,4000,10,
i2375,51,150,10,
i2376,51,150,10,
i2377,23,0,,
i2378,51,15000,50,
i2379,21,0,,
i2380,23,0,,
i2381,23,0,,
i2382,22,0,,
i2383,21,0,,
i2384,22,0,,
i2385,23,0,,
i2386,4,80,10,
i2387,4,80,10,
i2388,49,20,,
i2389,49,20,,
i2390,21,0,,
i2391,37,1000,,
i2392,10,500,10,
i2393,49,,,
i2394,,20,,
i2395,12,4000,10,
i2396,49,20,,
i2397,49,,,
i2398,10,500,10,
i2399,25,50,,
i2400,12,1000,80,
i2401,49,20,,
i2402,49,20,,
i2403,39,0,,
i2404,39,0,,
i2405,37,6000,80,
i2406,49,20,,
i2407,23,0,,
i2408,26,0,30,
i2409,27,2500,30,
i2410,,2500,30,
