move,generation,type,power,pp,accuracy,priority,target,damage_class,effect,effect_chance,contest_type,contest_effect,super_contest_effect
m499,5,id-1,60,15,100,0,10,3,302,,,,
m500,8,id-17,,10,100,4,7,1,442,,,,
m501,8,id-17,80,10,,0,10,2,18,,,,
m502,8,id-18,90,10,95,0,10,3,77,20,,,
m503,3,id-2,120,5,100,0,10,2,183,100,5,3,18
m504,8,id-9,140,5,95,0,10,3,420,,,,
m505,8,id-14,80,10,100,0,10,3,1,,,,
m506,8,id-2,150,5,100,0,10,2,81,,,,
m507,8,id-16,100,5,100,0,10,3,421,,,,
m508,3,id-1,,20,,,7,1,181,,3,25,14
m509,8,id-1,,10,,0,14,1,429,,,,
m510,8,id-16,25,20,90,0,10,2,1,,,,
m511,1,id-1,40,35,100,0,10,2,1,,5,1,5
m512,4,id-12,80,15,100,0,10,2,1,,4,,5
m513,4,id-3,75,15,95,0,10,3,32,30,1,,17
m514,4,id-7,70,20,100,0,10,2,229,,3,,16
m515,4,id-9,,10,100,0,1,2,228,,2,,15
m516,4,id-16,85,10,100,0,10,3,1,,4,,4
m517,3,id-1,,10,,0,7,1,180,,3,24,8
m518,4,id-7,80,15,100,0,10,2,1,,2,,17
m519,4,id-7,90,10,100,0,10,3,73,10,3,,4
m520,4,id-1,,15,100,0,10,2,223,,1,,18
m521,4,id-11,65,10,100,0,10,3,222,,4,,4
m522,4,id-14,,10,,0,7,1,221,,3,,8
m523,3,id-14,,10,,0,10,1,179,,3,20,23
m524,4,id-1,,30,,0,5,1,227,,1,,11
m525,4,id-3,,15,,0,4,1,226,,4,,1
m526,4,id-3,60,20,100,0,10,2,225,,3,,12
m527,4,id-1,30,10,100,2,10,2,224,,2,,16
m528,2,id-10,60,25,100,0,10,2,126,10,2,1,7
m529,6,id-13,,25,,1,12,1,345,,,,
m530,6,id-1,,30,100,0,10,1,344,100,,,
m531,7,id-1,,30,,0,7,1,391,,,,
m532,2,id-1,50,15,100,0,10,3,93,30,3,1,5
m533,6,id-7,50,25,100,0,10,2,342,,,,
m534,6,id-7,,20,,0,6,1,341,,,,
m535,6,id-8,,20,100,0,10,1,343,,,,
m536,6,id-8,90,10,100,0,10,2,273,,,,
m537,6,id-2,,10,,0,4,1,377,,,,
m538,2,id-1,,5,,0,10,1,95,,4,24,20
m539,6,id-5,,10,,0,14,1,340,100,,,
m540,6,id-4,120,10,90,0,10,3,339,,,,
m541,4,id-14,,10,,0,10,1,245,,3,,16
m542,4,id-14,,10,,0,10,1,244,,2,,16
m543,2,id-17,40,20,100,0,10,2,129,,4,14,20
m544,2,id-1,50,40,100,0,10,2,130,100,1,16,17
m545,4,id-1,,30,,0,4,1,241,,3,,13
m546,4,id-4,,10,100,0,10,1,240,,2,,13
m547,4,id-1,,20,,0,7,1,243,,1,,12
m548,4,id-1,,20,,0,2,1,242,,3,,1
m549,2,id-5,,30,100,0,9,2,127,,5,11,18
m550,2,id-2,100,5,50,0,10,2,77,100,1,10,18
m551,2,id-1,,20,,0,10,1,92,,4,4,10
m552,2,id-10,100,5,95,0,10,2,126,50,2,1,22
m553,2,id-1,,40,,0,7,1,128,,3,18,16
m554,2,id-1,,5,100,0,10,1,91,,3,18,20
m555,2,id-7,120,10,85,0,10,2,1,,1,12,18
m556,2,id-16,60,20,100,0,10,3,7,30,1,5,17
m557,8,id-9,140,5,95,0,10,3,420,,,,
m558,5,id-14,60,25,100,0,10,2,32,30,,,
m559,8,id-4,,40,100,0,9,1,1,,,,
m560,2,id-8,,10,,0,1,1,110,,5,31,21
m561,8,id-9,140,5,95,0,10,3,420,,,,
m562,7,id-18,120,5,85,0,10,3,1,,,,
m563,2,id-1,,15,100,0,10,2,100,,3,26,15
m564,6,id-13,65,20,100,0,9,3,346,,,,
m565,4,id-7,70,20,,0,10,2,229,,3,,16
m566,3,id-1,,10,,,7,1,33,,3,26,8
m567,8,id-2,,5,,0,7,1,425,100,,,
m568,7,id-10,,1,,0,10,2,1,,,,
m569,2,id-17,,10,100,0,10,2,155,,4,14,7
m570,6,id-2,100,10,95,0,10,2,338,,,,
m571,7,id-6,40,20,100,1,10,2,104,,,,
m572,7,id-8,85,10,100,0,10,2,70,20,,,
m573,6,id-9,,10,,4,7,1,356,,,,
m574,6,id-9,,10,,4,7,1,356,,,,
m575,2,id-17,60,20,,0,10,2,18,,4,27,18
m576,3,id-7,60,5,100,0,10,3,141,10,2,32,4
m577,3,id-9,,40,85,0,10,1,63,,4,5,10
m578,3,id-1,,40,,0,10,1,114,,4,33,20
m579,3,id-6,60,15,95,0,10,2,71,100,4,24,2
m580,3,id-3,60,25,95,0,11,3,44,,1,23,5
m581,3,id-10,130,5,90,0,10,3,205,100,2,3,22
m582,3,id-12,,5,,0,13,1,103,,4,28,8
m583,3,id-17,,20,100,0,10,1,63,,4,28,19
m584,3,id-8,30,15,100,0,10,2,32,30,4,9,5
m585,3,id-1,50,10,100,0,10,3,204,,4,1,4
m586,1,id-2,130,10,90,0,10,2,46,,1,3,5
m587,1,id-1,,30,100,0,10,1,68,,5,5,19
m588,1,id-14,,15,80,0,10,1,24,,4,24,11
m589,1,id-1,,10,,0,7,1,33,,2,1,8
m590,1,id-1,10,35,100,0,10,2,71,10,5,9,21
m591,1,id-14,,20,,0,7,1,55,,3,32,11
m592,1,id-1,130,10,100,0,10,2,146,100,5,4,6
m593,1,id-1,20,15,100,0,10,2,30,,1,10,7
m594,8,id-16,100,5,,0,10,3,421,,,,
m595,1,id-1,55,30,100,,10,2,1,,5,1,5
m596,1,id-1,,10,,0,7,1,33,,4,23,8
m597,4,id-1,140,5,100,0,10,2,247,,3,,21
m598,1,id-14,100,15,100,0,10,3,9,,4,8,20
m599,1,id-4,,40,90,0,11,1,67,,4,33,5
m600,1,id-15,90,10,100,0,10,3,6,10,2,23,17
m601,1,id-15,110,5,70,0,11,3,261,10,2,1,17
m602,1,id-10,40,25,100,0,10,3,5,10,2,1,5
m603,1,id-10,90,15,100,0,10,3,5,10,2,1,17
m604,1,id-1,,20,100,0,10,1,87,,4,18,19
m605,1,id-4,40,30,100,0,11,3,73,10,4,4,5
m606,1,id-11,110,5,80,0,10,3,1,,2,1,17
m607,1,id-11,90,15,100,0,9,3,258,,2,2,17
m608,1,id-15,,30,,0,4,1,47,,2,15,13
m609,1,id-11,40,25,100,0,10,3,1,,3,1,5
m610,1,id-7,80,10,,0,10,2,4,,4,9,20
m611,1,id-13,40,30,100,0,10,3,7,10,1,1,5
m612,1,id-1,,15,,0,7,1,17,,1,16,1
m613,7,id-7,90,10,100,2,10,2,383,,,,
m614,8,id-11,,10,,0,13,1,441,,,,
m615,8,id-2,,15,100,0,10,1,430,,,,
m616,8,id-1,,10,,4,7,1,112,,,,
m617,1,id-3,140,5,90,0,10,2,76,30,1,2,6
m618,1,id-1,,10,75,0,10,1,2,,2,5,19
m619,1,id-7,80,10,100,0,10,2,4,,4,9,20
m620,1,id-1,15,20,85,0,10,2,30,,5,12,7
m621,1,id-12,,15,100,0,10,1,2,,2,5,10
m622,1,id-1,70,10,100,0,10,2,77,20,1,4,16
m623,1,id-11,40,30,100,0,11,3,71,10,3,8,2
m624,1,id-1,,10,,0,10,1,58,,4,17,23
m625,1,id-14,,15,100,0,10,3,89,,4,14,5
m626,1,id-1,,20,100,0,10,1,24,,2,22,10
m627,7,id-9,,1,,0,10,3,1,,,,
m628,7,id-9,,1,,0,10,2,1,,,,
m629,8,id-10,120,5,90,0,10,2,5,10,,,
m630,7,id-4,,10,,4,7,1,384,,,,
m631,6,id-1,,20,,0,10,1,358,100,,,
m632,8,id-14,,20,,0,10,1,427,,,,
m633,1,id-1,,20,100,,10,1,87,,4,18,19
m634,4,id-17,70,5,100,1,10,2,249,,4,,1
m635,7,id-9,60,5,100,0,10,2,45,30,,,
m636,4,id-12,,10,100,0,10,1,248,,2,,19
m637,1,id-1,80,15,100,0,10,2,1,,5,23,5
m638,8,id-11,10,10,,0,2,2,1,,,,
m639,8,id-11,10,10,,0,2,2,1,,,,
m640,1,id-1,120,15,100,0,10,2,199,,5,3,9
m641,8,id-7,90,15,100,0,10,3,394,,,,
m642,6,id-10,,10,100,0,10,3,72,100,,,
m643,1,id-2,80,,80,0,10,2,49,,1,3,5
m644,1,id-1,20,,100,0,10,2,82,,1,17,11
m645,1,id-1,,10,,0,10,1,83,,3,19,12
m646,1,id-1,,20,90,0,10,3,131,,1,12,5
m647,1,id-7,25,20,100,,10,2,78,20,1,9,7
m648,1,id-7,25,20,100,0,10,2,78,20,1,9,7
m649,8,id-2,150,,100,0,10,2,81,,,,
m650,8,id-2,150,5,100,0,10,2,81,,,,
m651,5,id-12,,10,,0,7,1,329,,,,
m652,4,id-6,100,5,80,,10,2,44,,5,,4
m653,8,id-2,90,,100,0,10,2,1,100,,,
m654,7,id-10,,1,,0,10,3,1,,,,
m655,7,id-10,,1,,0,10,3,1,,,,
m656,1,id-2,,20,100,0,10,2,88,,5,23,5
m657,4,id-14,80,15,90,0,10,2,32,20,2,,18
m658,4,id-14,,,,0,10,1,251,,1,,16
m659,1,id-8,,15,100,0,10,3,88,,4,23,5
m660,4,id-5,65,10,85,0,10,3,74,30,4,,18
m661,3,id-6,25,10,90,0,10,2,30,,5,12,7
m662,5,id-3,110,10,,0,10,3,334,30,,,
m663,5,id-17,,,,0,7,1,278,,,,
m664,5,id-3,60,10,,0,10,2,312,,,,
m665,1,id-10,90,15,100,0,10,3,5,10,2,1,17
m666,7,id-9,60,5,100,0,10,2,45,30,,,
m667,3,id-17,90,10,100,0,11,3,1,20,,,
m668,6,id-17,90,10,100,0,11,3,1,20,,,
m669,8,id-4,10,10,,0,2,2,1,,,,
m670,6,id-5,,10,100,0,11,2,374,,,,
m671,1,id-14,,20,,-6,7,1,154,,1,15,1
m672,8,id-4,10,10,,0,2,2,1,,,,
m673,2,id-2,100,5,50,0,10,2,77,100,1,10,18
m674,5,id-13,70,20,100,0,10,3,229,,,,
m675,5,id-12,80,10,100,0,10,3,327,,,,
m676,5,id-5,60,20,100,0,9,2,71,100,,,
m677,5,id-7,50,20,100,0,11,3,72,100,,,
m678,5,id-16,60,10,90,-6,10,2,314,,,,
m679,5,id-15,60,10,90,0,10,3,289,100,,,
m680,5,id-13,55,15,95,0,11,3,21,100,,,
m681,5,id-1,,30,,0,7,1,328,,,,
m682,5,id-5,80,10,95,0,10,2,44,,,,
m683,5,id-13,90,15,100,0,10,2,49,,,,
m684,8,id-7,70,10,90,0,10,2,1,100,,,
m685,4,id-7,,20,100,0,10,2,229,,3,,16
m686,2,id-9,70,25,90,0,10,2,139,10,1,12,5
m687,1,id-1,,5,30,0,10,2,39,,1,14,9
m688,4,id-5,,10,,0,7,1,382,,,,
m689,8,id-14,,20,100,0,10,1,427,,,,
m690,1,id-15,65,20,100,0,10,3,69,10,2,23,17
m691,8,id-12,80,10,100,0,10,2,71,100,,,
m692,5,id-10,100,5,100,0,9,3,5,30,,,
m693,8,id-12,35,15,100,0,10,2,43,100,,,
m694,8,id-10,100,10,,,2,2,1,,,,
m695,5,id-10,100,5,,0,9,3,5,30,,,
m696,7,id-13,175,1,,0,10,3,7,100,,,
m697,4,id-4,65,10,100,0,10,3,284,,,,
m698,1,id-14,,15,80,0,10,1,24,,4,24,11
m699,3,id-11,60,20,100,0,10,3,77,20,2,21,17
m700,3,id-9,140,5,100,0,10,3,149,,1,24,17
m701,3,id-10,85,10,90,0,10,2,201,10,2,1,17
m702,3,id-1,,20,100,0,9,1,200,,3,6,14
m703,4,id-14,,5,,0,12,1,216,,2,,13
m704,4,id-14,,40,,0,10,1,217,,3,,20
m705,3,id-14,140,5,90,0,10,3,205,100,4,3,22
m706,4,id-3,,10,,0,7,1,215,,1,,8
m707,3,id-1,,20,,0,7,1,214,,4,2,13
m708,3,id-2,15,20,100,0,10,2,30,,5,10,7
m709,3,id-11,80,10,100,0,10,2,256,,2,16,6
m710,3,id-1,70,20,100,0,10,2,198,30,4,29,14
m711,3,id-3,,15,100,0,10,1,59,,2,28,19
m712,3,id-14,70,5,100,0,10,3,72,50,4,4,22
m713,3,id-14,70,5,100,0,10,3,73,50,4,9,22
m714,3,id-7,,20,,0,7,1,322,,2,32,11
m715,6,id-11,15,20,100,1,10,3,361,,,,
m716,6,id-10,75,10,100,0,10,3,72,100,,,
m717,6,id-12,,10,,4,7,1,362,,,,
m718,6,id-18,,20,,0,3,1,363,,,,
m719,4,id-16,150,5,90,0,10,3,81,,1,,22
m720,4,id-1,35,10,90,0,10,2,45,,4,,7
m721,6,id-11,110,5,95,0,10,3,5,30,,,
m722,6,id-14,80,5,,0,10,3,360,,,,
m723,4,id-7,,10,,0,7,1,207,,4,,11
m724,4,id-7,90,15,100,0,10,2,44,,4,,4
m725,4,id-6,150,5,80,0,10,2,270,,5,,22
m726,4,id-7,,10,,0,7,1,33,,4,,8
m727,4,id-13,50,10,90,0,10,3,277,70,2,,17
m728,4,id-7,60,20,100,0,10,2,225,,5,,12
m729,4,id-11,40,20,100,1,10,2,104,,2,,1
m730,4,id-12,120,15,100,0,10,2,199,,5,,18
m731,3,id-12,,20,,0,7,1,182,,4,15,21
m732,3,id-1,,20,,0,7,1,181,,3,25,14
m733,2,id-12,,40,100,0,11,1,61,,2,10,1
m734,2,id-2,,15,100,0,10,2,100,,1,28,15
m735,3,id-14,,10,100,0,10,1,178,,4,12,12
m736,3,id-1,,20,,5,3,1,177,,4,18,20
m737,1,id-1,40,30,100,1,10,2,104,,1,30,1
m738,1,id-1,20,20,100,0,10,2,82,,1,17,11
m739,1,id-14,,40,,0,7,1,11,,2,32,11
m740,1,id-14,,30,,0,7,1,53,,1,30,1
m741,1,id-14,90,10,100,0,10,3,73,10,4,5,17
m742,1,id-14,,20,60,0,10,1,2,,4,5,19
m743,1,id-4,,10,90,0,10,1,34,,4,33,19
m744,1,id-14,50,25,100,0,10,3,77,10,4,9,5
m745,1,id-5,,5,30,0,10,2,39,,5,14,9
m746,1,id-5,80,10,100,0,10,2,257,,4,15,6
m747,3,id-12,25,30,100,0,10,2,30,,1,14,7
m748,6,id-17,75,5,100,0,10,2,1,,,,
m749,4,id-17,75,5,100,0,10,2,1,,,,
m750,2,id-1,,10,,0,7,1,143,,3,32,11
m751,2,id-18,,10,75,0,10,1,50,,3,18,19
m752,2,id-17,60,20,,0,10,2,18,,4,27,18
m753,2,id-1,,10,100,0,10,1,61,,5,10,2
m754,2,id-2,40,30,100,1,10,2,104,,1,30,1
m755,2,id-1,,10,,4,7,1,112,,3,15,16
m756,2,id-15,40,25,100,0,11,3,6,10,2,1,5
m757,2,id-8,,10,100,0,10,1,101,,5,26,19
m758,4,id-2,75,10,100,0,10,2,4,,2,,20
m759,4,id-8,70,,100,0,10,2,44,,3,,17
m760,2,id-5,20,10,100,0,10,3,74,100,3,10,5
m761,2,id-4,90,10,100,0,10,3,3,30,5,10,18
m762,7,id-7,80,15,100,0,10,2,396,100,,,
m763,7,id-14,,10,,0,12,1,395,,,,
m764,8,id-17,10,10,,0,2,2,1,,,,
m765,8,id-12,10,10,,0,2,2,1,,,,
m766,8,id-9,10,10,,0,2,2,1,,,,
m767,8,id-16,,5,100,0,7,1,433,100,,,
m768,8,id-2,80,10,100,0,10,2,434,,,,
m769,8,id-18,,15,,0,10,1,435,100,,,
m770,7,id-1,,15,,3,10,1,389,,,,
m771,7,id-12,40,40,100,0,10,2,1,,,,
m772,7,id-1,,30,,0,7,1,391,,,,
m773,7,id-4,,20,100,0,10,1,390,100,,,
m774,7,id-17,80,15,100,0,10,2,393,100,,,
m775,7,id-9,,20,,0,13,1,392,,,,
m776,7,id-9,80,20,100,0,10,2,385,,,,
m777,7,id-7,90,15,100,0,10,3,394,,,,
m778,1,id-1,85,,100,0,10,2,7,30,5,4,5
m779,4,id-17,,5,100,0,10,2,246,,4,,23
m780,1,id-11,,40,,0,7,1,12,,3,15,13
m781,2,id-1,,5,,,7,1,133,,2,25,8
m782,4,id-1,35,10,90,0,10,2,45,,4,,7
m783,1,id-1,65,20,100,0,10,2,151,30,5,4,5
m784,1,id-12,45,25,100,0,10,2,1,,1,1,5
m785,1,id-1,80,20,75,0,10,2,1,,5,23,5
m786,1,id-1,15,20,85,0,10,2,43,100,5,24,21
m787,1,id-2,60,15,85,0,10,2,32,30,1,5,5
m788,1,id-2,100,10,95,0,10,2,46,,1,3,5
m789,1,id-1,120,5,75,0,10,2,1,,1,1,18
m790,1,id-2,30,30,100,0,10,2,45,,1,12,7
m791,8,id-11,,10,,0,13,1,441,,,,
m792,3,id-11,150,5,100,0,11,3,191,,2,26,22
m793,1,id-1,70,15,100,0,10,2,32,30,5,9,5
m794,1,id-5,,15,100,0,10,1,24,,3,10,19
m795,8,id-16,50,10,100,0,10,2,428,,,,
m796,7,id-14,185,1,,0,10,3,415,,,,
m797,3,id-14,,20,,0,7,1,207,,1,32,11
m798,7,id-1,,1,,0,7,1,414,100,,,
m799,1,id-1,,40,,0,7,1,157,,3,16,13
m800,7,id-12,65,10,90,0,10,3,74,50,,,
m801,3,id-1,60,25,100,0,10,2,106,,3,20,12
m802,7,id-16,110,5,100,0,11,3,405,100,,,
m803,7,id-18,130,5,90,0,10,3,205,100,,,
m804,4,id-3,,15,,0,4,1,226,,4,,1
m805,,id-1,,40,,0,7,1,370,,,,
m806,5,id-14,,10,,,12,1,282,,,,
m807,7,id-10,150,5,100,-3,11,3,408,,,,
m808,4,id-2,100,10,90,0,10,2,219,100,1,,2
m809,6,id-1,,40,,0,7,1,370,,,,
m810,7,id-5,75,10,100,0,10,2,409,,,,
m811,2,id-3,100,5,95,0,10,3,44,,1,2,22
m812,,id-12,,10,,0,7,1,329,,,,
m813,7,id-14,85,10,100,0,10,2,187,,,,
m814,7,id-2,60,10,100,-4,10,2,186,,5,31,15
m815,3,id-2,60,10,100,-4,10,2,186,,5,31,15
m816,2,id-1,,40,,,10,1,114,,4,33,20
m817,6,id-17,100,5,,0,10,2,360,100,,,
m818,3,id-17,,20,100,0,10,1,63,,4,28,19
m819,4,id-14,,10,,,7,1,271,,2,,8
m820,1,id-12,120,10,100,0,10,3,152,,1,1,6
m821,5,id-10,,10,100,0,10,2,292,,,,
m822,7,id-7,,1,,0,10,3,1,,,,
m823,1,id-1,15,20,85,0,10,2,30,,1,10,7
m824,1,id-12,120,10,100,0,10,3,152,,1,1,6
m825,3,id-17,65,20,100,0,10,2,189,,4,4,5
m826,1,id-1,15,20,85,0,10,2,30,,1,10,7
m827,3,id-5,35,15,85,0,10,2,43,100,4,24,21
m828,3,id-1,50,10,,0,10,3,204,,4,1,4
m829,3,id-1,50,10,100,0,10,3,204,,4,1,4
m830,3,id-5,,15,,0,12,1,202,,3,1,13
m831,5,id-18,190,1,,0,10,2,417,,,,
m832,4,id-10,70,5,100,0,11,3,1,100,,,
m833,8,id-10,70,5,100,,11,3,1,100,,,
m834,7,id-18,190,,,0,10,2,417,,,,
m835,3,id-1,90,10,100,0,8,3,160,,3,21,10
m836,1,id-11,100,10,90,0,10,2,44,,5,2,18
m837,8,id-2,90,10,100,0,10,2,1,100,,,
m838,1,id-1,55,30,100,0,10,2,1,,5,1,5
m839,2,id-4,,10,100,0,10,3,3,30,5,10,18
m840,5,id-14,,10,,0,12,1,282,,,,
m841,2,id-2,,5,50,0,10,2,77,100,1,10,18
m842,3,id-15,,,30,0,10,3,39,,2,14,9
m843,4,id-17,,15,100,0,10,1,233,,3,,13
m844,8,id-9,100,5,100,0,10,2,436,,,,
m845,8,id-10,120,5,90,0,10,2,5,10,,,
m846,8,id-13,110,10,100,0,10,2,437,100,,,
m847,8,id-9,100,5,100,0,10,2,436,,,,
m848,8,id-12,40,40,100,0,10,2,1,,,,
m849,8,id-16,60,15,100,0,11,2,396,100,,,
m850,8,id-12,80,10,100,0,10,3,440,100,,,
m851,8,id-13,80,10,100,0,11,3,439,,,,
m852,8,id-18,75,15,100,0,10,2,72,100,,,
m853,5,id-14,80,10,100,0,10,3,283,,,,
m854,4,id-17,,5,100,,10,2,246,,4,,23
m855,7,id-13,175,1,,0,10,3,7,100,,,
m856,3,id-10002,,,,,6,1,107,,,,
m857,5,id-14,,10,,0,12,1,282,,,,
m858,4,id-2,120,5,70,0,10,3,73,10,1,,17
m859,4,id-2,40,30,100,1,10,3,104,,4,,1
m860,4,id-3,120,15,100,0,10,2,199,,3,,18
m861,4,id-12,90,10,100,0,10,3,73,10,2,,17
m862,4,id-17,,10,100,0,10,1,178,,1,,12
m863,4,id-5,90,10,100,0,10,3,73,10,4,,18
m864,4,id-17,,20,,0,7,1,54,,3,,11
m865,4,id-1,150,5,90,0,10,2,81,,2,,22
m866,4,id-15,60,10,100,-4,10,2,186,,1,,15
m867,4,id-9,40,30,100,1,10,2,104,,4,,1
m868,8,id-17,90,10,100,0,11,3,1,20,,,
m869,8,id-8,110,5,90,0,10,2,1,,,,
m870,8,id-15,130,5,100,0,11,2,1,,,,
m871,8,id-8,120,5,100,0,11,3,1,,,,
m872,8,id-14,80,5,100,0,10,3,1,,,,
m873,7,id-11,90,10,100,0,9,3,386,,,,
m874,5,id-10,100,5,100,0,10,3,336,,,,
m875,5,id-13,100,5,100,0,10,2,337,,,,
m876,4,id-3,65,20,,0,10,3,268,100,4,,23
m877,4,id-3,,20,100,0,10,3,268,100,4,,23
m878,8,id-10,70,5,100,0,11,3,1,100,,,
m879,5,id-13,130,5,85,0,10,2,7,20,,,
m880,5,id-10,130,5,85,0,10,3,5,20,,,
m881,1,id-1,,30,,0,7,1,48,,1,5,11
m882,5,id-15,140,5,90,0,10,2,332,30,,,
m883,5,id-15,140,5,90,0,10,3,333,30,,,
m884,5,id-17,55,15,95,0,11,3,72,100,,,
m885,5,id-15,85,10,90,0,10,2,32,30,,,
m886,5,id-10,180,5,95,0,10,2,335,100,,,
m887,2,id-16,40,20,100,0,11,3,147,20,1,21,5
m888,2,id-2,100,5,80,0,10,2,44,,1,2,18
m889,8,id-1,50,10,100,0,10,3,1,,,,
m890,8,id-10,100,10,,0,2,2,1,,,,
m891,5,id-11,80,10,100,0,10,3,325,,,,
m892,2,id-9,100,15,75,0,10,2,70,30,1,4,18
m893,2,id-1,,20,100,0,11,1,25,,3,5,19
m894,2,id-2,70,10,,-1,10,2,79,,1,31,2
m895,2,id-9,50,35,95,0,10,2,140,10,1,1,18
m896,2,id-12,,5,,0,7,1,133,,4,25,8
m897,2,id-1,,5,,0,7,1,133,,2,25,8
m898,2,id-1,60,15,100,0,10,3,136,,4,17,23
m899,2,id-18,,5,,0,7,1,133,,2,25,8
m900,3,id-1,,,,5,3,1,177,,4,18,20
m901,5,id-6,50,15,100,0,10,2,288,100,,,
m902,1,id-7,,40,,0,11,1,61,,4,9,19
m903,5,id-1,,15,,0,10,1,301,,,,
m904,3,id-17,,10,100,0,10,1,169,,5,7,9
m905,8,id-6,120,10,,0,10,3,1,100,,,
m906,5,id-14,,10,,0,12,1,287,,,,
m907,1,id-1,,10,,0,7,1,80,,4,16,23
m908,4,id-5,65,10,85,,10,3,74,30,4,,18
m909,3,id-1,70,20,100,0,10,2,170,,3,28,15
m910,7,id-13,60,20,100,0,10,3,1,100,,,
m911,7,id-10,60,20,100,0,10,2,1,100,,,
m912,7,id-14,80,15,95,0,10,3,1,,,,
m913,7,id-17,80,15,95,0,10,3,1,,,,
m914,7,id-11,90,15,100,0,11,3,1,30,,,
m915,3,id-17,,15,100,0,10,1,167,,4,18,19
m916,7,id-13,,20,,0,10,3,1,,,,
m917,7,id-11,60,20,100,0,10,3,1,,,,
m918,3,id-10,,15,85,0,10,1,168,,2,4,17
m919,7,id-12,100,10,90,0,10,2,1,100,,,
m920,7,id-15,100,10,90,0,10,3,1,,,,
m921,1,id-1,,10,,0,7,1,109,,3,16,13
m922,3,id-9,90,10,90,0,10,2,140,20,1,12,18
m923,3,id-11,150,5,90,0,10,3,81,,2,6,22
m924,1,id-1,,30,,0,7,1,12,,5,16,13
m925,3,id-4,50,15,100,0,10,2,203,50,4,33,4
m926,3,id-1,90,10,100,0,11,3,1,,1,5,5
m927,3,id-10,150,5,90,0,10,3,81,,2,6,22
m928,3,id-1,75,10,95,0,10,2,70,50,1,4,5
m929,3,id-15,30,20,90,0,10,2,118,,2,24,7
m930,3,id-5,,15,,0,12,1,202,,3,1,13
m931,3,id-1,,10,,0,7,1,33,,3,26,8
m932,3,id-12,60,15,100,0,10,2,32,30,4,4,5
m933,1,id-5,65,20,85,0,10,2,32,10,5,10,5
m934,1,id-4,65,20,100,0,10,3,3,30,5,4,18
m935,1,id-11,80,15,100,0,10,2,32,20,5,28,5
m936,1,id-10,110,5,85,0,10,3,5,10,2,1,17
m937,1,id-1,100,10,75,0,10,2,1,,5,1,5
m938,1,id-15,65,20,100,0,10,3,69,10,2,23,17
m939,1,id-4,30,20,70,0,10,3,3,40,5,5,5
m940,1,id-8,30,30,100,0,10,2,7,30,5,4,16
m941,1,id-1,,40,85,0,10,1,60,,4,5,10
m942,1,id-1,60,20,,0,11,3,18,,1,27,17
m943,1,id-11,35,15,85,0,10,2,43,100,5,24,5
m944,1,id-2,,20,100,0,10,2,88,,5,23,5
m945,1,id-2,,20,100,-5,1,2,90,,5,16,15
m946,8,id-6,,15,100,,10,1,426,100,,,
m947,2,id-5,,20,,0,6,1,113,,4,18,13
m948,1,id-3,90,15,95,0,10,2,156,,4,15,6
m949,1,id-3,90,15,,0,10,2,156,,4,15,6
m950,6,id-13,,10,,0,12,1,369,,,,
m951,3,id-13,,20,,0,7,1,175,,4,12,11
m952,5,id-1,120,15,100,0,10,2,49,,,,
m953,3,id-17,,20,100,0,10,1,176,,4,18,16
m954,7,id-12,,1,,0,10,3,1,,,,
m955,2,id-1,,15,85,0,10,1,119,,3,27,19
m956,3,id-14,140,5,90,,10,3,205,100,4,3,22
m957,5,id-17,85,10,95,0,10,3,74,40,,,
m958,4,id-17,,,50,0,11,1,2,,4,,19
m959,1,id-11,,15,100,0,9,3,258,,2,2,17
m960,5,id-4,90,10,100,0,10,3,1,20,,,
m961,2,id-2,,5,,4,7,1,112,,1,16,16
m962,2,id-2,,5,,,7,1,112,,1,16,16
m963,2,id-12,,5,,0,7,1,133,,4,25,8
m964,7,id-17,80,15,100,0,10,2,393,100,,,
m965,6,id-7,,20,100,1,10,1,378,,,,
m966,6,id-18,,10,,0,7,1,366,,,,
m967,6,id-13,,20,,0,13,1,367,,,,
m968,6,id-1,,30,,0,4,1,368,,,,
m969,6,id-13,,10,,0,12,1,369,,,,
m970,6,id-18,80,10,100,0,11,3,1,,,,
m971,6,id-1,,40,,0,7,1,370,,,,
m972,6,id-1,,40,,0,3,1,371,,,,
m973,6,id-18,,30,100,1,10,1,365,,,,
m974,6,id-13,20,20,100,0,10,2,372,100,,,
m975,3,id-10002,55,,100,0,10,2,10001,,,,
m976,8,id-2,,15,100,0,10,1,430,,,,
m977,3,id-10,,10,100,0,10,2,292,,,,
m978,6,id-3,120,,100,0,10,2,230,100,,,
m979,1,id-1,50,1,,,8,2,255,,1,1,5
m980,3,id-10002,75,,100,0,10,3,6,10,,,
m981,,id-10002,75,,100,0,10,3,6,10,,,
m982,2,id-16,120,10,100,0,8,2,28,,1,6,7
m983,5,id-15,65,10,95,0,11,3,331,100,,,
m984,8,id-12,80,10,100,0,10,2,71,100,,,
m985,1,id-5,,15,100,0,10,1,24,,3,10,19
m986,5,id-2,85,10,100,0,10,3,283,,,,
m987,4,id-1,140,5,100,0,10,2,247,,3,,21
m988,7,id-7,,1,,0,10,3,1,,,,
m989,4,id-7,,,,0,7,1,33,,4,,8
m990,4,id-4,,20,,0,6,1,250,,4,,13
m991,8,id-11,85,10,,0,10,2,431,,,,
m992,7,id-7,,1,,0,10,2,1,,,,
m993,6,id-5,90,10,,0,11,2,1,,,,
