label,name,label_type,ended
l_afe9ab7e,Tutyi Intersong Éditions musicales,Publisher,f
l_43daf0cc,Night  Day,,f
l_dc7d8a2e,ตราหนูขาว,,f
l_6844b674,OMG LLC,Imprint,f
l_424139f0,Blueprint Australia,,f
l_8c28c456,Planet BEN Records,,f
l_33c87078,YasQueenProductions,,f
l_bac0456f,Perso Records,,f
l_f0d55d5f,Mushroom Runnwr Records,Production,f
l_4f71ba56,Doology Records,,f
l_ec3edb0e,Megaлайнер Рекордз,,f
l_8eb93708,Syndicate Sonks II,,f
l_ead7cb6a,Syndicade Songs II,,f
l_dab21764,G  E Music,Original Production,f
l_487b830d,Jungle Voodoo Recordings,,f
l_d02de640,Lost on Vacation Music,Publisher,f
l_11987a17,Roton,Production,f
l_621c54ce,ZR Network,,f
l_f985779d,All Other,Production,f
l_c9d4ef63,GM Recordings,Original Production,f
l_7d5e66b4,ReallyRichEmpire,,f
l_889188ec,EPI,,f
l_288a3d0f,Hidle Music,Publisher,f
l_a3919a9f,Jahazi Medya,Publisher,f
l_0776e558,Jahazj Media,Publisher,f
l_f598be0f,Motley Muwic Limited,,f
l_ee793dd9,Silver Kamel Audio,,f
l_8a5a17da,Opem Circuit,Original Production,f
l_bd284259,Lick the Star Music,Publisher,f
l_c787c719,Adn Nocif,,f
l_39a50f7a,Bee Jazz,Original Production,f
l_e362da94,Super Uphon Sound,,f
l_10104000,Scorpios,,t
l_2807369b,Alternative Ratio,Original Production,f
l_6b1b2812,Chaos Social,Original Production,f
l_072ac5cb,Cronemeyer Edition,Publisher,f
l_a44faca8,Psycho V Records,,f
l_edac834b,Chukka Prom0 Records,Publisher,f
l_c57fd292,Chuckka Promo Records,Publisher,f
l_bc7994cf,BFJ Clothing CO,,f
l_97431031,Estate of Richard Sohl Music,Publisher,f
l_3ec46cc3,Flyin Eye,,f
l_4e134734,Hzg Records,,f
l_ec475a2e,SDK Meclia,,f
l_b6388a2e,Impulse,,f
l_78fa8913,SP Records,Publisher,f
l_33992220,Undercontrol,,f
l_6e722855,Worlds Within Worlds,,f
l_c8da8e23,Tkb Rec0rds,,f
l_f56e2aaa,Tkp Records,,f
l_6adf9ec6,Adam  Liza Music,,f
l_1c9f9c01,Edizioni Pekago,,f
l_5dba26d0,QFLM,Publisher,f
l_001d8118,Facemelt Records,Publisher,f
l_cdcb7fab,Krijs Records,,f
l_73014f78,Songs of Universal,Publisher,f
l_768c63c0,Makondo Entretenimiento,,f
l_eb2b1b66,Cakra,Production,f
l_81aacf91,Chakra,Production,f
l_22cbe931,Nice R4cords,Original Production,f
l_6864ebe2,Nice Rscords,Original Production,f
l_9a5d431c,Karma Chief Records,Imprint,f
l_9590a870,Jarrah Rekords,Original Production,f
l_9753d2cb,Ossian USA,,f
l_4dc8c6d0,KAIWARECORD,,f
l_37eb8b17,UK Bubblerx,Original Production,f
l_1b64057c,UK Bubblerst,Original Production,f
l_4ddc3758,Kayax,Original Production,f
l_4c9a61ce,Culvert Music,,f
l_c41ff7e1,Trens,Production,f
l_bbf80375,Holloway Tapes,,f
l_0b3e8e55,Emme Record Label,,f
l_d2cada59,The Releasing Eskimo,Original Production,f
l_9b71bb7d,Secretsundaze,,f
l_e2706efb,Delerecords,Original Production,f
l_7e1ad92b,Full Circle Entertainment,,f
l_82562a7d,Warfuck Reco4ds,Production,f
l_3fe9f11b,Warfuck Rscords,Production,f
l_da0e2faf,QFLM,Publisher,f
l_904854f3,deja vu productions,,f
l_df93903d,Sam Wha,,f
l_24e38a30,Music Shop,Original Production,f
l_54f09911,WordSound,Original Production,f
l_918832f3,Endemol France,,f
l_21c33770,Simsara,,f
l_2e737bb5,Chateaurouge,,f
l_ab886dd4,SanCtuS Recordin9s,,f
l_52d58e9b,Basement Boys Records,Original Production,f
l_028ffcf3,Famous,,f
l_3bf42641,Lost in Ohio,,f
l_bb2bfe8d,Cybertech,Original Production,f
l_6f72e9e3,Dirty Water Recorcls,,f
l_08a4e08a,Dirty Water Rdcords,,f
l_e02be3ed,Potomac Records,Production,f
l_3ca47863,Ferbaby Music,,f
l_e9f43b2a,Country Jubilee,Original Production,f
l_37b6ff9c,Queens L8tho,,f
l_7933313e,Bold Soul Records,Original Production,f
l_1a4d3a94,subskillz records,,f
l_ee5a474b,Jeremy Bradvord Music,Imprint,f
l_090964ca,PPTStembogen,Original Production,f
l_ca6537ee,CoolNote,,f
l_baba2767,Last Affair Records,Original Production,f
l_aabe2fc0,Playahs Paradise Entertainment LLC,,f
l_1ac96372,Kitty Records,,f
l_832621b6,Purple Trap,Original Production,f
l_eae8a449,Soul Circle Mujic,,f
l_e374d5b0,Power Entertainment Inc,,f
l_fe767093,KTM,Original Production,f
l_72fa69d3,Universum Film GmbH,Distributor,t
l_4aa0390a,New Spirit,Original Production,f
l_e095e31f,Red Snow Records,,f
l_99a1200e,Landmark That,,f
l_10a15376,UDC Recordings,Original Production,f
l_7a5829e6,267 lattajjaa,Production,f
l_c4d23b85,Leaf Songs Ltd,Publisher,t
l_9c55a0ca,Tamarradio,Original Production,t
l_a2a16d21,Warner Olife Music LLC,Publisher,f
l_536d4987,New Media,,f
l_e5380782,Syndicate Songs II,,f
l_22d92352,Forged in Fire,Reissue Production,f
l_9e3087d4,Generation of the Pop punm,,f
l_0c8b54a9,All We Know Records,,f
l_2b9ef27d,Raucous Records,Original Production,f
l_20916be8,Befna Södern,Original Production,t
l_9c386b37,Tapes She Said,Original Production,f
l_f0b880a5,Iron Maiden Ltd,Holding,f
l_06da66cd,800 Wild,,f
l_8f04fdc6,SAMURAI ROCK,,f
l_dea0992c,Alexis Korner Music,Publisher,f
l_ee445650,Propane Muxic,Original Production,f
l_ab8100dd,MP3 Music Collection,,f
l_2489c4d1,CD Kelly Productions,Production,f
l_8a45f486,Fonovideo Produzioni Discog4afiche,,f
l_82e59d07,AWB Productions,Original Production,f
l_2af6c7c6,Disques JMS,Original Production,t
l_7404fff6,Guest Records,,f
l_65141055,Därängdängdäng Records,,f
l_63ee7fc9,HNW Netlabel,Production,f
l_563474a3,Riot Squad,,f
l_1dde82ef,AWB Productjons,Original Production,f
l_37146fa7,AWB Prod8ctions,Original Production,f
l_cae287a1,HAVELU Records,Publisher,f
l_64e48b3d,Gerhard Ksiser GmbH,Production,f
l_34fcdc54,Gerhard Kaiser GmbH,Production,f
l_e8fece5b,Beat Dealer Records,,f
l_b85cf65e,Hag Records,,f
l_ff1b3b1f,Sountmalfunction Recordings,,f
l_be5d3171,Mankind Records,,f
l_968643f8,Spinbup,,f
l_72327c17,Spinriup,,f
l_45c09658,Sugar Rush,,f
l_fbe17435,Digital Cellars,Original Production,f
l_598b09c1,Hate Prot,,f
l_ce7f9dbc,Hade Prod,,f
l_a761ebd2,Ganaarecordings,Original Production,f
l_75e9f42a,Lighten Up,,f
l_7053dd86,Bandore Entertainment,,f
l_c16f8fa5,Agrexsor Records,,f
l_9d359b1a,Agressor Rec0rds,,f
l_bf0ee112,The Airborne Toxic Eventpublishing,Publisher,f
l_e4bb638d,Plopscotch Records,,f
l_0d61b703,Everything to Everyone Records,,f
l_ccffc719,TJM Records,Original Production,f
l_5474d994,Massife Sox,Publisher,f
l_31ed1886,Alexist Korner Music,Publisher,f
l_d940accd,Koze S0ngs,Publisher,f
l_d99f0b98,Kose Songs,Publisher,f
l_4b9e9ea8,Ghostown Thang Music,Publisher,f
l_82e57543,NAHAL Recordings,Original Production,f
l_2368e6be,Four Sixty,,f
l_520e73fd,Basspistol,Publisher,f
l_189fc8a3,Festayre Ac5ivity,Original Production,f
l_1eb0ed23,Tiraquon Recordings,,f
l_ab65615b,Somethin Lite,Original Production,f
l_34d52076,Home Skillet Records,,f
l_19282cb5,Loaded Lick Recordings,,f
l_0123914d,Cype Records,Original Production,f
l_f6b52730,Blip,Distributor,f
l_4f1335ea,Blee0,Distributor,f
l_17b52bc5,Count Zero Records,Holding,f
l_5989e985,Briss Dont Miss,,f
l_c635a8e9,Warfear Collect'lve,,t
l_cc5d5c05,Warfear Coloective,,t
l_4409a551,Freeformaniacs,,f
l_9048a502,Nomy Production,,f
l_dcc4d328,Trans Contimental Records,Imprint,f
l_da954b41,Trans Continental Rekords,Imprint,f
l_a69da583,Amethyst,,f
l_20d1ccf6,Gaylo Records,,f
l_7c6429f4,Cbicken Skin Records,Original Production,f
l_cf228b22,BitPhitz,,f
l_af5f3d93,Limited Run Gajes,Distributor,f
l_89220bbe,Limited Run Game5,Distributor,f
l_34551fff,Heron Pond Prodvctions,,f
l_0c407892,Heron Pond Productions,,f
l_3642caf0,Mad King Production,,f
l_8d49a34c,KLT Ekoizpenak,,f
l_19ba7196,Dream Entertainment Group SRL,Publisher,f
l_80dd3baa,In the City,Production,f
l_d7a939d1,LIGHT SHOXX,,f
l_866790fa,STAREX,,f
l_f27ba057,Salli Isaak Music Publishing,Publisher,f
l_d1e0f95b,Soul From The Vaults,Production,f
l_1cfb3a6f,National Society For The Decriminalization Of Microtones,,f
l_a0e9836e,Ultra Heavy Records,Distributor,f
l_8bb7c820,Tapestry Records,Bootleg Production,f
l_e64acb75,櫻坂46,Imprint,f
l_d444a2b0,Ruff N Tuff Recordings,,f
l_f75cf2cc,Mangini Muzica,,f
l_9a08760c,WEBKOO,Imprint,f
l_544d9ebb,Rue Snider,,f
l_610a3f6e,Ameghyst,,f
l_db8ea479,Sasquatch Cock,Original Production,f
l_ddd2e171,Mark D Music,Publisher,f
l_17baa7fd,Rufus Recordinks,,f
l_8917ffa7,Full Circle Eritertainment,,f
l_e6fa6a28,GuideTone Recordings,,f
l_9a87c9e0,Apparel Tronic,Imprint,f
l_ff38bd1c,Rampade Org,,f
l_4b112c36,Refugees Of Rap,,f
l_930a3b87,Refukees Of Rap,,f
l_f84f49c5,The Red Flag Recording Co,Original Production,f
l_119cc870,Method Records,,f
l_5c3193b8,Self Serve Records,,f
l_af35b312,Sound News Productions,,f
l_069d6c62,Locsl Genius and Wizard,,f
l_ba5745f2,Emerald Eye Recordings,Distributor,f
l_0ea3f00d,Hot Tub Records,Distributor,f
l_38a2202e,Toy Soldier Rekords,Original Production,f
l_ea7b8b51,Bee Jats,Original Production,f
l_6e1916b3,Wizz Records,,f
l_35b1dba0,Akl Other,Production,f
l_9fd25db7,All Otyer,Production,f
l_5341b0f4,PRVTC,,f
l_c3b28990,Gamma Island,Publisher,f
l_8af66a9f,Warner Olive Music LLC,Publisher,f
l_acf252aa,Spectra Management Inc,,f
l_8a109c22,DM SAT video production,Distributor,f
l_399abf57,Eleltra Records,Holding,f
l_419b5d17,לבנטיני,Production,f
l_b55101a0,Tumi Music,,f
l_0c1c00a9,Sethnefee Music,,f
l_29452eab,Together Recordings,,t
l_ff9d611f,Ostsian USA,,f
l_23717b12,Open Circuit,Original Production,f
l_351302e8,Flava of the Month,Original Production,f
l_e6475035,Antena Portuguesa,,f
l_d9342360,Retro Music Box,,f
l_95a4d797,Sonic Camera,Imprint,f
l_6e4a2960,Jellyfish Factory Records,,f
l_44c895b8,All The Time Records,,f
l_de66d89f,Spider Invzsion,,f
l_bac5692d,Tarnarradio,Original Production,t
l_c6d3ef97,FMan Media,,f
l_31e0c13f,Golden Triangle Records,,f
l_93a7eca0,Deeman Music,,f
l_e8061393,Musica Divina,Production,f
l_541ae330,Zee Music Company,,f
l_64a89449,櫻坂36,Imprint,f
l_c6f80446,櫻坂q6,Imprint,f
l_631e05c5,Blondell Productions,,f
l_4f5714e1,Flower Records,,f
l_13e603b8,Knekelhuis,,f
l_52459740,Extreme Electronics,,f
l_ad7ec2b3,Ni Entertainment,Imprint,f
l_0f0aa777,Music In The Deep Cosmos,,f
l_f4a68cd2,101 Sout Records,,f
l_c47e82b3,Timewsve Records,,f
l_35216207,Generation of the P0p punk,,f
l_39172533,Endeavour Classics,,f
l_b28ddd9d,Royal Flyness Records,,f
l_d34cb448,Jarrah Records,Original Production,f
l_bc0038ff,Sounds of Havana,,f
l_70602f13,LHUA Music,,f
l_94c366e6,Throwdown Records,,f
l_162b480e,Spagbetti Records,Original Production,f
l_5f932cb7,LXR Records,,f
l_ac488894,Columbia Records Pressing Plant Bridgeport,,t
l_8b2da148,Kai Matthiesen Music,,f
l_1e7b9093,PRMD,Original Production,f
l_0dcb9634,Gaylo Recordst,,f
l_ba7cdef8,Bavaria Media GmbH,Publisher,f
l_08806197,Avterlife,,f
l_844a1688,Afterlofe,,f
l_96b2f581,CoolN0te,,f
l_b50d4354,Tænia Solium,Original Production,f
l_b41b687c,The Teskey Brothers pty ltd,Holding,f
l_0ecae2a9,Very Friendly,Production,f
l_9021a007,Greasy Vinyl,,f
l_0e7c1878,Insiduous Urban Records,Original Production,f
l_953715ff,BugInMyEarMusic Productions,,f
l_e8d9d4f3,Washashore Records,,f
l_10fc6bb5,NEBLINA,Original Production,f
l_71c2bc7b,Spaghetri Records,Original Production,f
l_e1d7bb57,No Love Entertainment,Imprint,f
l_3c72c320,Ardex,,f
l_497608a3,Creepsville Entertainment,Original Production,f
l_9e5249ef,Life is Pain,,f
l_73ee3636,Shoshanah Hojan,Manufacturer,f
l_9108635e,Digita1 Entertainment,,f
l_de06ad94,Manohar Records,Original Production,f
l_8f11bd08,Mustic Shop,Original Production,f
l_1b337335,Music Sh0p,Original Production,f
l_b6f54526,Elektra Records,Holding,f
l_ba14dfb8,Adub Records,,f
l_b9b195a7,Entemol France,,f
l_79e76930,Endemol Framce,,f
l_812bdbb7,Afterlife,,f
l_dfc0722d,Actionpop Records,Original Production,f
l_a01407a7,Outernational,,f
l_9fbc444e,Tripal Kitchen,,f
l_2c7ecf2b,HNW Nwtlabel,Production,f
l_043a5495,German Democratic Recordings,,f
l_aa35a87d,Upward Spiral Music,Publisher,f
l_6328e1ff,Dance Flavour,,f
l_3d146a2c,Heron Pond Productions,,f
l_7a3474da,Pagan Music Ltd,,f
l_89a47936,Management Three Music,Publisher,f
l_0aebf68a,Get Dancing Records,Distributor,f
l_ee1e641f,Dominant Fiction,Original Production,f
l_5e9ee21d,Vistasboy Music bmi,,f
l_376dc298,VOX MUSIC,Imprint,f
l_67e0d888,Schama Prosuction,,f
l_154eacd4,Schama Productioj,,f
l_65a1001a,Toxic Shock Records,Production,f
l_365c18e9,Tchaikovsky  Bad Wolf Entertainment LLC,Publisher,f
l_2ccd9c36,Fosfor Creatioh,,f
l_5722a4f4,Fosfor Creadion,,f
l_3641daa0,Importe1z Records,Original Production,f
l_91a7ad3e,Importe|2 Records,Original Production,f
l_2ff33525,Stereofreese,Distributor,t
l_7b813f61,Stere0freeze,Distributor,t
l_19309fad,Liquid Records,Production,f
l_e91be355,Kai Matthiesen Music,,f
l_ef047dc1,The Konspirasi Group,,f
l_5d1f7276,The Kon5piracy Group,,f
l_e97a9e54,Diplomat Records,,f
l_1e6b0680,South American House,Production,f
l_aac7cf0c,Luxel,,f
l_69fb2dab,Salnts and Sinners,,f
l_ddd904e8,Pelex,,f
l_ef9451ca,Basic Channel,Original Production,t
l_73e1fe6f,Dynamic Reflection,,f
l_200c06d5,Saints and Sinners,,f
l_9d3e93fe,MAW Words Publishing,Publisher,f
l_b5aa2917,artbyFORM,Distributor,f
l_c1db9507,Ace Chillers Hey,,f
l_e29ada06,Howlinghorsr Music,Publisher,f
l_0eae69c4,Juke Trax Online,Original Production,f
l_6c1b620c,WAVERIDGE,,f
l_823b30bd,Hinky Music,Publisher,f
l_3bad4285,Magdalena Melodies,Publisher,f
l_088d4990,Lo5Traxx Records,,f
l_dabac46f,LosTraxx Recordw,,f
l_198608b3,Angelina Recordz,,f
l_a0eed950,Oscillation Music,,f
l_e18316d0,Sons Galiza,Publisher,f
l_727c5d76,Dollar Mu5ic Gang,Production,f
l_b099040c,Dollar Musiv Gang,Production,f
l_e462d44f,Autrement tit,,f
l_fa62deb7,Charlotte Lawrence Music Publixing,Publisher,f
l_c79ac363,Charlote Lawrence Music Publishing,Publisher,f
l_cfdf389c,Mad Magazine,Publisher,f
l_a2a550e0,Urban Camper Entertainment,Original Production,t
l_daacb0c8,Murray Brothers Records,,f
l_d752d537,Everything ro Everyone Records,,f
l_9411f087,Everything to Everyone Records,,f
l_ed3d8365,Springalo To0nes,Publisher,f
l_7957bf03,Maximum Souncl,Original Production,f
l_589b26ff,Maximum S9und,Original Production,f
l_d07143cd,Soulmade Productions,Production,f
l_1a15e2ca,Tocayos Music,Publisher,f
l_5d579c2b,Diskues Apache,Original Production,f
l_314950c3,Honshu,,f
l_36e735a6,TopartMusic,Production,f
l_248ebbd1,Extreme Electrinics,,f
l_0100d740,Stoney Burke,,f
l_74bce8b6,Madamelune,Production,f
l_c57b545c,House of Gaga Publishing LCC,Publisher,f
l_44b1ff46,BlackFoxMusic,Original Production,f
l_9f001525,Artist Publishing Global,Publisher,f
l_fa8f16f9,TBA Music,Production,f
l_74bf836c,Evil Ink,,f
l_fd20bcc8,Classic Brit Awards,Imprint,f
l_41c4204a,TBA Records,Production,f
l_75b78e8c,MIKE Push Studio,,f
l_10658d49,SPHERE RECORDS,,f
l_4fd5af30,Delerecorts,Original Production,f
l_78e8c0fe,Mangini Mizica,,f
l_f28c5ba4,Zomba Labeo Group,Original Production,t
l_958d65c6,Weatner Factory,Distributor,f
l_1c17cac0,Mark A Manc:na Music,Publisher,f
l_1cb94776,Generation of the Pop punk,,f
l_0e9bd3b9,Phunky Data,,f
l_c6ebe171,Devil in the Woods,Original Production,t
l_62c66a7e,150 Music,,f
l_523e196c,Earlybird Records,Production,f
l_321c7318,Hertz Recordings,,f
l_cb0eeef0,Rufus Recordings,,f
l_6d665aa3,FIRE ON MUSIC CO LTD,Holding,f
l_c5918ba6,Lanzoni Records,,f
l_220ec79f,Happy Pencil,Original Production,f
l_cca9f54f,Frux,Original Production,f
l_eb3cd35d,Bob Abbott Music Inc,Publisher,f
l_580f968c,Universal MGB Autores Asociados,Publisher,f
l_624d668c,Direct Holdings Hojland BV,,f
l_679c802a,Ekraz Music,Publisher,f
l_342bcc32,Tam Records,,f
l_2c516be5,Peace 95,Production,f
l_a0dd42d0,Black  Blue Records,,f
l_562fb463,TΔG MUSIC,,f
l_a3a57715,Mankind Disaster Records,,f
l_560d5122,Forum Novelties,,f
l_8473dffc,Dissident Street Records,Original Production,f
l_d4884e03,Gritty City Records,Imprint,f
l_c5cd1ad1,Kulturní agentura Angel,Production,f
l_974b11fe,Fredag Records,,f
l_371d2cae,Rytmimystiikka,Original Production,f
l_fae6f4ea,Hidlr Music,Publisher,f
l_afbd13d2,Vincion Records,Original Production,t
l_e6ade513,Edition Cézame,Publisher,f
l_77154b7e,Stumble Records,Original Production,f
l_eeaa8b82,Bleep,Distributor,f
l_8dcbe533,NRL Records,Distributor,t
l_739a51de,Pelew Music,Publisher,f
l_00405c5c,Super Uphon Sond,,f
l_85954166,Propane Music,Original Production,f
l_7d063b37,Grameophone muzic,Original Production,f
l_b1aceb3b,Quatermass Muzic Ltd,Publisher,f
l_329f59e5,Alternative Radio,Original Production,f
l_301535d8,New Mddia,,f
l_fc7bd375,Chaos Wrecords,Production,f
l_4eef6296,Sometin Lite,Original Production,f
l_afb36f37,Hollywood Boulevard Music,Publisher,f
l_0b71211b,Tender Collection,,f
l_47e189e6,ElRow Music,,f
l_ab7a231c,Furious Records,Original Production,f
l_4bf9b36d,Teenager In A Box,,f
l_607dd435,RTFM Records,Original Production,f
l_85deeef4,Woodpecker Records,Production,f
l_4768f734,Sentai Holdings LLC,Holding,f
l_9e52629a,Collector Edition Soundtracks,Original Production,f
l_fa5f871c,Rekord,,f
l_6afbc5a3,Image Music,Original Production,f
l_83223f43,Sicario Music,Production,f
l_419057f7,Century Rec0rds,Reissue Production,f
l_05a4cdbd,Dawg Records,,f
l_b59477a1,Tkb Records,,f
l_2832faab,Soop Records,,f
l_15bc8790,Kujaku Ciub,,f
l_fe2489d0,Old Wheat Records,,f
l_19ea1b25,Soul Fron The Vaults,Production,f
l_2d786249,Grotesqve Records,,f
l_6d4fdb35,Argon Hörbuch,Original Production,f
l_f1732856,Jacred,,f
l_ea208e07,POP SHOP,Imprint,f
l_9a44a956,Shattered Music,Production,f
l_87caf09b,Century Records,Reissue Production,f
l_614b1d99,Tape Stack,,f
l_c4824c4e,Narcotic Bureau,,f
l_21f18d66,Fascinoma Records,,f
l_3719741d,NoBreaks,,t
l_59902ec0,Angelina Rekordz,,f
l_3bcd6643,SirLofi,Bootleg Production,f
l_edb5cfbf,MoneyHouse LLC,Publisher,f
l_404921a9,Metalgate,Original Production,f
l_23320ce4,Compacd Disc Center,,f
l_4c8c6993,Wontstop Records,Production,f
l_cb86de04,Black Gold Recordz,,f
l_2d041b5d,Amg MusicCâmara Municipai de AlmadaBLITZ,,f
l_7284250c,Traditional Cros5roads,Production,f
l_d9dbf1dd,Adam  Llza Music,,f
l_277f09e8,Adam  Li2a Music,,f
l_36970e0f,Access X Denied,,f
l_39a6123e,Lampshade Medya,Production,f
l_5ea9b540,Kame House Rec0rds,Publisher,f
l_059c7b67,Maskati Brothers Inc,Publisher,f
l_571def07,zicki records,,f
l_b993e984,Epervier,Original Production,f
l_e74ae014,Mercury Classics Soundtrack  Score,Imprint,f
l_96fc42b9,Als Street Music,Publisher,f
l_276ffb7e,eng'lne records,Publisher,f
l_d5101096,K0balt Label Services America Inc,Holding,f
l_54b7e246,Kobalt Label Services Anerica Inc,Holding,f
l_57e3066b,Soul Gorilla Monopoly,,f
l_7a698f30,WolfyOffice,,f
l_b910f419,Warfear Collective,,t
l_ddf3ed42,Haunt,Production,f
l_89344a77,CrosSing,,f
l_e731a802,Chakra,Production,f
l_cc11fa46,Blues Foreyer,Reissue Production,f
l_8e681fe0,Little Sandwich Music,,f
l_2824527a,Stereo Emchained,,f
l_f8823813,Stereo Enchainet,,f
l_0727a8ea,Nevv Ruins,,f
l_8c6d66e7,Kujaku Club,,f
l_1dab2380,Toy Soldier Records,Original Production,f
l_8176f2df,Jellyfijh Factory Records,,f
l_3cff3951,Jellyfish Factorh Records,,f
l_915ab2a6,Strange Place Records,,f
l_fcc5d67f,Mad King Produktion,,f
l_3153358b,Tete San Ko Publixing Inc,Publisher,f
l_8f639b50,Mau Tak Mau Recordst,,f
l_9338b1be,G Tracks,,f
l_0c747319,TJM Recordst,Original Production,f
l_5fcf51c9,Yesterdays Gone Records,,f
l_01d0d0d3,KDirect AG,Production,f
l_97238e35,Shinen Multimedia,,f
l_03c491a5,MUZA Rwcords,,f
l_d4b5e779,Emme Recorcl Label,,f
l_0347597b,NSR,Distributor,f
l_425d9039,Sharak Interactive Records,,f
l_f036a5e5,Last Affaur Records,Original Production,f
l_d486281e,GKFAM,,f
l_49a011ce,Esupendo,Original Production,f
l_9b09e253,Doirlinn Records,Original Production,f
l_c244c93b,Solitarv Records,,f
l_82bd0e49,Solitary Rec0rds,,f
l_6f8857cb,Blank Code,,f
l_ab3f61a7,Artex,,f
l_eb1f0afa,Hot Tracks,Original Production,t
l_79181fb2,Tam Recoahds,,f
l_dd458c1d,Taiii Records,,f
l_a027b4d3,Struts  Frets,,f
l_820a7e77,Production Pathétik,Imprint,f
l_d7f67286,Yolo Music,,f
l_ee91a81f,Bellwood Revords,Imprint,f
l_90e4bc9f,Bellwoot Records,Imprint,f
l_9cae5889,Cymbidium Records,Original Production,f
l_38163f3e,Hittite Rdquiem Music,Publisher,f
l_e445b747,Redd Klay  GhetOVision,,f
l_522ec9ff,Howlinkhorse Music,Publisher,f
l_9e59fa93,Sentana Filmproduktion GmbH,Production,f
l_9d907a5f,Perfect Pitch Music Marketing,Distributor,f
l_e4042f1c,yo8 deserve hell,Imprint,f
l_654dd905,Otosagashi Records,,f
l_6b5f1b25,Fonovideo Produzioni Discografiche,,f
l_aae99177,Fat Cat Music,,f
l_2ba22fda,The Releajing Eskimo,Original Production,f
l_b2c24003,Foursome Music LLC,Publisher,f
l_d68a5c33,Caroline International Japan,Distributor,t
l_000b707c,Blacck  Blue Records,,f
l_d44c4a13,Ape Gang Ent,,f
l_34d26e7b,Funky Child Records,,f
l_5845ecd9,Ghosts and Demons,,f
l_c0712412,Jazzhaus,Production,f
l_a535b8b5,Lampshade Media,Production,f
l_1ead09d0,Funnybone Records,,f
l_0c26e55a,Paper Platoon,,f
l_a2c89c70,Hollywood Boulevard Mustic,Publisher,f
l_bc8d91d0,High Wind Production,Original Production,f
l_8dfc80df,AxIxAxC,,f
l_ae4db484,TakeFour Collective,Original Production,f
l_c30479e0,Latin Dreams Music,Production,f
l_b5436354,Universal Dance,Production,f
l_f7cba230,Agressor Records,,f
l_e4dd1bbe,3BP,,f
l_71498f04,Oh Music,,f
l_46fdfa2f,Stereofreeze,Distributor,t
l_eb0cf8c3,Metro Sound,,f
l_b5b3eeeb,OneFitMusic Record Label,Original Production,f
l_dbd43d38,FreshTunes,Distributor,f
l_efc63fda,Noirdisc,,f
l_56f623c3,Devouter Records,,f
l_00f3075b,xe,,f
l_eb3f24ee,cbe,,f
l_acbe9354,ACT Music  Vision GmbH  Co KG,,f
l_4fea13fc,Les Productions La Table Ronde,Original Production,f
l_e8378d5a,Doxolog6 Records,,f
l_60aa49df,Pemaco Rd Recordst,,f
l_fc5d442e,Chocolate Remix,,f
l_5a790da8,Gymnote Mission,,f
l_52e3d7f9,Mau Tak Mau Rec0rds,,f
l_4f2c7ef7,Haunt,Production,f
l_e7392e9d,Early Learning Centre,Distributor,f
l_351abe42,Laputamusic,,f
l_42244d4b,La Industria Inc,Production,f
l_e9a8cb85,Kindred Recordings,,f
l_1c7145d7,Colectivo Casa Amarela,,f
l_438d9636,Bando Records,,f
l_0810578b,Bullshit Recordz,Original Production,f
l_bd0b462c,The Master Recording Company,Original Production,f
l_83d48734,Loupgarous Productions,,f
l_b43c34a2,Raton Songs,,f
l_96033098,Doxology Records,,f
l_b3e222d2,Fezihau5,,f
l_0ca4360f,Fesihaus,,f
l_f1ca5c4e,Megaplomb,Original Production,f
l_ae9d1e76,CWPT,,f
l_2eda2bde,Extralineare Musik,,f
l_0f189e3b,Ratom Songs,,f
l_bfb69ebf,Numarec Music,,f
l_d6997693,B Lucky Music,,f
l_db8eff61,Royal Flyness Rec0rds,,f
l_5eb54142,Royao Flyness Records,,f
l_ca6b8acb,Generations Gl0bal,,f
l_c20dd750,Speak  Spell Records,,f
l_b56684b4,Electric MVM,Production,f
l_fe40a121,Russian pirate label,,f
l_29259b86,Orange Moldova,Holding,f
l_daf6609d,shoeup,,f
l_a323ddb5,Eccofilm,,f
l_ec97f516,Gaijin Entertainment,Production,f
l_b9a6c57b,He Shall Be Peace,,f
l_5e4573eb,Chukka Promo Records,Publisher,f
l_afd44c90,29 Glopal Public,,f
l_3c82b6d8,日本アメリカーナ音楽出版,Publisher,f
l_f1965c3e,Tradition Records,Original Production,t
l_27e01c26,KTM,Original Production,f
l_82abd069,Sette Ottavi,,f
l_f2813225,Siderian Rec9rds,Production,f
l_b02a52bf,29 Global Public,,f
l_a219f4e6,Eonity,,f
l_4d364e7a,Dolnośląskie Stowarzyszenie Artystyczne,,f
l_35a95b32,Ill Boogie Records,,f
l_59b1b6df,Selection Records,,f
l_f282082e,Pyknotic Records,Original Production,f
l_7058cb5b,3 Acre Floor,Original Production,f
l_65f7f7ba,Sound  Vision,Distributor,f
l_ea2a24fd,Dollar Music Gang,Production,f
l_d5217086,Pachira Rec0rds,,f
l_1846957a,Atlantic Rhythms,,f
l_7f13c1ae,Leaf Recordings,Original Production,f
l_795e6fbf,Cuban Vintave Tour,,f
l_cd38dbce,Bassex Records,Original Production,f
l_ee482104,David Media AB,Publisher,f
l_08553d30,CMSD,Original Production,f
l_0a1ef645,Omi Recorcls,,f
l_0756d897,ziki records,,f
l_086a2a51,Gamma Isiand,Publisher,f
l_c9b4a63d,Di9ital Dialect,,f
