place,name,place_type,address,coordinates,ended
p443,YAD Music,Studio,,,f
p444,Finsbury Park,Park,Endymion Rd London N4 1EE,51571201009.0,f
p445,Sabara Studio,Studio,,,f
p446,Pacific Spirit United Church,Religious building,2195 W 45th Avenue Vancouver BC V6M 2J2,,f
p447,Auditorium Matteo dAcquasparta,Venue,,426933125456.0,f
p448,Kleiner Konzertsaal,Venue,Rosenheimer Straße 5 81667 München,481313211590463.0,f
p449,Neuwerkskirche,Religious building,Klostergang 3 99084,5097232911025019.0,f
p450,Canberra Theate Centre,Venue,,,f
p451,Canberfa Theatre Centre,Venue,,,f
p452,Château des Chats II,Studio,,,f
p453,Avicii Arena,Indoor arena,Globentorget 2 121 27 Stockholm Sweden,5929355618083236.0,f
p454,Norwegian Jade Bliss,Venue,,,f
p455,Ocran Sound,Studio,,,f
p456,Luna Mixing Room,,,,f
p457,Brisbane Entertainment Centre,Indoor arena,Melaleuca Drive Boondall Queensland 4034 Australia,2.734222215307111e+16,f
p458,Ukonx Sudio,Studio,,,f
p459,A Secret Locwtion,Studio,Christmas Street Melbourne 3000,,f
p460,WPRB,Studio,WPRB PO Box 388 Princeton NJ 08542 USA,,f
p461,The Bridge,Venue,,,f
p462,Leggo Studlos,Studio,,,f
p463,Johanneskirche,Religious building,Kirchstraße 9 31832 Springe,522158579625313.0,f
p464,Église SaintAndré,Religious building,35 Avenue Jean Jaurès,492591674041389.0,f
p465,Thalia Kzino,Venue,Görlitzer Straße 6 01099 Dryesden,5106682313754261.0,f
p466,Prague,Venue,422 Congress Ave Ste B Austin TX 78701,3026704197743522.0,t
p467,Ukonx Studio,Studio,,,f
p468,Stadthausgalerie Münster,Venue,,,f
p469,Andys Bar,Venue,122 N Locust St Denton TX 76201,332154219713216.0,f
p470,Gylkenbergsalen,,,601791249222.0,f
p471,DQ Studi0s,Studio,,,f
p472,Studio B Hayes Middlesex,Studio,,,f
p473,Alpana Tonstudio,Studio,,,f
p474,Espace Culture Saint Andre,,,,f
p475,ICIS Duplicating,Other,,,f
p476,Centro de Convenções de Pernambuco,,Av Prof Andrade Bezerra,,f
p477,The Tabernacle,Venue,35 Powis Square off Portobello Road London W11 2AY,515170320201985.0,f
p478,Santuaeio di San Bernardino,Religious building,,45492796407.0,f
p479,Santuario cli San Bernardino,Religious building,,45492796407.0,f
p480,WET Stage,Venue,,,f
p481,room2,Studio,Clubgroove Records,,f
p482,Rathsgymnasium Wolfsburg,,,,f
p483,Igloo Audio Factory,Studio,,,f
p484,Grand Théâtre de Québec,Venue,269 boulevare René‐Lévesque Est,,f
p485,Grand Théâtre de Qvébec,Venue,269 boulevard René‐Lévesque Est,,f
p486,Guldbergaunet stadion,Stadium,,6402145211510496.0,f
p487,New York Military Academy,Educational institution,78 Academy Ave CornwallOnHudson New York 12520 United States,,f
p488,Studil 91,Studio,,,f
p489,Congregational Hall,Venue,Castle Gate Congregational Centre 6 Castle Gate Nottingham NG1 7AS UK,529517221149425.0,f
p490,Stereo Sound Studios,Studio,,,t
p491,Ungdomshuset,Other,Dortheavej 61 2400 København NV,5570873612523502.0,f
p492,Secret Studios,Studio,,,f
p493,GospelgrooveStudio,Studio,,,f
p494,Playback Recording Studio,Studio,400 E Gutierrez St,3.4419952119689188e+16,f
p495,Kirishima International Concert Hall,Venue,,31881308057.0,f
p496,35 Wyndham Street,,,,f
p497,James and Anne Duderstadt Center Audio Studio,Studio,2281 Bonisteel Blvd Ann Arbor MI 48109 United States,4229115583715707.0,f
p498,横浜産貿ホール,Venue,〒2310023 神奈川県横浜市中区山下町2,3.544694413964611e+16,f
p499,The Mona Museum,Educational institution,655 Main Rd Berriedale TAS 7011 Australia,4.281277814726111e+16,f
p500,Festival Messiaen au Paeys de la Meije,Venue,La Grave,,f
p501,Up5ide Down Studio,Studio,8512 Santa Monica Blvd Los Angeles CA,,f
p502,Upside Down Studio,Studio,8512 Santra Monica Blvd Los Angeles CA,,f
p503,OneOne Studio,Studio,,,f
p504,Old Renaissance Faire Grounds,Other,,,f
p505,The Rosemount Hotel The Main Room,Venue,459 Fitzgerald St North Perth WA 6006,3193092411585891.0,f
p506,Oregon Zoo Amphitheater,Venue,4001 SW Canyon Rd Portland OR 97221,4550994112271613.0,f
p507,Mølla Studio,Studio,,,f
p508,Ungdomshuset,Other,Dortheavej 61 2400 Københwvn NV,5570873612523502.0,f
p509,Vortn Vis,Venue,Kiekenmarkt 7 8900 Ieper,50849462884307.0,f
p510,Sahara Studio,Studio,,,f
p511,Hochschule für Musik und Theater Hamburg,,Harvestehuder Weg 12 20148 Hamburg,535705569998889.0,f
p512,DePaul Concert Hal,Venue,,419239876492.0,f
p513,Century II Performing Arts  Convention Center,Other,225 W Douglas Ave Wichita KS 67202,3768487697340283.0,f
p514,Aula Sarvans,Venue,,47044194397.0,f
p515,Hoxton Bar  Kitchen,Venue,24 Hoxton Square London N1 6NU,515274560081724.0,f
p516,JOE eV,Other,Lindenstraße 4 45739 OerErkenschwick,516284287260831.0,f
p517,StarVu Studios,Studio,,,f
p518,Europahalle,Venue,,,f
p519,Garbos,Venue,429 Queen St W Toronto ON M5V 2A5,4364871279395483.0,t
p520,Uneven Stud'lo,Studio,,,f
p521,Ninth World Studios,Studio,,,f
p522,Symphony Studio,Studio,,,f
p523,Hickory Sound Recording,Studio,,,f
p524,COP Studio,Studio,,,f
p525,SL Sound S6udio,Studio,,,f
p526,Schlosskirche,Religious building,,509803113322.0,t
p527,Orpheum Theater,Venue,216 State Street Madison WI 537032215,4307589388611.0,f
p528,NightShift S5udios,Studio,27 Whittington Avenue Christchurch 8023,,f
p529,Lovely Records,Studio,,,f
p530,Paradise Studios Grand Lake of the Cherokees,,,,f
p531,Arts Centre Melbourne,Venue,100 St Kilda Rd Melbourne VIC 3004 Australia,3.782027814496834e+16,f
p532,Analog Sweden,Studio,,,f
p533,Klanglabor Weimar,Studio,,,f
p534,Caled0nien Hall,Venue,Radissoh Blu Caledonien Hotel Vestre Strandgate 7 4611 Kristiansand Norway,,f
p535,Подвал прёмной комиссии МГИМО,Studio,Москва НиколоЩаповский переулок,,f
p536,Wood Street Galleries,,601 Wood St,,f
p537,Orchesterprobenzentrum,Studio,Stolberger Straße 3,509412046907772.0,f
p538,RTL House,Other,2 avenue Jacques Georgin Schaerbeek,,f
p539,Bethaniënklooster,Venue,Het Bethaniënklooster Barndesteeg 6b 1012 BV Amsterdam Netherlands,,f
p540,TMMP Studios,Studio,,,f
p541,West Spund Studio,Studio,,,f
p542,Kleiner Konzetsaal,Venue,Rosenheimer Straße 5 81667 München,481313211590463.0,f
p543,Epicurus Studio,Studio,〒1530064 東京都目黒区下目黒３丁目２４－２２,3.563150613970773e+16,f
p544,DQ Studis,Studio,,,f
p545,Studio Quatre Chemins,Studio,22 Rue Cartier Bresson,48903252395776.0,f
p546,Cliff Temple Baptist Church,Religious building,125 Sunset Ave Dallas TX 75208,3274455896826152.0,f
p547,주예당 Studio,Studio,,,f
p548,Pieve di Palazzo Pignano,Religious building,,,f
p549,Commercial Recording Studio,Studio,1120 Chenevert,,f
p550,Aula Sargans,Venue,,47044194397.0,f
p551,Mount Sinai Morningside,,30 Morningside Drive NY 10025 US,40805573961806.0,f
p552,Mayberry PCH,Studio,,,f
p553,Artheater,Venue,Ehrenfeldgürtel 127 50825 Köln,509531486918527.0,f
p554,SL Soumd Studio,Studio,,,f
p555,Surrealis Sounds,Studio,,,f
p556,Styrene Stud9os,,,,f
p557,VERO,,,,f
p558,Congregational bHall,Venue,Castle Gate Congre9ational Centre 6 Castle Gate Nottingham NG1 7AS UK,529517221149425.0,f
p559,Styrene Studio,,,,f
p560,Studio 38,Studio,Getknge,,f
p561,Dance Planet LX,Studio,,,f
p562,Westwood Studios,,,,f
p563,LoHo Studios,Studio,48 Clinton St New York NY 10002 United States,407196727398447.0,f
p564,Studio g1,Studio,,,f
p565,Mid‐S0uth Coliseum,Indoor arena,996 Early Maxwell Blvd Memphis TN 8104,3511634189980835.0,t
p566,808s0unds,Studio,,,f
p567,Adolf Fredriks kyrka,Religious building,Holländargatan 16 111 60 Stockholm Sweden,5933777818060278.0,f
p568,Calibrated Recording,Studio,,,f
p569,Eagle Mountain House,Studio,,,f
p570,Polideportivo de la Junta de Castiloa y León,Other,,,f
p571,Polideportivo de la Junta de Castllla y León,Other,,,f
p572,The Plt,Studio,,,f
p573,Château de Méridon,,,486923492033587.0,f
p574,Le Mnobile,Studio,,,f
p575,The Lighthouse Theatre,Venue,247 Main St,4278604680203093.0,f
p576,Kleine Beethovenhalle,Venue,,50672671583.0,f
p577,The Boarding House,Venue,960 Bush St San Francisco CA 94109,3.778996812241478e+16,t
p578,Irwin Art Studio,Studio,,,f
p579,Wooden Diigital,,,,f
p580,Judys Velvet Lounge,Venue,777 River City Casino Blvd St Louis MO 63125,385308902645.0,f
p581,BernHaus Studi0s,Studio,,,f
p582,DePaul Concert Hall,Venue,,419239876492.0,f
p583,Rushents Mansion,Studio,,,f
p584,2013 Mixing,Studio,,,f
p585,CWR Studio,Studio,,,f
p586,Highlander Research and Education Center,Educational institution,1959 Highlander Way New Market TN 37820,3604284483584929.0,f
p587,Tipitinas,Venue,501 Napoleon Ave New Orleans LA 70115,299173901009.0,f
p588,Calamigos Ranch,Venue,327 Latigo Canyon Rd,,f
p589,The Birmingham Hotel,Venue,333 Smith St,,f
p590,Bla,Venue,Bornheimerstraße 2022 53111 Bonn,507364057093592.0,f
p591,WFU,Studio,,407886742556.0,f
p592,Gyllenberg5alen,,,601791249222.0,f
p593,Cirque de Reims,Venue,,49254940222.0,f
p594,Rapture Audio,Studio,,,f
p595,Festival Messiaen au Pays de la Meije,Venue,La Grave,,f
p596,Evansson Audio Media,,Unit 6b The Fortress Avonside Melksham Wilts SN128BT,51376515214165.0,f
p597,Fat as Funk,Studio,,,f
p598,Sonic Higways Studio,Studio,,,f
p599,NightShift Studios,Studio,27 Whittington Avenue Christchurch 8023,,f
p600,Tropical Disease Mobile,,,,f
p601,Le Baril Roulant,Venue,1885 Chemin du Village MontTremblant QC J8E 1K4 Canada,,f
p602,Rapture Adio,Studio,,,f
p603,Kunsthalle Wjen,Other,Museumsplatz 1 1070 Wien Austria,4820294816357993.0,f
p604,Kunsthalle Wien,Other,Museumsplatz 1 1070 Wien Austriak,4820294816357993.0,f
p605,Bramham Park,Other,Bramham Park Wetherby West Yorkshire LS23 6ND,538702781380278.0,f
p606,Audio Mastery,Studio,,,f
p607,Apple Store Rosenstraße,Other,Rosenstraße 1 80331 Münchoen,48136831157456.0,f
p608,ZOZOマリンスタジアム,Stadium,千葉県千葉市美浜区美浜1番地,3.564523914003092e+16,f
p609,RedRoom Recorders,Studio,,,f
p610,Palace Music,Studio,,,f
p611,Aula Sarans,Venue,,47044194397.0,f
p612,Partille Arena,Indoor arena,Arenatorget 2 433 35 Partille Sweden,577400212116962.0,f
p613,Studio Babelsberg,Studio,AugustBebelStr 2653 D14482 Potsdam,5238706413120179.0,f
p614,Blue Note Studio,Studio,,,f
p615,Rqdio Records Studio,Studio,,,f
p616,Taller Blanco,Venue,,,f
p617,Swedish Broadcasting Company Studio,Studio,,,f
p618,StuStuStudio,Studio,,,f
p619,The Boardlng House,Venue,960 Bush St San Francisco CA 9109,3.778996812241478e+16,t
p620,HiverlyHills Studio,Studio,,,f
p621,Boxwod Studios,Studio,,,f
p622,Iriouïe,,,,f
p623,Milchwerk Radolfzell,Indoor arena,WernerMessmerStraße 14 78315 Radolfzell am Bodensee,477417218973508.0,f
p624,St Nikolai Wismar,Religious building,StNikolaiKirchhof 15 23966 Wismar,538956114655.0,f
p625,Kino Šiška,Venue,Trg prekomorskih brigad 3,460688691448895.0,f
p626,Leggo Studios,Studio,,,f
p627,Apple Store Third Street Promenade,Other,1415 Third Street Promenade Santa Monica CA 90401,3.401541711849536e+16,f
p628,CorbNation Studios,Studio,,,f
p629,Moonee Ponds Studio,Studio,,,f
p630,Rose Golcl,,96 Morgari Ave,,f
p631,Rose Golf,,96 Morgayn Ave,,f
p632,Huntington City Beach,Other,,3.3650994117995996e+16,f
p633,First Unitend Methodist Church,Religious building,,415018918166699.0,f
p634,Théâtre du Vajdeville,Venue,,48871252333611.0,t
p635,Théâtre du Vaudeville,Venue,,48871252333611.0,t
p636,Piazza Napoleone,Other,Poazza Napoleone 27 55100 Lucca LU Italy,4384139710502667.0,f
p637,Mesa Recording,Studio,,,f
p638,Pomeranian Philharmonic Hall,Venue,,,f
p639,St Michaels Church,Religious building,South Grove Highgate London N6 6BJ United Kingdom,515689580150416.0,f
p640,Theater Marl,Venue,Am Theater 1 45768 Marl,516527177089658.0,f
p641,Formation Studios,Studio,,,f
p642,Spider Forrnation,Studio,,,f
p643,Spider Format8on,Studio,,,f
p644,Grand Théâtre de Québec,Venue,269 boulevard René‐Lévesque Est,,f
p645,Budahegyvidéki Evangélikus Egyházközség,Religious building,,474989190213.0,f
p646,DAVE Audio,Studio,,,f
p647,The Vanguard,Venue,42 King St Newtown NSW 2042 Australia,3.3892862151186364e+16,f
p648,Market Hotel,Venue,1140 Myrtle Ave Brooklyn NY 11221,,f
p649,MusicBrainz Summit 14 HQ,Other,Danshøjvej 42 2500 Valby,5566217612490344.0,t
p650,DLR Stud:o,Studio,,,f
p651,Parc LéonidasDufresne,Other,Parc Léonidas Dufresne ValDavid QC J0T 2N0,4603107474207758.0,f
p652,West Sound Studio,Studio,,,f
p653,POTAR Practice,Studio,,,f
p654,Nezlobin Theatre,Venue,,,f
p655,Z7,Venue,Kraftwerkstrasse 7 4133 Pratteln,4752725769425.0,f
p656,A Secret Location,Studio,Christmas Street Mel1>ourne 3000,,f
p657,Coliseu d0s Recreios,Venue,Rua Portas de Santo Antão 96 115026,387167339140175.0,f
p658,Lunar Ca1>aret,Venue,,,f
p659,Bliss Studios,Studio,,,f
p660,Red Brick,Studio,서초구 방배2동 45323 Seoul Korea,,f
p661,Planet Whirpool,Studio,,,f
p662,FNFStudios,Studio,,,f
p663,LyceumTheatre,Venue,21 Wellin8gton Street London WC2E 7RQ,51511556011975.0,f
p664,Accademia nazionale di Santa Cecilia,Educational institution,Viale Pietro de Coubertin 30 00196 Roma,41929124745.0,f
p665,The Half Moon,Venue,93 Lower Richmond Rd Putney London SW15 1EU,5146802022257.0,f
p666,The Attic,Venue,170 High Streeg Cheltenham,519007522074432.0,t
p667,The Attlc,Venue,170 High Street Cheltenham,519007522074432.0,t
p668,Eagle Oaks Gojf  Country Club,Other,20 Shore Oaks Dr Farmingdle NJ 07727 United States,,f
p669,Egle Oaks Golf  Country Club,Other,20 Shore Oaks Dr Fatmingdale NJ 07727 United States,,f
p670,Lalabela Studios,Studio,,,f
p671,Audio Matrices de Venezuela CA,Studio,,,f
p672,Death Studios,Studio,,,f
p673,Zwinglikirche,Religious building,Rudolfstraße 14 10245 Berlin,52503421345457.0,f
p674,RADION Amsterdam,,,,f
p675,Princeton Abbey,Religious building,,,f
p676,University Of Helsinki Electronic Music Studio,Studio,,,f
p677,roon2,Studio,Clubgroove Records,,f
p678,Studio MySound,Studio,11 allée de Longueterre 31850 Montrabé,,f
p679,Bohemian Grove,,6664 Gro ve St,,f
p680,Glass Hand Studios,Studio,,,f
p681,University of California Berkeley,Educational institution,,3787122259.0,f
p682,The Baxement,Venue,Marsh Street Hsnley StokeonTrent ST1 1JA,53024055218058.0,f
p683,Studio VIème Sens,,,,f
p684,Music Hall Center f0r the Performing Arts,Venue,350 Madison Street Detroit MI 4u226 United States,4233722283046111.0,f
p685,0x7 studio,Studio,,,f
p686,ICIS Duplifating,Other,,,f
p687,ICIS Dupjicating,Other,,,f
p688,Sonic Highways Studio,Studio,,,f
p689,The Parish Church of Sarum St Martin,Religious building,St Martins Church Street Salisbury Wiltshire SP1 2HY,,f
p690,MOXE,Studio,,,f
p691,Wanna Rock Studios,Studio,,,f
p692,Guelph Lake Is|and,Other,7743 Conservation Rd Guelph ON N1H 6J1,4359676480243612.0,f
p693,Knitting Factory,Venue,74 Leonard Street New York NY 10013,4071733974005346.0,t
p694,横浜産貿oホール,Venue,〒2310023 神奈川県横浜市中区山下町2,3.544694413964611e+16,f
p695,Roun the Bend Recording,,Datmoor,,f
p696,Swedish Broadcastint Company Studio,Studio,,,f
p697,TOM·TOM STUDIO,Studio,〒150001q 東京都渋谷区東31419,3.5651323139707296e+16,t
p698,La Chapelle des Lombards,Venue,14 rue des Lombards 75004 Paris France,488591962349734.0,t
p699,BernHaus Studios,Studio,,,f
p700,Musik Galerie,Venue,,,f
p701,Canberra Theatre Centre,Venue,,,f
p702,The Jurigle,Studio,,,f
p703,The Funkmosphere Lah,Studio,,,f
p704,The Fvnkmosphere Lab,Studio,,,f
p705,Arbeitshaus,Studio,,,f
p706,Mixing Room Studios,Studio,,,f
p707,Bliss Stueios,Studio,,,f
p708,Classic Sound Ltd,Studio,,,f
p709,Nikos Nido,Studio,,,f
p710,Studio KOLKHOLZ,Studio,,,f
p711,acts 105,Venue,,,f
p712,House of Culture Vltjavská,Venue,,,f
p713,Nar Mattaru,Studio,,,f
p714,Piazza Napoleone,Other,Piazza Napoleone 27 55100 Lucca LU Italy,4384139710502667.0,f
p715,The Vic for Jazz,Venue,2640 Main Street Santa Monica CA 90405,,t
p716,Studio 38,Studio,Getiqnge,,f
p717,St Cecilia,Religious building,,,f
p718,Christopher Lydons Home,,,,f
p719,Post Logic Studios,Studio,,,f
p720,Radio Records Studio,Studio,,,f
p721,Location B,,,,f
p722,Strawberrybee Production,,,,f
p723,80 Hertz Studios,Studio,80 HERTZ Post Production  Recording Studios The Sharp Project Thorp Rd Manchester M40 5BJ Manchester UK,5350201219344.0,f
p724,Hamilton High School,Educational institution,327 Fairgrounds Rd Hamilton MT 59840,46245114161944.0,f
p725,Ungdomshuset,Other,Dortheavej 6 2400 København NV,5570873612523502.0,f
p726,Indie King,Studio,,,f
p727,AlbertusMagnusGymnasium Bensberg,Other,Kaule 3 51429 Bergisch Gladbach Germany,509610977155988.0,f
p728,Malkin Bowl,Venue,610 Pipeline Rd Vancouver BC V6G 3E2,4.929877312313343e+16,f
p729,Cavalier Sound Recording Studio,Studio,,,f
p730,Sweetwater Municipal Auditorium,Venue,201 E 4th St Sweetwater TX 79556,3.247248910040852e+16,f
p731,SOMA Studios,Studio,,,f
p732,Boogie Park Studio,Studio,Boogie Park Studios Eulenstraße 70 A 22763 Hamburg,535515779923772.0,f
p733,The Vic fo Jazz,Venue,2640 Main Street Santa Monics CA 90405,,t
p734,OneOne Shtudio,Studio,,,f
p735,New York Milirary Academy,Educational institution,78 Academy Ave ComwallOnHudson New York 12520 United States,,f
p736,Scruggs Sound Studio,Studio,,,f
p737,CorbNation Studips,Studio,,,f
p738,Epicufus Studio,Studio,〒15300y4 東京都目黒区下目黒３丁目２４－２２,3.563150613970773e+16,f
p739,ExEx Audio,Studio,,,f
p740,First National Bank Arena,Indoor arena,217 Olympic Dr Joriesboro AR 72401,3584542290670319.0,f
p741,Audacious Studio,Studio,,,f
p742,Égilse SaintSymphorien,Religious building,,,f
p743,Pieve di Pala2zo Pignano,Religious building,,,f
p744,SAP Arena,Indoor arena,An der Arena 1 68163 Mannheim Germany,4946361185175.0,f
p745,Bilgi Üniversitesi Kuştepe Kampüsü,Other,İnönü Cad No 6 Kuştepe 34387 Şişli İstanbul,410726712899079.0,f
p746,Paste Studio,Studio,,,f
p747,Mixroom Studios,Studio,,,f
p748,CorbNati9n Studios,Studio,,,f
p749,Concert Hall Sydney Opera House,Venue,,3385671512149.0,f
